WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087348,urn:lsid:ipni.org:names:77368625-1,Aphelandra calciferi,R.Villanueva & J.R.I.Wood,Kew Bull. 80(4): [1 of 9]. 2025 [5 Dec 2025] [epublished],,,
wfo-1000087349,urn:lsid:ipni.org:names:77368626-1,Aphelandra floribunda,J.R.I.Wood & R.Villanueva,Kew Bull. 80(4): [2 of 9]. 2025 [5 Dec 2025] [epublished],,,
wfo-1000087361,urn:lsid:ipni.org:names:77371376-1,Phaulopsis tanzaniensis,Vollesen,Kew Bull. 80(4): [1 of 5]. 2025 [24 Dec 2025] [epublished],,,
wfo-1000086578,urn:lsid:ipni.org:names:77372731-1,Strobilanthes macroflora,S.S.Ying,New Taxa New Names 8: 25. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086581,urn:lsid:ipni.org:names:77372734-1,Strobilanthes hallieri,(Bremek.) S.S.Ying,New Taxa New Names 8: 38. 2025 [30 Nov 2025] [epublished],,Acanthaceae Tetraglochidium hallieri Bremek.,(Bremek.)
wfo-1000086583,urn:lsid:ipni.org:names:77372736-1,Strobilanthes elizata,S.S.Ying,New Taxa New Names 8: 38. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086584,urn:lsid:ipni.org:names:77372737-1,Strobilanthes thailandica,(Bremek.) S.S.Ying,"New Taxa New Names 8: 38. 2025 [30 Nov 2025] , as 'thailandicus' [epublished]",,Acanthaceae Sericocalyx thailandicus Bremek.,(Bremek.)
wfo-1000086585,urn:lsid:ipni.org:names:77372738-1,Strobilanthes talangensis,(Bremek.) S.S.Ying,New Taxa New Names 8: 38. 2025 [30 Nov 2025] [epublished],,Acanthaceae Goldfussia talangensis Bremek.,(Bremek.)
wfo-1000086587,urn:lsid:ipni.org:names:77372740-1,Strobilanthes pedunculata,(Craib) S.S.Ying,New Taxa New Names 8: 38. 2025 [30 Nov 2025] [epublished],,Acanthaceae Gutzlaffia pedunculata Craib,(Craib)
wfo-1000086589,urn:lsid:ipni.org:names:77372742-1,Strobilanthes uniflora,S.S.Ying,New Taxa New Names 8: 31. 2025 [30 Nov 2025] [epublished],,,
wfo-1200116410,urn:lsid:ipni.org:names:77373236-1,Dicliptera strigosa,"(C.Y.Wu & H.S.Lo) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 2: 2305. 2025 [Aug 2025] ,"nom. inval.    , lacking basionym ref",Acanthaceae Peristrophe strigosa C.Y.Wu & H.S.Lo,(C.Y.Wu & H.S.Lo)
wfo-1200116411,urn:lsid:ipni.org:names:77373238-1,Dicliptera tianmuensis,"(H.S.Lo) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 2: 2305. 2025 [Aug 2025] ,"nom. inval.    , lacking basionym ref",Acanthaceae Peristrophe tianmuensis H.S.Lo,(H.S.Lo)
