WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000400948,urn:lsid:ipni.org:names:77362813-1,Ruellia suffruticosa,Roxb.,Fl. Ind. (Roxburgh) 3: 53. 1832 ,,,
wfo-0001044200,urn:lsid:ipni.org:names:77362833-1,Ruellia macrantha,(Nees) Van Houtte,Nursery Cat. (Louis van Houtte) 177: 89. 1878 [15 Mar 1878] ,,Acanthaceae Dipteracanthus macranthus Nees,(Nees)
wfo-1000082792,urn:lsid:ipni.org:names:77362837-1,Jacobinia candicans,Benth. & Hook.f. ex B.D.Jacks.,Index Kew. 1(2): 1246. 1893 [14 Dec 1893] ,pro syn.    of Dianthera candicans,,
wfo-1200113417,urn:lsid:ipni.org:names:77363404-1,Justicia alpina subsp. machupicchuensis,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 9. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082201,urn:lsid:ipni.org:names:77363405-1,Justicia rojasiae,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 16. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082202,urn:lsid:ipni.org:names:77363406-1,Justicia oppositiflora,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 19. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082203,urn:lsid:ipni.org:names:77363407-1,Justicia discolor,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 22. 2025 [16 Jun 2025] [epublished],,,
wfo-1200113418,urn:lsid:ipni.org:names:77363408-1,Justicia discolor subsp. filisepala,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 23. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082204,urn:lsid:ipni.org:names:77363409-1,Justicia chamaecaulis,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 26. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082205,urn:lsid:ipni.org:names:77363410-1,Justicia tumbesiana,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 32. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082206,urn:lsid:ipni.org:names:77363411-1,Justicia angustituba,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 46. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082207,urn:lsid:ipni.org:names:77363412-1,Justicia longibracteata,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 52. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082208,urn:lsid:ipni.org:names:77363413-1,Justicia baguensis,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 58. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082209,urn:lsid:ipni.org:names:77363414-1,Justicia cajamarcensis,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 60. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082211,urn:lsid:ipni.org:names:77363423-1,Justicia sagasteguii,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 61. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082212,urn:lsid:ipni.org:names:77363424-1,Justicia chlamydocardioides,(Mildbr.) R.Villanueva & J.R.I.Wood,PhytoKeys 258: 73. 2025 [16 Jun 2025] [epublished],,Acanthaceae Tessmanniacanthus chlamydocardioides Mildbr.,(Mildbr.)
wfo-1000082213,urn:lsid:ipni.org:names:77363425-1,Justicia schunkei,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 75. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082214,urn:lsid:ipni.org:names:77363426-1,Justicia werffii,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 76. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082215,urn:lsid:ipni.org:names:77363427-1,Justicia spathuliformis,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 79. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082217,urn:lsid:ipni.org:names:77363429-1,Justicia saccata,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 82. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082218,urn:lsid:ipni.org:names:77363430-1,Justicia lactiflora,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 89. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082219,urn:lsid:ipni.org:names:77363431-1,Justicia bambusiformis,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 91. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082220,urn:lsid:ipni.org:names:77363432-1,Justicia valenzuelae,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 93. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082221,urn:lsid:ipni.org:names:77363433-1,Justicia huallagensis,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 95. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082222,urn:lsid:ipni.org:names:77363434-1,Justicia oxapampensis,R.Villanueva & J.R.I.Wood,PhytoKeys 258: 97. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082223,urn:lsid:ipni.org:names:77363435-1,Justicia falcifolia,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 100. 2025 [16 Jun 2025] [epublished],,,
wfo-1000082224,urn:lsid:ipni.org:names:77363436-1,Justicia hyalina,J.R.I.Wood & R.Villanueva,PhytoKeys 258: 102. 2025 [16 Jun 2025] [epublished],,,
