WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078354,urn:lsid:ipni.org:names:77356369-1,Syagrus harenae,B.F.Sant'Anna-Santos,Pl. Ecol. Evol. 158(1): 67. 2025 [12 Feb 2025] [epublished],,,
wfo-0001250196,urn:lsid:ipni.org:names:77357344-1,Kunthia xalapensis,Hort. Berol. ex Otto & A.Dietr.,Allg. Gartenzeitung 1: 1. 1833 ,,,
wfo-1000078640,urn:lsid:ipni.org:names:77357542-1,Iguanura australis,(Becc.) A.J.Hend.,Phytotaxa 690(2): 146. 2025 [28 Feb 2025] [epublished],,Arecaceae Iguanura borneensis Scheff. var. australis Becc.,(Becc.)
wfo-1000078641,urn:lsid:ipni.org:names:77357543-1,Iguanura beccarii,A.J.Hend.,Phytotaxa 690(2): 148. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078642,urn:lsid:ipni.org:names:77357544-1,Iguanura bruneiensis,A.J.Hend.,Phytotaxa 690(2): 152. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078652,urn:lsid:ipni.org:names:77357556-1,Iguanura exilis,A.J.Hend.,Phytotaxa 690(2): 157. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078653,urn:lsid:ipni.org:names:77357557-1,Iguanura grandis,A.J.Hend.,Phytotaxa 690(2): 161. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078654,urn:lsid:ipni.org:names:77357558-1,Iguanura lunata,A.J.Hend.,Phytotaxa 690(2): 163. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078655,urn:lsid:ipni.org:names:77357559-1,Iguanura magna,(Kiew) A.J.Hend.,Phytotaxa 690(2): 165. 2025 [28 Feb 2025] [epublished],,Arecaceae Iguanura palmuncula Becc. var. magna Kiew,(Kiew)
wfo-1000078656,urn:lsid:ipni.org:names:77357561-1,Iguanura mogeae,A.J.Hend.,Phytotaxa 690(2): 167. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078657,urn:lsid:ipni.org:names:77357562-1,Iguanura montana,A.J.Hend.,Phytotaxa 690(2): 169. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078658,urn:lsid:ipni.org:names:77357563-1,Iguanura sarawakensis,A.J.Hend.,Phytotaxa 690(2): 176. 2025 [28 Feb 2025] [epublished],,,
wfo-1000078659,urn:lsid:ipni.org:names:77357564-1,Iguanura tomentosa,A.J.Hend.,Phytotaxa 690(2): 180. 2025 [28 Feb 2025] [epublished],,,
