WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000080762,urn:lsid:ipni.org:names:77359838-1,Hieracium sourekii,Szeląg,Phytotaxa 696(3): 217. 2025 [3 Apr 2025] [epublished],,,
wfo-1000080881,urn:lsid:ipni.org:names:77360300-1,Saussurea degeensis,Lian S.Xu & Y.S.Chen,Phytotaxa 697(2): 194. 2025 [15 Apr 2025] [epublished],,,
wfo-1000080884,urn:lsid:ipni.org:names:77360303-1,Noccaea bulutii,H.Duman & Özüdoğru,Turk. J. Bot. 49(2): 112. 2025 [7 Mar 2025] [epublished],,,
wfo-1000080922,urn:lsid:ipni.org:names:77360574-1,Cineraria allardtiana,A.Dietr.,Allg. Gartenzeitung 13: 197. 1845 [21 Jun 1845] ,,,
wfo-1000080927,urn:lsid:ipni.org:names:77360582-1,Chromolaena medullosa,(Urb.) Ferlay,Phytotaxa 698(1): 52. 2025 [22 Apr 2025] [epublished],,Asteraceae Eupatorium medullosum Urb.,(Urb.)
wfo-1200112554,urn:lsid:ipni.org:names:77360845-1,Hieracium tephrosoma subsp. schmidianum,Zahn,Pflanzenr. (Engler) 77: 696. 1921 ,,,
wfo-1200112599,urn:lsid:ipni.org:names:77360857-1,Aster decorus,Sepp,Bloemk. Woordenb. 39. 1821 ,,,
wfo-1200112600,urn:lsid:ipni.org:names:77360858-1,Aster lyratus,Sepp,Bloemk. Woordenb. 41. 1821 ,,,
wfo-1000080970,urn:lsid:ipni.org:names:77360880-1,Leucozoma alexandri,T.L.Collins,Austral. Syst. Bot. 38(2)-SB24018: 19. 2025 [13 Mar 2025] [epublished],,,
wfo-1000080974,urn:lsid:ipni.org:names:77360884-1,Leucozoma wollumbin,T.L.Collins,Austral. Syst. Bot. 38(2)-SB24018: 26. 2025 [13 Mar 2025] [epublished],,,
wfo-1000080977,urn:lsid:ipni.org:names:77360887-1,Coronidium batianoffii,T.L.Collins & I.Telford,Austral. Syst. Bot. 38(2)-SB24018: 28. 2025 [13 Mar 2025] [epublished],,,
wfo-1000080978,urn:lsid:ipni.org:names:77360888-1,Coronidium bruhlii,T.L.Collins,Austral. Syst. Bot. 38(2)-SB24018: 29. 2025 [13 Mar 2025] [epublished],,,
wfo-1200112617,urn:lsid:ipni.org:names:77360909-1,Osteospermum grandiflorum,Sepp,Bloemk. Woordenb. 345. 1821 ,nom. illeg. nom. superfl.,,
wfo-1000081024,urn:lsid:ipni.org:names:77357872-1,Gynura comorensis,J.Calvo & Callm.,Kew Bull. 80(2): 4 of 6. 2025 [15 Apr 2025] [epublished],,,
