WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000083524,urn:lsid:ipni.org:names:77366611-1,Aster × cordi-belgii,Silva Tar. & C.K.Schneid.,Freiland-Staud. ed. 4: 122. 1927 ,,,
wfo-1000083922,urn:lsid:ipni.org:names:77366612-1,Aster spathulatus,E.Forst. ex J.Forbes,Hort. Woburn. 189. 1833 [Oct-Nov 1833] ,,,
wfo-1000083540,urn:lsid:ipni.org:names:77366760-1,Pyrrocoma ahartii,G.L.Nesom,Phytoneuron 2025-40: 1. [23 Jul 2025] [epublished],,,
wfo-1000083541,urn:lsid:ipni.org:names:77366761-1,Pyrrocoma ertterae,G.L.Nesom,Phytoneuron 2025-19: 1. [30 Apr 2025] [epublished],,,
wfo-1000083542,urn:lsid:ipni.org:names:77366762-1,Pyrrocoma salsa,G.L.Nesom,Phytoneuron 2025-19: 7. [30 Apr 2025] [epublished],,,
wfo-1000083543,urn:lsid:ipni.org:names:77366763-1,Pyrrocoma elliptica,G.L.Nesom,Phytoneuron 2025-19: 8. [30 Apr 2025] [epublished],,,
wfo-1000083544,urn:lsid:ipni.org:names:77366764-1,Pyrrocoma peregrina,G.L.Nesom,Phytoneuron 2025-39: 2. [23 Jul 2025] [epublished],,,
wfo-1000083546,urn:lsid:ipni.org:names:77366768-1,Pyrrocoma bitneri,G.L.Nesom,Phytoneuron 2025-15: 2. [30 Apr 2025] [epublished],,,
wfo-1000083547,urn:lsid:ipni.org:names:77366769-1,Pyrrocoma sicula,G.L.Nesom,Phytoneuron 2025-15: 4. [30 Apr 2025] [epublished],,,
wfo-1000083548,urn:lsid:ipni.org:names:77366770-1,Pyrrocoma tiehmii,G.L.Nesom,Phytoneuron 2025-15: 5. [30 Apr 2025] [epublished],,,
wfo-1000083549,urn:lsid:ipni.org:names:77366771-1,Pyrrocoma isabellae,G.L.Nesom,Phytoneuron 2025-15: 7. [30 Apr 2025] [epublished],,,
wfo-1000083550,urn:lsid:ipni.org:names:77366772-1,Pyrrocoma edaphila,G.L.Nesom,Phytoneuron 2025-15: 11. [30 Apr 2025] [epublished],,,
wfo-1000083551,urn:lsid:ipni.org:names:77366773-1,Pyrrocoma mineralis,G.L.Nesom,Phytoneuron 2025-17: 3. [30 Apr 2025] [epublished],,,
wfo-1000083552,urn:lsid:ipni.org:names:77366774-1,Pyrrocoma thermolibes,G.L.Nesom,Phytoneuron 2025-17: 6. [30 Apr 2025] [epublished],,,
wfo-1000083553,urn:lsid:ipni.org:names:77366775-1,Pyrrocoma pyramidis,G.L.Nesom,Phytoneuron 2025-18: 1. [30 Apr 2025] [epublished],,,
wfo-1000083554,urn:lsid:ipni.org:names:77366777-1,Pyrrocoma stenocephala,(A.Gray) G.L.Nesom,Phytoneuron 2025-20: 1. [30 Apr 2025] [epublished],,Asteraceae Haplopappus paniculatus  var. stenocephalus A.Gray,(A.Gray)
wfo-1000083555,urn:lsid:ipni.org:names:77366778-1,Pyrrocoma shastensis,G.L.Nesom,Phytoneuron 2025-24: 1. [2 Jun 2025] [epublished],,,
wfo-1000083556,urn:lsid:ipni.org:names:77366779-1,Pyrrocoma colossus,G.L.Nesom,Phytoneuron 2025-24: 3. [2 Jun 2025] publication online,,,
wfo-1000083557,urn:lsid:ipni.org:names:77366780-1,Pyrrocoma fimbriata,G.L.Nesom,Phytoneuron 2025-24: 4. [2 Jun 2025] [epublished],,,
wfo-1000083559,urn:lsid:ipni.org:names:77366782-1,Pyrrocoma anemophila,Tiehm & G.L.Nesom,Phytoneuron 2025-25: 1. [2 Jun 2025] [epublished],,,
wfo-1000083564,urn:lsid:ipni.org:names:77366793-1,Monticalia mingae,J.Calvo & G.Benítez,Brittonia 77(2): 214. 2025 [24 Mar 2025] [epublished],,,
wfo-1000083580,urn:lsid:ipni.org:names:77366814-1,Pyrrocoma robertjohnsonii,G.L.Nesom,Phytoneuron 2025-26: 2. [2 Jun 2025] [epublished],,,
wfo-1000083581,urn:lsid:ipni.org:names:77366815-1,Pyrrocoma stellaris,G.L.Nesom,Phytoneuron 2025-26: 4. [2 Jun 2025] [epublished],,,
wfo-1000083582,urn:lsid:ipni.org:names:77366816-1,Pyrrocoma duchesnia,G.L.Nesom,Phytoneuron 2025-26: 10. [2 Jun 2025] [epublished],,,
wfo-1000083583,urn:lsid:ipni.org:names:77366818-1,Pyrrocoma eremica,G.L.Nesom,Phytoneuron 2025-28: 2. [14 Jun 2025] [epublished],,,
wfo-1000083584,urn:lsid:ipni.org:names:77366819-1,Pyrrocoma curvata,(Piper) G.L.Nesom,Phytoneuron 2025-31: 3. [8 Jul 2025] [epublished],"nom. inval.    , pro syn under P. lanceolata",Asteraceae Hoorebekia curvata Piper,(Piper)
wfo-1000083585,urn:lsid:ipni.org:names:77366820-1,Pyrrocoma eureka,G.L.Nesom,Phytoneuron 2025-34: 5. [8 Jul 2025] [epublished],,,
wfo-1200114069,urn:lsid:ipni.org:names:77366824-1,Celmisia sinclairii var. nivalis,(W.Martin) Saldivia,Phytoneuron 2025-41: 1. [5 Aug 2025] [epublished],,Asteraceae Celmisia incana Hook.f. var. nivalis W.Martin,(W.Martin)
wfo-1200114070,urn:lsid:ipni.org:names:77366825-1,Celmisia sinclairii var. canescens,(W.Martin) Saldivia,Phytoneuron 2025-41: 1. [5 Aug 2025] [epublished],,Asteraceae Celmisia allanii W.Martin var. canescens W.Martin,(W.Martin)
