WFOID,IPNID,scientificName,authors_t,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078307,urn:lsid:ipni.org:names:77356299-1,Centaurea lalica,Negaresh,Ann. Bot. Fenn. 61(1): 213. 2024 [7 Aug 2024] [epublished],,,
wfo-1200110545,urn:lsid:ipni.org:names:77356646-1,Gerbera ambigua var. typica,Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 452. 1923 [28 Nov 1923] ,"nom. inval.    Contrary to Art. 24.3., ICN (2018).",,
wfo-0000106946,urn:lsid:ipni.org:names:77356647-1,Gerbera ambigua var. kraussii,(Sch.Bip.) Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 452. 1923 [28 Nov 1923] ,,Asteraceae Gerbera kraussii Sch.Bip.,(Sch.Bip.)
wfo-0000055306,urn:lsid:ipni.org:names:77356649-1,Gerbera kraussii var. gueinzii,Harv.,Fl. Cap. (Harvey) 3: 523. 1865 [24 Feb - 30 Jun 1865] ,,,
wfo-0000107956,urn:lsid:ipni.org:names:77356650-1,Gerbera ambigua var. gueinzii,(Harv.) Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 452. 1923 [28 Nov 1923] ,,Asteraceae Gerbera kraussii Sch.Bip. var. gueinzii Harv.,(Harv.)
wfo-1200110546,urn:lsid:ipni.org:names:77356651-1,Gerbera ambigua var. cardiopbasis,Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 452. 1923 [28 Nov 1923] ,,,
wfo-1200110547,urn:lsid:ipni.org:names:77356652-1,Asteriscus graveolens var. genuinus,(Forssk.) Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 455. 1923 [28 Nov 1923] ,"nom. inval.    Contrary to Art. 24.3., ICN (2018)",Asteraceae Buphthalmum graveolens Forssk.,(Forssk.)
wfo-0000071799,urn:lsid:ipni.org:names:77356653-1,Asteriscus graveolens var. villosus,Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 456. 1923 [28 Nov 1923] ,,,
wfo-0000036700,urn:lsid:ipni.org:names:77356654-1,Asteriscus graveolens var. scaber,Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 456. 1923 [28 Nov 1923] ,,,
wfo-1200110548,urn:lsid:ipni.org:names:77356655-1,Senecio pseudorhyncholaenus var. exauriculatus,Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 450. 1923 [28 Nov 1923] ,,,
wfo-1200110549,urn:lsid:ipni.org:names:77356656-1,Senecio pseudorhyncholaenus var. auriculatus,Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 68: 450. 1923 [28 Nov 1923] ,,,
wfo-1000078396,urn:lsid:ipni.org:names:77356657-1,Hieracium stanislai,Szeląg,Phytotaxa 684(2): 283. 2025 [11 Feb 2025] [epublished],,,
wfo-1000078397,urn:lsid:ipni.org:names:77356658-1,Hieracium walasii,Szeląg,Phytotaxa 684(2): 285. 2025 [11 Feb 2025] [epublished],,,
wfo-1000078404,urn:lsid:ipni.org:names:77356668-1,Artemisia minchunensis,(Y.R.Ling) Long Wang & G.Z.Jin,Phytotaxa 686(1): 28. 2025 [12 Feb 2025] [epublished],,Asteraceae Seriphidium minchunense Y.R.Ling,(Y.R.Ling)
wfo-1000078405,urn:lsid:ipni.org:names:77356669-1,Artemisia neolehmanniana,G.Z.Jin,Phytotaxa 686(1): 31. 2025 [12 Feb 2025] [epublished],,,
wfo-1000078406,urn:lsid:ipni.org:names:77356670-1,Artemisia sawanensis,(Y.R.Ling & Humphries) Long Wang & G.Z.Jin,Phytotaxa 686(1): 40. 2025 [12 Feb 2025] [epublished],,Asteraceae Seriphidium sawanense Y.R.Ling & Humphries,(Y.R.Ling & Humphries)
wfo-4100005008,urn:lsid:ipni.org:names:77356806-1,Ovicula,Manley,PhytoKeys 252: 147. 2025 [18 Feb 2025] [epublished],,,
wfo-1000078426,urn:lsid:ipni.org:names:77356807-1,Ovicula biradiata,Manley,PhytoKeys 252: 147. 2025 [18 Feb 2025] [epublished],,,
wfo-1000078434,urn:lsid:ipni.org:names:77356921-1,Shawia allomii,(Kirk) Nicol & Saldivia,Phytotaxa 687(2): 260. 2025 [18 Feb 2025] [epublished],,Asteraceae Olearia allomii Kirk,(Kirk)
wfo-1000078435,urn:lsid:ipni.org:names:77356922-1,Shawia pachyphylla,(Cheeseman) Nicol & Saldivia,Phytotaxa 687(2): 261. 2025 [18 Feb 2025] [epublished],,Asteraceae Olearia pachyphylla Cheeseman,(Cheeseman)
wfo-1000078439,urn:lsid:ipni.org:names:77356931-1,Saussurea draconis,Yusup. & E.Pjak,Syst. Biodivers. 22(1)-2413944: 4. 2024 [8 Nov 2024] [epublished],,,
wfo-1000078440,urn:lsid:ipni.org:names:77356932-1,Saussurea × magica,Yusup. & E.Pjak,Syst. Biodivers. 22(1)-2413944: 6. 2024 [8 Nov 2024] [epublished],,,
wfo-1000078444,urn:lsid:ipni.org:names:77356936-1,Sinosenecio tongziensis,"R.B.Zhang, Tan Deng & Ying Liu",PhytoKeys 252: 189. 2025 [20 Feb 2025] [epublished],,,
wfo-1200110556,urn:lsid:ipni.org:names:77356945-1,Crinitaria linosyris var. fominii,(Kem.-Nath.) Tschatsch.,"Fl. Gruzii, ed. 2. 15: 77. 2007 ",,Asteraceae Linosyris fominii Kem.-Nath.,(Kem.-Nath.)
wfo-1200110557,urn:lsid:ipni.org:names:77356946-1,Echinops pungens subsp. conrathii,(Freyn) Gagnidze,"Fl. Gruzii, ed. 2. 15: 277. 2007 ",,Asteraceae Echinops conrathii Freyn,(Freyn)
wfo-0000106857,urn:lsid:ipni.org:names:77356947-1,Echinops rochelianus var. cirsiifolius,K.Koch,Linnaea 24: 379. 1851 ,,,
wfo-1200110558,urn:lsid:ipni.org:names:77356948-1,Echinops sphaerocephalus subsp. cirsiifolius,(K.Koch) Gagnidze,"Fl. Gruzii, ed. 2. 15: 279. 2007 , as 'cirsifolius'",,Asteraceae Echinops rochelianus Griseb. var. cirsiifolius K.Koch,(K.Koch)
wfo-1200110559,urn:lsid:ipni.org:names:77356949-1,Echinops galaticus subsp. ossicus,(K.Koch) Gagnidze,"Fl. Gruzii, ed. 2. 15: 281. 2007 ",,Asteraceae Echinops ossicus K.Koch,(K.Koch)
wfo-1200110560,urn:lsid:ipni.org:names:77356950-1,Echinops galaticus subsp. colchicus,(Sosn. ex Kem.-Nath.) Gagnidze,"Fl. Gruzii, ed. 2. 15: 281. 2007 ",,Asteraceae Echinops colchicus Sosn. ex Kem.-Nath.,(Sosn. ex Kem.-Nath.)
