WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000077551,urn:lsid:ipni.org:names:77354503-1,Leucheria sect. Cassiopea,(D.Don) Hook.,Compan. Bot. Mag. 1(2): 36. 1835 [1 Sep 1835] ,,Asteraceae Leucheria [infragen.unranked] Cassiopea D.Don,(D.Don)
wfo-1000077587,urn:lsid:ipni.org:names:77354653-1,Cirsium fissibracteum,Peterm.,Deutschl. Fl. (Petermann) 312. 1849 ,,,
wfo-1000077609,urn:lsid:ipni.org:names:77354791-1,Pterothrix grisea,(Koek.) N.G.Bergh,S. African J. Bot. 171: 302. 2024 [20 Jun 2024] [epublished],,Asteraceae Amphiglossa grisea Koek.,(Koek.)
wfo-1000077610,urn:lsid:ipni.org:names:77354792-1,Pterothrix celans,(Koek.) N.G.Bergh,S. African J. Bot. 171: 303. 2024 [20 Jun 2024] [epublished],,Asteraceae Amphiglossa celans Koek.,(Koek.)
wfo-1000077611,urn:lsid:ipni.org:names:77354793-1,Pterothrix susannae,(Koek.) N.G.Bergh,S. African J. Bot. 171: 303. 2024 [20 Jun 2024] [epublished],,Asteraceae Amphiglossa susannae Koek.,(Koek.)
wfo-1000077612,urn:lsid:ipni.org:names:77354794-1,Pterothrix rudolphii,(Koek.) N.G.Bergh,S. African J. Bot. 171: 303. 2024 [20 Jun 2024] [epublished],,Asteraceae Amphiglossa rudolphii Koek.,(Koek.)
wfo-1000077613,urn:lsid:ipni.org:names:77354795-1,Stoebe kolbei,(Bolus) N.G.Bergh,S. African J. Bot. 171: 306. 2024 [20 Jun 2024] [epublished],,Asteraceae Amphiglossa kolbei Bolus,(Bolus)
wfo-1000077614,urn:lsid:ipni.org:names:77354796-1,Stoebe gongylodes,(Koek.) N.G.Bergh,S. African J. Bot. 171: 306. 2024 [20 Jun 2024] [epublished],,Asteraceae Disparago gongylodes Koek.,(Koek.)
wfo-1000077615,urn:lsid:ipni.org:names:77354797-1,Stoebe pilosa,(Koek.) N.G.Bergh,S. African J. Bot. 171: 306. 2024 [20 Jun 2024] [epublished],,Asteraceae Disparago pilosa Koek.,(Koek.)
wfo-1000077616,urn:lsid:ipni.org:names:77354798-1,Stoebe barbata,(Koek.) N.G.Bergh,S. African J. Bot. 171: 306. 2024 [20 Jun 2024] [epublished],,Asteraceae Disparago barbata Koek.,(Koek.)
wfo-1000077617,urn:lsid:ipni.org:names:77354799-1,Stoebe anomala,(Schltr. ex Levyns) N.G.Bergh,S. African J. Bot. 171: 307. 2024 [20 Jun 2024] [epublished],,Asteraceae Disparago anomala Schltr. ex Levyns,(Schltr. ex Levyns)
wfo-1000077618,urn:lsid:ipni.org:names:77354800-1,Stoebe laxifolia,(DC.) N.G.Bergh,S. African J. Bot. 171: 307. 2024 [20 Jun 2024] [epublished],,Asteraceae Disparago laxifolia DC.,(DC.)
wfo-1000077619,urn:lsid:ipni.org:names:77354801-1,Stoebe kraussii,(Sch.Bip.) N.G.Bergh,S. African J. Bot. 171: 308. 2024 [20 Jun 2024] [epublished],,Asteraceae Disparago kraussii Sch.Bip.,(Sch.Bip.)
wfo-1000077620,urn:lsid:ipni.org:names:77354802-1,Stoebe monticola,(Koek.) N.G.Bergh,S. African J. Bot. 171: 308. 2024 [20 Jun 2024] [epublished],,Asteraceae Elytropappus monticola Koek.,(Koek.)
wfo-1000077621,urn:lsid:ipni.org:names:77354803-1,Stoebe hispida,(L.f.) N.G.Bergh,S. African J. Bot. 171: 308. 2024 [20 Jun 2024] [epublished],,Asteraceae Gnaphalium hispidum L.f.,(L.f.)
wfo-1000077622,urn:lsid:ipni.org:names:77354804-1,Stoebe cyathiformis,(DC.) N.G.Bergh,S. African J. Bot. 171: 308. 2024 [20 Jun 2024] [epublished],,Asteraceae Elytropappus cyathiformis DC.,(DC.)
wfo-1000077623,urn:lsid:ipni.org:names:77354805-1,Stoebe gracilis,N.G.Bergh,S. African J. Bot. 171: 308. 2024 [20 Jun 2024] [epublished],,,
wfo-1000077624,urn:lsid:ipni.org:names:77354806-1,Stoebe longifolia,(DC.) N.G.Bergh,S. African J. Bot. 171: 308. 2024 [20 Jun 2024] [epublished],,Asteraceae Elytropappus glandulosus Less. var. longifolius DC.,(DC.)
wfo-1000077625,urn:lsid:ipni.org:names:77354807-1,Stoebe glandulosa,(Less.) N.G.Bergh,S. African J. Bot. 171: 309. 2024 [20 Jun 2024] [epublished],nom. illeg. later homonym,Asteraceae Elytropappus glandulosus Less.,(Less.)
wfo-1000077626,urn:lsid:ipni.org:names:77354808-1,Stoebe arida,(Koek.) N.G.Bergh,S. African J. Bot. 171: 309. 2024 [20 Jun 2024] [epublished],,Asteraceae Elytropappus aridus Koek.,(Koek.)
wfo-1200110256,urn:lsid:ipni.org:names:77354809-1,Stoebe gnaphaloides,(L.) N.G.Bergh,S. African J. Bot. 171: 309. 2024 [20 Jun 2024] [epublished],isonym,Asteraceae Seriphium gnaphaloides L.,(L.)
wfo-1000077627,urn:lsid:ipni.org:names:77354810-1,Stoebe dunensis,(Shaik) N.G.Bergh,S. African J. Bot. 171: 309. 2024 [20 Jun 2024] [epublished],,Asteraceae Seriphium dunensis Shaik,(Shaik)
wfo-1000077628,urn:lsid:ipni.org:names:77354811-1,Stoebe burrowsiorum,(Shaik) N.G.Bergh,"S. African J. Bot. 171: 309. 2024 [20 Jun 2024] , as 'burrowsii' [epublished]",,Asteraceae Seriphium burrowsiorum Shaik,(Shaik)
wfo-1000077629,urn:lsid:ipni.org:names:77354812-1,Stoebe cryptica,(Shaik) N.G.Bergh,S. African J. Bot. 171: 310. 2024 [20 Jun 2024] [epublished],,Asteraceae Seriphium crypticum Shaik,(Shaik)
wfo-1000077630,urn:lsid:ipni.org:names:77354813-1,Stoebe alto-argillacea,(Shaik) N.G.Bergh,S. African J. Bot. 171: 310. 2024 [20 Jun 2024] [epublished],,Asteraceae Seriphium alto-argillaceum Shaik,(Shaik)
wfo-1200110257,urn:lsid:ipni.org:names:77354814-1,Ligularia japonica,(L.f.) Less. ex DC.,Prodr. [A. P. de Candolle] 6: 316. 1838 [dt. 1837; publ. early Jan 1838] ,,Asteraceae Arnica japonica L.f.,(L.f.)
wfo-1200110056,urn:lsid:ipni.org:names:77354815-1,Senecio japonicus var. scaberrimus,Hayata,J. Coll. Sci. Imp. Univ. Tokyo 22: 208. 1906 ,nom. inval. nom. nud.,,
wfo-1200110057,urn:lsid:ipni.org:names:77354816-1,Senecio japonicus var. scaberrimus,Hayata,J. Coll. Sci. Imp. Univ. Tokyo 30(Art. 1): 155. 1911 [20 Jun 1911] ,,,
wfo-0000125997,urn:lsid:ipni.org:names:77354817-1,Ligularia tussilaginea var. formosana,Hayata,Icon. Pl. Formosan. 8: 69. 1919 [25 Mar 1919] ,,,
wfo-1200110258,urn:lsid:ipni.org:names:77354818-1,Taraxacum angustifolium,Charit.,"Genesis Phytostroma Russia 102. 2015 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",nom. illeg. later homonym,,
