WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000082048,urn:lsid:ipni.org:names:77362950-1,Pilosella sericochrota,(Zahn) Szeląg & Vladimir.,Phytotaxa 704(2): 206. 2025 [6 Jun 2025] [epublished],,Asteraceae Hieracium pseudopilosella Ten. subsp. sericochrota Zahn,(Zahn)
wfo-1000082049,urn:lsid:ipni.org:names:77362951-1,Pilosella × riloensis,Szeląg & Vladimir.,Phytotaxa 704(2): 204. 2025 [6 Jun 2025] [epublished],,,
wfo-1200113389,urn:lsid:ipni.org:names:77363114-1,Hieracium bifidum subsp. ithanum,Gottschl.,Kochia 18: 30. 2025 [16 May 2025] ,,,
wfo-1000082079,urn:lsid:ipni.org:names:77363120-1,Aster mayangheensis,Zhi Li,"PhytoKeys 257: 182. 2025 [10 Jun 2025] , as 'mayangheense' [epublished]",Termination of specific epithet amended as per Art. 23.5. ICN (2018).,,
wfo-1000082082,urn:lsid:ipni.org:names:77363131-1,Taraxacum tenuidentatum,Oosterv. ex K.Jung & Uhlemann,Kochia 18: 93. 2025 [16 May 2025] ,,,
wfo-1000082148,urn:lsid:ipni.org:names:77363209-1,Artemisia kholabaria,Shumon,"Wild Pl. Kingd. Bangladesh 37. 2024 [18 Nov 2024] , as 'Artimisia kholabaria'",nom. inval.    Contrary to Art. 40.1. ICN (2018). Type not indicated.,,
wfo-1000082164,urn:lsid:ipni.org:names:77363238-1,Nassauvia sect. Achilleae,Hershk.,Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] [epublished],,,
wfo-1200113512,urn:lsid:ipni.org:names:77363239-1,Nassauvia achilleae,(DC.) Hershk.,"Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] , as 'Nassauviaachilleae' [epublished]",,Asteraceae Triptilion achilleae DC.,(DC.)
wfo-1000082165,urn:lsid:ipni.org:names:77363240-1,Nassauvia berteroi,(Phil.) Hershk.,"Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] , as 'Nassauviaberteroi' [epublished]",,Asteraceae Triptilion berteroi Phil.,(Phil.)
wfo-1000082166,urn:lsid:ipni.org:names:77363241-1,Nassauvia benaventii,(J.Rémy) Hershk.,"Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] , as 'Nassauviabenaventii' [epublished]",,Asteraceae Triptilion benaventii J.Rémy,(J.Rémy)
wfo-1000082167,urn:lsid:ipni.org:names:77363242-1,Nassauvia gibbosa,(J.Rémy) Hershk.,"Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] , as 'Nassauviagibbosa' [epublished]",,Asteraceae Triptilion gibbosum J.Rémy,(J.Rémy)
wfo-4100005907,urn:lsid:ipni.org:names:77363243-1,subtrib. Acourtiinae,Hershk.,Int. J. Adv. Res. Publ. Rev. 2(6): 242. 2025 [14 Jun 2025] [epublished],,,
wfo-4100005908,urn:lsid:ipni.org:names:77363244-1,subtrib. Proustiinae,Hershk.,Int. J. Adv. Res. Publ. Rev. 2(6): 242. 2025 [14 Jun 2025] [epublished],,,
wfo-4100005909,urn:lsid:ipni.org:names:77363245-1,subtrib. Spinoliviinae,Hershk.,Int. J. Adv. Res. Publ. Rev. 2(6): 242. 2025 [14 Jun 2025] [epublished],,,
wfo-1000082168,urn:lsid:ipni.org:names:77363246-1,Nassauvia sect. Triptilion,(Ruiz & Pav.) Hershk.,Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] [epublished],,Asteraceae Triptilion Ruiz & Pav.,(Ruiz & Pav.)
wfo-1200113515,urn:lsid:ipni.org:names:77363263-1,Nassauvia sect. Strongyloma,(DC.) Hershk.,Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] [epublished],,Asteraceae Strongyloma DC.,(DC.)
wfo-1200113516,urn:lsid:ipni.org:names:77363284-1,Nassauvia cordifolia,(Lag.) Hershk.,"Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] , as 'Nassauviacordifolia' [epublished]",isonym,Asteraceae Triptilion cordifolium Lag.,(Lag.)
wfo-1200113435,urn:lsid:ipni.org:names:77363470-1,Chrysanthemum heterophyllum subsp. maximum,(Ramond) Soó,Acta Bot. Acad. Sci. Hung. 4: 197. 1958 ,"nom. inval.    , lacking full and direct basionym ref",Asteraceae Chrysanthemum maximum Ramond,(Ramond)
wfo-1000082243,urn:lsid:ipni.org:names:77363583-1,Homostylium albescens,(DC.) Z.X.Fu,PhytoKeys 259: 34. 2025 [17 Jun 2025] [epublished],,Asteraceae Amphirhapis albescens DC.,(DC.)
wfo-1200113438,urn:lsid:ipni.org:names:77363584-1,Homostylium albescens var. discolor,(Y.Ling) Z.X.Fu,PhytoKeys 259: 38. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster albescens (DC.) Wall. ex Hand.-Mazz. var. discolor Y.Ling,(Y.Ling)
wfo-1200113439,urn:lsid:ipni.org:names:77363585-1,Homostylium albescens var. glabratum,(Diels) Z.X.Fu,PhytoKeys 259: 38. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster harrowianus Diels var. glabratus Diels,(Diels)
wfo-1200113440,urn:lsid:ipni.org:names:77363586-1,Homostylium albescens var. salignum,(Franch.) Z.X.Fu,PhytoKeys 259: 39. 2025 [17 Jun 2025] [epublished],,Asteraceae Inula cuspidata (DC.) C.B.Clarke var. saligna Franch.,(Franch.)
wfo-1200113441,urn:lsid:ipni.org:names:77363587-1,Homostylium albescens var. glandulosum,(Hand.-Mazz.) Z.X.Fu,PhytoKeys 259: 41. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster albescens (DC.) Wall. ex Hand.-Mazz. var. glandulosus Hand.-Mazz.,(Hand.-Mazz.)
wfo-1200113442,urn:lsid:ipni.org:names:77363588-1,Homostylium albescens var. harrowianum,(Diels) Z.X.Fu,PhytoKeys 259: 41. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster harrowianus Diels,(Diels)
wfo-1200113443,urn:lsid:ipni.org:names:77363589-1,Homostylium albescens var. limprichtii,(Diels) Z.X.Fu,PhytoKeys 259: 43. 2025 [17 Jun 2025] Entered via registration/additional info added and released,,Asteraceae Aster limprichtii Diels,(Diels)
