WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200111833,urn:lsid:ipni.org:names:77357866-1,Senecio petitianus subvar. discoideus,Humbert,Notul. Syst. (Paris) 15(4): 375. 1959 [Oct 1959] ,,,
wfo-1000079278,urn:lsid:ipni.org:names:77357873-1,Pseudopodospermum baskilense,Behçet & Yapar,Phytotaxa 691(2): 222. 2025 [6 Mar 2025] [epublished],,,
wfo-1200111894,urn:lsid:ipni.org:names:77358192-1,Senecio × hybridus,Bosse,"Vollst. Handb. Bl.-gärtn., ed. 2 3: 375. 1842 ",,,
wfo-1000079349,urn:lsid:ipni.org:names:77358197-1,Cineraria × stellata,Sutton ex Southron,"Garden (London, 1871-1927) 304, t. 1192. 1898 [15 Oct 1898] ",,,
wfo-1000079350,urn:lsid:ipni.org:names:77358198-1,Cineraria × kewensis,Rob.,"Garden (London, 1871-1927) 51: 146. 1897 ",,,
wfo-1000079351,urn:lsid:ipni.org:names:77358199-1,Senecio × kewensis,(Rob.) W.Watson,Bull. Misc. Inform. Kew 1910: 327. ,,Asteraceae Cineraria × kewensis Rob.,(Rob.)
wfo-1000079373,urn:lsid:ipni.org:names:77358237-1,Tragopogon taleghanensis,S.R.Safavi & Mahmoodi,Iran. J. Bot. 30(1): 12. 2024 [Jun 2024] ,,,
wfo-1000079377,urn:lsid:ipni.org:names:77358245-1,Drepania altissima,(Balb.) Reider,Vollst. Prakt. Handb. Gesammten Bl.-gärtn. 372. 1843 ,,Asteraceae Crepis altissima Balb.,(Balb.)
wfo-1000079396,urn:lsid:ipni.org:names:77358279-1,Cremanthodium dibangii,Vik.Kumar & Rahul Kumar,Ann. Bot. Fenn. 62: 40. 2025 [17 Feb 2025] [epublished],,,
wfo-0001130779,urn:lsid:ipni.org:names:77358338-1,Carduus theodori var. serrulatus,R.E.Fr.,Acta Horti Berg. 8: 18. 1925 ,,,
wfo-1000079445,urn:lsid:ipni.org:names:77358448-1,Santolina razaneae,"Homrani-Bakali, Chamboul. & J.-F.Léger",Phytotaxa 693(3): 236. 2025 [14 Mar 2025] [epublished],,,
wfo-0000102404,urn:lsid:ipni.org:names:77358450-1,Carduus theodori var. serratus,R.E.Fr.,Acta Horti Berg. 8: 18. 1925 ,,,
wfo-0000073525,urn:lsid:ipni.org:names:77358451-1,Carduus afromontanus var. breviflorus,R.E.Fr.,Acta Horti Berg. 8: 22. 1925 ,,,
wfo-0000014721,urn:lsid:ipni.org:names:77358452-1,Carduus kikuyorum var. goetzenii,R.E.Fr.,Acta Horti Berg. 8: 25. 1925 ,,,
wfo-0000107669,urn:lsid:ipni.org:names:77358453-1,Carduus nyassanus var. ruandensis,R.E.Fr.,Acta Horti Berg. 8: 26. 1925 ,,,
wfo-0000108635,urn:lsid:ipni.org:names:77358454-1,Carduus keniensis var. aberdaricus,R.E.Fr.,Acta Horti Berg. 8: 33. 1925 ,,,
wfo-0000106407,urn:lsid:ipni.org:names:77358455-1,Carduus keniensis var. elgonensis,R.E.Fr.,Acta Horti Berg. 8: 33. 1925 ,,,
wfo-0000106003,urn:lsid:ipni.org:names:77358457-1,Carduus steudneri subsp. buchingeri,Kazmi,Mitt. Bot. Staatssamml. München 5: 163. 1963 [31 Dec 1963] ,,,
wfo-0000106462,urn:lsid:ipni.org:names:77358459-1,Carduus keniensis subsp. hedbergii,Kazmi,Mitt. Bot. Staatssamml. München 5: 168. 1963 [31 Dec 1963] ,,,
wfo-0000089712,urn:lsid:ipni.org:names:77358460-1,Carduus keniensis subsp. elgonensis,(R.E.Fr.) Kazmi,Mitt. Bot. Staatssamml. München 5: 169. 1963 [31 Dec 1963] ,,Asteraceae Carduus keniensis R.E.Fr. var. elgonensis R.E.Fr.,(R.E.Fr.)
