WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100001302,urn:lsid:ipni.org:names:77369925-1,subtrib. Ecliptinae,Less.,Linnaea 6: 153. 1831 ,,,
wfo-1000085162,urn:lsid:ipni.org:names:77369927-1,Taraxacum diluculorum,"Vik.Kumar, Kirschner & Štěpánek",Phytotaxa 720(3): 268. 2025 [2 Oct 2025] [epublished],,,
wfo-1000085151,urn:lsid:ipni.org:names:77369931-1,Dysodia sect. Boebera,DC.,Prodr. [A. P. de Candolle] 5: 640. 1836 ,,,
wfo-1000085152,urn:lsid:ipni.org:names:77369932-1,Dysodia sect. Boeberoides,DC.,Prodr. [A. P. de Candolle] 5: 640. 1836 ,,,
wfo-0000086369,urn:lsid:ipni.org:names:77369933-1,Boebera grandiflora,DC.,Prodr. [A. P. de Candolle] 5: 640. 1836 ,pro syn.    of Dysodia grandiflora DC. [Protologue shows 'Boebera grandiflora ic. fl. mex. ined. t. 635'],,
wfo-1000085153,urn:lsid:ipni.org:names:77369934-1,Dysodia sect. Gymnolaena,DC.,Prodr. [A. P. de Candolle] 5: 641. 1836 ,,,
wfo-1000085154,urn:lsid:ipni.org:names:77369935-1,Dysodia sect. Aciphyllaea,DC.,Prodr. [A. P. de Candolle] 5: 641. 1836 ,,,
wfo-1000085155,urn:lsid:ipni.org:names:77369936-1,Dysodia porophylla,DC.,Prodr. [A. P. de Candolle] 5: 639. 1836 ,,,
wfo-1200114922,urn:lsid:ipni.org:names:77369937-1,Dysodia porophylla var. radiata,DC.,Prodr. [A. P. de Candolle] 5: 639. 1836 ,,,
wfo-1200114923,urn:lsid:ipni.org:names:77369938-1,Dysodia porophylla var. doscoidea,DC.,Prodr. [A. P. de Candolle] 5: 639. 1836 ,,,
wfo-4100001286,urn:lsid:ipni.org:names:77369939-1,subtrib. Helianthinae,Dumort.,"Fl. Belg. (Dumortier) 71. 1827 , as 'Heliantheae'",,,
wfo-1000085181,urn:lsid:ipni.org:names:77370199-1,Saussurea aksuensis,Tian Li & Y.S.Chen,Phytotaxa 721(2): 191. 2025 [7 Oct 2025] [epublished],,,
wfo-1000085182,urn:lsid:ipni.org:names:77370202-1,Saussurea tianshanensis,Tian Li & Y.S.Chen,Phytotaxa 721(2): 193. 2025 [7 Oct 2025] [epublished],,,
wfo-1000085183,urn:lsid:ipni.org:names:77370219-1,Shawia coriacea,(Kirk) Saldivia & Nicol,Phytoneuron 2025-49: 14. [11 Sep 2025] [epublished],,Asteraceae Olearia coriacea Kirk,(Kirk)
wfo-0000078821,urn:lsid:ipni.org:names:77370220-1,Olearia nummulariifolia var. cymbifolia,Hook.f.,Handb. N. Zeal. Fl. 2: 732. 1867 [23 Feb 1867] ,,,
wfo-1000085184,urn:lsid:ipni.org:names:77370221-1,Shawia cymbifolia,(Hook.f.) Saldivia & Nicol,Phytoneuron 2025-49: 14. [11 Sep 2025] ,,Asteraceae Olearia nummulariifolia Hook.f. var. cymbifolia Hook.f.,(Hook.f.)
wfo-1000085185,urn:lsid:ipni.org:names:77370222-1,Shawia moschata,(Hook.f.) Saldivia & Nicol,Phytoneuron 2025-49: 14. [11 Sep 2025] ,,Asteraceae Olearia moschata Hook.f.,(Hook.f.)
wfo-1000085186,urn:lsid:ipni.org:names:77370223-1,Shawia angulata,(Kirk) Saldivia & Nicol,Phytoneuron 2025-49: 15. [11 Sep 2025] ,,Asteraceae Olearia angulata Kirk,(Kirk)
wfo-1000085187,urn:lsid:ipni.org:names:77370224-1,Shawia haastii,(Hook.f.) Saldivia & Nicol,Phytoneuron 2025-49: 15. [11 Sep 2025] ,,Asteraceae Olearia haastii Hook.f.,(Hook.f.)
wfo-1000085188,urn:lsid:ipni.org:names:77370225-1,Shawia oleifolia,(Kirk) Saldivia & Nicol,Phytoneuron 2025-49: 15. [11 Sep 2025] ,,Asteraceae Olearia oleifolia Kirk,(Kirk)
wfo-1000085189,urn:lsid:ipni.org:names:77370226-1,Shawia matthewsii,(P.Heenan) Saldivia & Nicol,Phytoneuron 2025-49: 15. [11 Sep 2025] ,,Asteraceae Olearia × matthewsii P.Heenan,(P.Heenan)
