WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000084691,urn:lsid:ipni.org:names:77368634-1,Sinosenecio yaanensis,K.Huang & Z.X.Fu,PhytoKeys 262: 131. 2025 [4 Sep 2025] [epublished],,,
wfo-1000084689,urn:lsid:ipni.org:names:77368644-1,Olearia apiculata,Messina,Muelleria 43: 4. 2025 [24 Feb 2025] [epublished],,,
wfo-1200114817,urn:lsid:ipni.org:names:77368662-1,Lophiolepis nishiokae var. sanjeev-raii,Rajbh. & R.Chhetri,Handb. Fl. Pl. Nepal 5: 127. 2024 [Jul 2024] ,,,
wfo-1000084719,urn:lsid:ipni.org:names:77368803-1,Decaneuropsis phongnhakebangensis,Tagane & V.S.Dang,J. Jap. Bot. 100(4): 288. 2025 [20 Aug 2025] ,,,
wfo-1000084718,urn:lsid:ipni.org:names:77368804-1,Decaneuropsis gagnepainii,V.S.Dang & Tagane,J. Jap. Bot. 100(4): 291. 2025 [20 Aug 2025] ,,,
wfo-1000084717,urn:lsid:ipni.org:names:77368805-1,Decaneuropsis bonapartei,(Gagnep.) V.S.Dang & Tagane,J. Jap. Bot. 100(4): 292. 2025 [20 Aug 2025] ,,Asteraceae Vernonia bonapartei Gagnep.,(Gagnep.)
wfo-1000084716,urn:lsid:ipni.org:names:77368806-1,Decaneuropsis macrachaenia,(Gagnep.) V.S.Dang & Tagane,J. Jap. Bot. 100(4): 293. 2025 [20 Aug 2025] ,,Asteraceae Vernonia macrachaenia Gagnep.,(Gagnep.)
wfo-1200114789,urn:lsid:ipni.org:names:77368917-1,Serratula alpina var. lapatifolia,L.,Sp. Pl. [Linnaeus] 2: 817. 1753 [1 May 1753] ,,,
wfo-1200114866,urn:lsid:ipni.org:names:77368919-1,Carpesium cernuum var. lanatum,Hook.f. & Thomson ex C.B.Clarke,Compos. Ind. 130. 1876 ,,,
wfo-1000084802,urn:lsid:ipni.org:names:77368935-1,Pyrrocoma landerantha,G.L.Nesom,Phytoneuron 2025-35: 1. [8 Jul 2025] [epublished],,,
wfo-1000084738,urn:lsid:ipni.org:names:77368943-1,Carpesium lanatum,(Hook.f. & Thomson ex C.B.Clarke) Y.S.Chen,"Atlas Compos. Pl. China 2: 1675, 1894. 2025 [Jun 2025] ",nom. inval.    Contrary to Art. 41.5. ICN (2025) No full and direct reference to basionym was given,Asteraceae Carpesium cernuum L. var. lanatum Hook.f. & Thomson ex C.B.Clarke,(Hook.f. & Thomson ex C.B.Clarke)
wfo-1000084739,urn:lsid:ipni.org:names:77368944-1,Cyanthillium benguetense,(Elmer) Y.S.Chen,"Atlas Compos. Pl. China 2: 1894. 2025 [Jun 2025] , as 'benguetensis'",nom. inval.    Contrary to Art. 41.5. ICN (2025) No full and direct reference to basionym was given,Asteraceae Vernonia benguetensis Elmer,(Elmer)
wfo-1000084740,urn:lsid:ipni.org:names:77368945-1,Neobrachyactis alpina,(Y.Wei & C.H.An) Y.S.Chen,Atlas Compos. Pl. China 2: 1894. 2025 [Jun 2025] ,nom. inval.    Contrary to Art. 41.5. ICN (2025) No full and direct reference to basionym was given,Asteraceae Brachyactis alpina Y.Wei & C.H.An,(Y.Wei & C.H.An)
