WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000085124,urn:lsid:ipni.org:names:77368937-1,Begonia dubia,Vell.,Arch. Mus. Nac. Rio de Janeiro 5: 404. 1881 ,nom. illeg. later homonym,,
wfo-1000085046,urn:lsid:ipni.org:names:77368938-1,Begonia rotunda,Vell. ex Walp.,Repert. Bot. Syst. (Walpers) 2: 216. 1843 ,,,
wfo-1000085047,urn:lsid:ipni.org:names:77368939-1,Begonia dimidiata,Vell. ex Walp.,Repert. Bot. Syst. (Walpers) 2: 217. 1843 ,,,
wfo-1000085048,urn:lsid:ipni.org:names:77368940-1,Begonia herbacea,Vell. ex Walp.,Repert. Bot. Syst. (Walpers) 2: 216. 1843 ,,,
wfo-1000084930,urn:lsid:ipni.org:names:77369685-1,Begonia hpaanensis,M.B.Maw & Paing,Phytotaxa 718(4): 284. 2025 [24 Sep 2025] [epublished],,,
wfo-1000084950,urn:lsid:ipni.org:names:77369705-1,Begonia stelzneri,(Klotzsch) K.Koch,"Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten n.s., 5: 49. 1857 ",,Begoniaceae Reichenheimia stelzneri Klotzsch,(Klotzsch)
wfo-1200114897,urn:lsid:ipni.org:names:77369836-1,Begonia brunneosquamata,Phonep. & C.W.Lin,Phytotaxa 720(1): 69. 2025 [26 Sep 2025] [epublished],,,
wfo-1200114899,urn:lsid:ipni.org:names:77369870-1,Begonia nhatii,"B.V.Thanh, K.S.Nguyen & C.W.Lin",Phytotaxa 720(1): 82. 2025 [26 Sep 2025] [epublished],,,
wfo-1200114900,urn:lsid:ipni.org:names:77369877-1,Begonia elegantifolia,"Y.E.Ritonga, Girm. & Mustaqim",Phytotaxa 720(1): 88. 2025 [26 Sep 2025] [epublished],,,
wfo-1000081812,urn:lsid:ipni.org:names:77369890-1,Begonia gigang,Mazo & Rubite,J. Pl. Taxon. & Geogr. (Webbia) 80(1): 90. 2025 [17 Apr 2025] [epublished],,,
wfo-1000085122,urn:lsid:ipni.org:names:77369909-1,Begonia × hybrida,Regel,Schweiz. Z. Gartenbau 4(3): 39. 1846 [Mar 1846] ,,,
wfo-1000081811,urn:lsid:ipni.org:names:77349864-1,Begonia ebo,H.Lockwood,J. Pl. Taxon. & Geogr. (Webbia) 80(1): 79. 2025 [17 Apr 2025] [epublished],,,
