WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114269,urn:lsid:ipni.org:names:77366837-1,Pulmonaria mollis,J.P.Wolff ex J.F.Lehm.,Prim. Lin. Fl. Herbipol. Preface [p. 4]. 1809 ,Boraginaceae,nom. inval. nom. nud.,,
wfo-4100006010,urn:lsid:ipni.org:names:77367312-1,trib. Coldenieae,Z.H.Feng,Plant 13(3): 143. 2025 [13 Aug 2025] [epublished],Boraginaceae,,,
wfo-1200114186,urn:lsid:ipni.org:names:77368108-1,Lappula squarrosa var. myosotis,(Moench) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,,Boraginaceae Lappula myosotis Moench,(Moench)
wfo-1200114369,urn:lsid:ipni.org:names:77368109-1,Lappula squarrosa f. myosotis,(Moench) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,,Boraginaceae Lappula myosotis Moench,(Moench)
wfo-1200114187,urn:lsid:ipni.org:names:77368110-1,Lappula squarrosa f. pedunculata,Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,"nom. inval.    Published as a comb. nov., but cited basionym not validly published.",,
wfo-1200114188,urn:lsid:ipni.org:names:77368111-1,Echinospermum lappula var. molle,Schur,"Verh. Naturf. Vereins Brünn 42: 217. 1903 , as 'mollis'",Boraginaceae,,,
wfo-1200114189,urn:lsid:ipni.org:names:77368112-1,Lappula lappula var. leucochaeta,Borbás,Balaton Tavának Növényföldr. 374. 1900 ,Boraginaceae,nom. inval.    Species not validly published.,,
wfo-1200114190,urn:lsid:ipni.org:names:77368113-1,Echinospermum lappula var. subalpinum,Schur,Enum. Pl. Transsilv. 464. 1866 ,Boraginaceae,,,
wfo-1200114191,urn:lsid:ipni.org:names:77368114-1,Echinospermum lappula var. longifolium,Grognot,Cat. Rais. Pl. Vasc. Départ. Saône-et-Loire Suppl. 176. 1865 ,Boraginaceae,,,
wfo-0001215828,urn:lsid:ipni.org:names:77368118-1,Nonea pulla subsp. rossica,(Steven) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,,Boraginaceae Nonea rossica Steven,(Steven)
wfo-0001215829,urn:lsid:ipni.org:names:77368119-1,Nonea pulla subsp. taurica,(Ledeb.) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,,Boraginaceae Nonea taurica Ledeb.,(Ledeb.)
wfo-0001215830,urn:lsid:ipni.org:names:77368120-1,Nonea pulla var. armeniaca,Kusn.,Fl. Caucas. Crit. 4(2): 321. 1913 ,Boraginaceae,,,
wfo-1200114230,urn:lsid:ipni.org:names:77368321-1,Lappula squarrosa f. mollis,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,,Boraginaceae Echinospermum lappula (L.) Lehm. var. molle Schur,(Schur)
wfo-1200114231,urn:lsid:ipni.org:names:77368322-1,Lappula squarrosa f. subalpina,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,,Boraginaceae Echinospermum lappula (L.) Lehm. var. subalpinum Schur,(Schur)
wfo-1200114232,urn:lsid:ipni.org:names:77368323-1,Lappula squarrosa f. longifolia,(Grognot) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,"nom. inval.    Contrary to Art. 41.5., ICN (2025), no full and direct reference to basionym.",Boraginaceae Echinospermum lappula (L.) Lehm. var. longifolium Grognot,(Grognot)
wfo-0001215827,urn:lsid:ipni.org:names:77368324-1,Nonea pulla subsp. armeniaca,(Kusn.) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,,Boraginaceae Nonea pulla DC. var. armeniaca Kusn.,(Kusn.)
