WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114006,urn:lsid:ipni.org:names:77365296-1,Lappula barbata,(M.Bieb.) Menyh.,Kal. Vid. Növ. 120. 1877 ,Boraginaceae,,Boraginaceae Myosotis barbata M.Bieb.,(M.Bieb.)
wfo-1000058388,urn:lsid:ipni.org:names:77365577-1,Onosma nuristanica,Sultani-Ahm. & Attar,Kew Bull. 80(2): 421. 2025 [30 Apr 2025] [epublished],Boraginaceae,,,
wfo-1200114013,urn:lsid:ipni.org:names:77365648-1,Pulmonaria rubra var. filarszkyana,(Javorka) Gușul.,Bul. Fac Sti. Cerna`uti 3: 330. 1929 ,Boraginaceae,,Boraginaceae Pulmonaria filarszkyana Javorka,(Javorka)
wfo-1200114014,urn:lsid:ipni.org:names:77365649-1,Pulmonaria rubra f. dacica,(Simonk.) Gușul.,Bul. Fac Sti. Cerna`uti 3: 331. 1929 ,Boraginaceae,,Boraginaceae Pulmonaria rubra Schott var. dacica Simonk.,(Simonk.)
wfo-1200113929,urn:lsid:ipni.org:names:77365650-1,Pulmonaria rubra f. indurata,Gușul.,Bul. Fac Sti. Cerna`uti 3: 331. 1929 ,Boraginaceae,,,
wfo-1200113930,urn:lsid:ipni.org:names:77365651-1,Pulmonaria rubra f. stenophylla,Gușul.,Bul. Fac Sti. Cerna`uti 3: 331. 1929 ,Boraginaceae,,,
wfo-1200113931,urn:lsid:ipni.org:names:77365652-1,Pulmonaria rubra f. baumgartenii,Gușul.,Bul. Fac Sti. Cerna`uti 3: 331. 1929 ,Boraginaceae,,,
wfo-1200114015,urn:lsid:ipni.org:names:77365653-1,Pulmonaria rubra [infrasp.unranked] marmorata,Gușul.,Bul. Fac Sti. Cerna`uti 3: 331. 1929 ,Boraginaceae,,,
wfo-1200114018,urn:lsid:ipni.org:names:77365863-1,Onosma cephalantha,Bornm.,"Beih. Bot. Centralbl., Abt. 2. 20: 187. 1906 ",Boraginaceae,nom. inval.,,
wfo-0000386212,urn:lsid:ipni.org:names:77366061-1,Onosma tuberculata,Kit.,Linnaea 32: 436. 1863 ,Boraginaceae,,,
wfo-1000083493,urn:lsid:ipni.org:names:77366495-1,Sinojohnstonia henanensis,L.X.Liu & P.Li,PhytoKeys 261: 47. 2025 [5 Aug 2025] [epublished],Boraginaceae,,,
