WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114766,urn:lsid:ipni.org:names:77368645-1,Lappula squarrosa f. leucochaeta,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,Boraginaceae,nom. inval.    Basionym not validly published.,Boraginaceae Lappula lappula (L.) H.Karst. var. leucochaeta Borbás,(Borbás)
wfo-1000084704,urn:lsid:ipni.org:names:77368784-1,Phacelia sewaneensis,"J.P.Evans, J.T.Michel, S.J.Fox & A.B.Morris",Castanea 90(1): 16. 2025 [24 Jul 2025] ,Hydrophyllaceae,,,
wfo-1200114781,urn:lsid:ipni.org:names:77368920-1,Nihon akiensis f. albiflorum,"(Kadota) H.Ohashi, K.Ohashi, Hihara & H.Ikeda",J. Jap. Bot. [20 Aug 2025]. 100(4): 344 ,Boraginaceae,,Boraginaceae Omphalodes akiensis Kadota f. albiflora Kadota,(Kadota)
wfo-1200114782,urn:lsid:ipni.org:names:77368921-1,Omphalodes japonica f. albiflora,Okamoto ex H.Hara,Enum. Spermatophytarum Japon. 1: 179. 1948 ,Boraginaceae,,,
wfo-1200114785,urn:lsid:ipni.org:names:77368922-1,Nihon japonicum f. albiflorum,"(Okamoto ex H.Hara) H.Ohashi, K.Ohashi, Hihara & H.Ikeda",J. Jap. Bot. 100(4): 344. 2025 [20 Aug 2025] ,Boraginaceae,,Boraginaceae Omphalodes japonica Maxim. f. albiflora Okamoto ex H.Hara,(Okamoto ex H.Hara)
wfo-1200114783,urn:lsid:ipni.org:names:77368923-1,Omphalodes japonica var. echinosperma,Kitam.,"Acta Phytotax. Geobot. 17: 11. 1957 [Sep 1957?] ; et in Kitamura, Murata & Hori, Col.  Illust. Herb. Pl. Jap. (Sympetalae): 198 (Apr 1957)?",Boraginaceae,,,
wfo-1200114784,urn:lsid:ipni.org:names:77368924-1,Nihon japonicum var. echinospermum,"(Kitam.) Yonek. ex H.Ohashi, K.Ohashi, Hihara & H.Ikeda",J. Jap. Bot. 100(4): 345. 2025 [20 Aug 2025] ,Boraginaceae,,Boraginaceae Omphalodes japonica Maxim. var. echinosperma Kitam.,(Kitam.)
wfo-1200114787,urn:lsid:ipni.org:names:77368926-1,Omphalodes krameri var. alba,T.Itô,Icon. Pl. Japon. [Itô] 1(2): 3. 1911 ,Boraginaceae,,,
wfo-1200114788,urn:lsid:ipni.org:names:77368927-1,Nihon krameri f. album,"(T.Itô) H.Ohashi, K.Ohashi, Hihara & H.Ikeda",J. Jap. Bot. 100(4): 345. 2025 [20 Aug 2025] ,Boraginaceae,,Boraginaceae Omphalodes krameri Franch. & Sav. var. alba T.Itô,(T.Itô)
wfo-1200114802,urn:lsid:ipni.org:names:77368928-1,Nihon laevispermum f. leucanthum,"(Yonek.) H.Ohashi, K.Ohashi, Hihara & H.Ikeda",J. Jap. Bot. 100(4): 345. 2025 [20 Aug 2025] ,Boraginaceae,,Boraginaceae Omphalodes krameri Franch. & Sav. f. leucantha Yonek.,(Yonek.)
wfo-1200114846,urn:lsid:ipni.org:names:77369671-1,Asperugo procumbens var. kashmiriana,Dar & Govaerts,Fl. Kashmir Himalaya Sind Valley 2: 756. 2025 [Aug 2025] ,Boraginaceae,,,
wfo-1000085015,urn:lsid:ipni.org:names:77369697-1,Cordia rosangelae,J.I.M.Melo,J. Pl. Taxon. & Geogr. (Webbia) 80(2): 268. 2025 [18 Jul 2025] [epublished],Boraginaceae,,,
