WFOID,IPNID,scientificName,authors_t,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078350,urn:lsid:ipni.org:names:77356363-1,Biscutella × alejandrei,Mateo,Fl. Montiber. 90: 109. 2024 [Dec 2024] [epublished],,,
wfo-1000078351,urn:lsid:ipni.org:names:77356364-1,Biscutella × duriensis,Mateo,Fl. Montiber. 90: 110. 2024 [Dec 2024] [epublished],,,
wfo-1000078352,urn:lsid:ipni.org:names:77356365-1,Biscutella × moncayensis,Mateo,Fl. Montiber. 90: 110. 2024 [Dec 2024] [epublished],,,
wfo-1000078384,urn:lsid:ipni.org:names:77356519-1,Biscutella × palentina,Mateo,Fl. Montiber. 90: 110. 2024 [Dec 2024] [epublished],,,
wfo-1000078385,urn:lsid:ipni.org:names:77356520-1,Biscutella × priegoana,Mateo,Fl. Montiber. 90: 110. 2024 [Dec 2024] [epublished],,,
wfo-1000078386,urn:lsid:ipni.org:names:77356521-1,Biscutella × sierramirana,Mateo,Fl. Montiber. 90: 110. 2024 [Dec 2024] [epublished],,,
wfo-1000078387,urn:lsid:ipni.org:names:77356522-1,Biscutella × soleriana,Mateo,Fl. Montiber. 90: 111. 2024 [Dec 2024] [epublished],,,
wfo-1000078388,urn:lsid:ipni.org:names:77356523-1,Biscutella × soriana,Mateo,Fl. Montiber. 90: 111. 2024 [Dec 2024] [epublished],,,
wfo-0000613836,urn:lsid:ipni.org:names:77356917-1,Cochlearia pyrenaica var. borzaeana,Coman & Nyár.,Bul. Grad. Bot. Univ. Cluj 26: 78. 1946 ,,,
wfo-4100005009,urn:lsid:ipni.org:names:77356939-1,Platoloma,Raf.,Herb. Raf. pt. 3: 50. 1833 ,,,
wfo-1000078445,urn:lsid:ipni.org:names:77356940-1,Platoloma simplex,Raf.,Herb. Raf. pt. 3: 50. 1833 ,,,
wfo-1000078532,urn:lsid:ipni.org:names:77357289-1,Lepidium colombianum,Al-Shehbaz,Phytotaxa 689(2): 291. 2025 [24 Feb 2025] [epublished],,,
wfo-1200110651,urn:lsid:ipni.org:names:77357541-1,Brassica rapa var. sylvestris,Gilib.,Hist. Pl. Europe 1: 233. 1798 [Jun 1798] ,,,
wfo-1200110654,urn:lsid:ipni.org:names:77357716-1,Brassica campestris f. oleifera,Viehoever,Oil Paint Drug Reporter 96(9): 53. 1919 [8 Sep 1919] ,,,
wfo-0001261005,urn:lsid:ipni.org:names:77357721-1,Brassica campestris var. chinoleifera,Viehoever,J. Agric. Res. 20(2): 118. 1920 [15 Oct 1920] ,,,
wfo-0001261011,urn:lsid:ipni.org:names:77357732-1,Brassica rapa var. chinoleifera,(Viehoever) Kitam.,"Mem. Coll. Sci. Kyoto Imp. Univ., Ser. B, Biol. 19(3): 78. 1950 [25 Jul 1950] ",,Brassicaceae Brassica campestris L. var. chinoleifera Viehoever,(Viehoever)
wfo-1200110661,urn:lsid:ipni.org:names:77357733-1,Brassica campestris [infrasp.unranked] oleifera,DC.,Syst. Nat. [Candolle] 2: 588. 1821 [May 1821] ,,,
wfo-1200110662,urn:lsid:ipni.org:names:77357734-1,Brassica rapa [infrasp.unranked] oleifera,DC.,Syst. Nat. [Candolle] 2: 591. 1821 [May 1821] ,,,
