WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000080780,urn:lsid:ipni.org:names:77359673-1,Polygonum elazigense,Behçet,Phytotaxa 696(2): 182. 2025 [1 Apr 2025] [epublished],Polygonaceae,,,
wfo-1000080781,urn:lsid:ipni.org:names:77359674-1,Polygonum anatolicum,M.Keskin & Eker,Phytotaxa 696(2): 193. 2025 [1 Apr 2025] [epublished],Polygonaceae,,,
wfo-1000080801,urn:lsid:ipni.org:names:77359847-1,Mitrophyllum minutum,Klak & P.C.van Wyk,S. African J. Bot. 177: 392. 2024 [20 Dec 2024] [epublished],Aizoaceae,,,
wfo-1000080802,urn:lsid:ipni.org:names:77359848-1,Ruschia gariepensis,Klak & P.C.van Wyk,S. African J. Bot. 177: 395. 2024 [20 Dec 2024] [epublished],Aizoaceae,,,
wfo-4100005198,urn:lsid:ipni.org:names:77360038-1,× Paetzara,P.V.Heath,Calyx 5(2): 78. 1995 ,Cactaceae,,,
wfo-1200112573,urn:lsid:ipni.org:names:77360304-1,Arrojadoa pusilliflora,(F.Ritter) M.H.J.van der Meer,Cact. Phantast. 2024(2): 1. [12 Mar 2024] [epublished],Cactaceae,isonym,Cactaceae Floribunda pusilliflora F.Ritter,(F.Ritter)
wfo-1200112534,urn:lsid:ipni.org:names:77360305-1,Echinocereus roetteri subsp. kunzei,(Gürke) M.H.J.van der Meer,Cact. Phantast. 2024(2): 1. [12 Mar 2024] [epublished],Cactaceae,,Cactaceae Echinocereus kunzei Gürke,(Gürke)
wfo-1000080885,urn:lsid:ipni.org:names:77360306-1,Eriosyce lichyi,(Matusz. & Kupčák) M.H.J.van der Meer,Cact. Phantast. 2024(2): 1. [12 Mar 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus lichyi Matusz. & Kupčák,(Matusz. & Kupčák)
wfo-1200112535,urn:lsid:ipni.org:names:77360307-1,Kadenicarpus pseudomacrochele nothosubsp. kubesii,(Halda & Kupčák) M.H.J.van der Meer,Cact. Phantast. 2024(2): 2. [12 Mar 2024] [epublished],Cactaceae,,Cactaceae Turbinicarpus × kubesii Halda & Kupčák,(Halda & Kupčák)
wfo-1200112574,urn:lsid:ipni.org:names:77360308-1,Opuntia tehuantepecana,(Bravo ex S.Arias) Bravo ex M.H.J.van der Meer,Cact. Phantast. 2024(2): 2. [12 Mar 2024] [epublished],Cactaceae,,Cactaceae Opuntia dillenii  var. tehuantepecana Bravo ex S.Arias,(Bravo ex S.Arias)
wfo-1000080907,urn:lsid:ipni.org:names:77360338-1,Eriosyce tuberculosa,S.Campb.,Cact. Succ. J. (Los Angeles) 97(1): 15. 2025 [20 Mar 2025] ,Cactaceae,,,
wfo-1200112583,urn:lsid:ipni.org:names:77360577-1,Frailea magnifica,R.Pontes & Hofacker,Kakteen And. Sukk. 76(4): 100. 2025 [Apr 2025] ,Cactaceae,,,
wfo-1200112545,urn:lsid:ipni.org:names:77360594-1,Silene sericea var. balearica,Willk.,Linnaea 40: 118. 1876 ,Caryophyllaceae,,,
wfo-1000080931,urn:lsid:ipni.org:names:77360595-1,Silene migjornensis,"L.Sáez, Guasp, P.P.Ferrer, López-Alvarado & Rosselló",Medit. Bot. 40(2): 194. 2019 [7 Nov 2019] [epublished],Caryophyllaceae,,,
wfo-1200112590,urn:lsid:ipni.org:names:77360721-1,Lychnis pilosa,(Edgew.) Edgew.,Fl. Brit. India 1(pt. 2): 226. 1874 [Jan 1874] ,Caryophyllaceae,,Caryophyllaceae Melandrium pilosum Edgew.,(Edgew.)
wfo-1000080958,urn:lsid:ipni.org:names:77360862-1,Dianthus lignosus,Sepp,Bloemk. Woordenb. 123. 1821 ,Caryophyllaceae,,,
wfo-1000080988,urn:lsid:ipni.org:names:77360916-1,Silene rheinwartiana,Sepp,Bloemk. Woordenb. 444. 1821 ,Caryophyllaceae,,,
wfo-1000081019,urn:lsid:ipni.org:names:77358476-1,Frankenia sahariensis,"M.Á.Alonso, M.B.Crespo, Abad-Brotons, Mart.-Azorín & J.L.Villar",Plants [Basel] 14(7)-1130: 8. 2025 [5 Apr 2025] [epublished],Frankeniaceae,,,
wfo-1000081020,urn:lsid:ipni.org:names:77358477-1,Frankenia dinteri,"M.Á.Alonso, M.B.Crespo, Abad-Brotons, Mart.-Azorín & J.L.Villar",Plants [Basel] 14(7)-1130: 13. 2025 [5 Apr 2025] [epublished],Frankeniaceae,,,
