WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000083561,urn:lsid:ipni.org:names:77366784-1,Cistanthe lindleyana,(Walp.) Hershk.,Int. J. Adv. Res. Publ. Rev. 2(8): 143. 2025 [4 Aug 2025] [epublished],Portulacaceae,,Portulacaceae Calandrinia lindleyana Walp.,(Walp.)
wfo-1200114288,urn:lsid:ipni.org:names:77366894-1,Statice halfordii,K.Koch,Berliner Allg. Gartenzeitung 25: 333. 1857 [17 Oct 1857] ,Plumbaginaceae,nom. subnud.?,,
wfo-1000083613,urn:lsid:ipni.org:names:77366905-1,Sulcorebutia scheckii,Diers,Kakteen And. Sukk. 76(8): 227. 2025 [Aug 2025] ,Cactaceae,,,
wfo-1200114087,urn:lsid:ipni.org:names:77366908-1,Sulcorebutia scheckii var. duovirorum,Diers,Kakteen And. Sukk. 76(8): 234. 2025 [Aug 2025] ,Cactaceae,,,
wfo-4100005972,urn:lsid:ipni.org:names:77367273-1,trib. Cryophyteae,Z.H.Feng,Plant 13(3): 140. 2025 [13 Aug 2025] [epublished],Aizoaceae,,,
wfo-4100005973,urn:lsid:ipni.org:names:77367275-1,trib. Opophyteae,Z.H.Feng,Plant 13(3): 140. 2025 [13 Aug 2025] [epublished],Aizoaceae,,,
wfo-4100005974,urn:lsid:ipni.org:names:77367276-1,trib. Phylloboleae,Z.H.Feng,Plant 13(3): 140. 2025 [13 Aug 2025] [epublished],Aizoaceae,,,
wfo-4100005975,urn:lsid:ipni.org:names:77367277-1,trib. Boseeae,Z.H.Feng,Plant 13(3): 140. 2025 [13 Aug 2025] [epublished],Amaranthaceae,,,
wfo-4100005976,urn:lsid:ipni.org:names:77367278-1,trib. Charpentiereae,Z.H.Feng,Plant 13(3): 140. 2025 [13 Aug 2025] [epublished],Amaranthaceae,,,
wfo-4100005977,urn:lsid:ipni.org:names:77367279-1,subtrib. Iresininae,Z.H.Feng,Plant 13(3): 140. 2025 [13 Aug 2025] [epublished],Amaranthaceae,,,
wfo-4100005978,urn:lsid:ipni.org:names:77367280-1,trib. Psilotricheae,Z.H.Feng,Plant 13(3): 140. 2025 [13 Aug 2025] [epublished],Amaranthaceae,,,
wfo-4100006015,urn:lsid:ipni.org:names:77367317-1,trib. Leuenbergerieae,Z.H.Feng,Plant 13(3): 144. 2025 [13 Aug 2025] [epublished],Cactaceae,,,
wfo-4100006025,urn:lsid:ipni.org:names:77367327-1,subtrib. Psammosileninae,Z.H.Feng,Plant 13(3): 145. 2025 [13 Aug 2025] [epublished],Caryophyllaceae,,,
wfo-4100006026,urn:lsid:ipni.org:names:77367328-1,subtrib. Saponariinae,Janch. ex Z.H.Feng,Plant 13(3): 145. 2025 [13 Aug 2025] [epublished],Caryophyllaceae,,,
wfo-4100006090,urn:lsid:ipni.org:names:77367393-1,subtrib. Hypertelidinae,Z.H.Feng,Plant 13(3): 151. 2025 [13 Aug 2025] [epublished],Molluginaceae,,,
