WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200116507,urn:lsid:ipni.org:names:77361738-1,Lithops gracilidelineata subsp. mopane,S.Hatt,Kew Bull. 80(4): 7 of 10. 2025 [2 Dec 2025] [epublished],Aizoaceae,,,
wfo-1000081368,urn:lsid:ipni.org:names:77372792-1,Pilosocereus novaromanus,Oliveira-Pereira & Olsthoorn,Bradleya 43: 83. 2025 [24 Apr 2025] ,Cactaceae,,,
wfo-1200114755,urn:lsid:ipni.org:names:77372793-1,Melocactus levitestatus subsp. goianus,Oliveira-Pereira & Olsthoorn,Bradleya 43: 110. 2025 [24 Apr 2025] ,Cactaceae,,,
wfo-1200114756,urn:lsid:ipni.org:names:77372794-1,Melocactus zehntneri subsp. adpressispinus,N.P.Taylor,Bradleya 43: 114. 2025 [24 Apr 2025] ,Cactaceae,,,
wfo-1000086635,urn:lsid:ipni.org:names:77372797-1,Antimima calcarea,Klak,Bradleya 43: 187. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086636,urn:lsid:ipni.org:names:77372798-1,Arenifera kamiesbergensis,Klak,Bradleya 43: 188. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086637,urn:lsid:ipni.org:names:77372799-1,Lampranthus saxatilis,Klak,Bradleya 43: 191. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086649,urn:lsid:ipni.org:names:77372812-1,Lampranthus worcesterensis,Klak & A.le Roux,Bradleya 43: 193. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086650,urn:lsid:ipni.org:names:77372813-1,Leipoldtia quarciticola,Klak,Bradleya 43: 195. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086651,urn:lsid:ipni.org:names:77372814-1,Phiambolia ericoides,Klak,Bradleya 43: 198. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086652,urn:lsid:ipni.org:names:77372815-1,Phiambolia pauciflora,Klak,Bradleya 43: 200. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086653,urn:lsid:ipni.org:names:77372816-1,Ruschia namaqualina,Klak,Bradleya 43: 203. 2025 [24 Apr 2025] ,Aizoaceae,,,
wfo-1000086654,urn:lsid:ipni.org:names:77372817-1,Ruschiella mollissima,Klak,Bradleya 43: 207. 2025 [24 Apr 2025] ,Aizoaceae,,,
