WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000083101,urn:lsid:ipni.org:names:77365206-1,Haloxylon balchaschense,"(Iljin) Osmonali, Veselova & Kudab.",Pl. Syst. Evol. 311(2)-6: 14. 2025 [10 Feb 2025] [epublished],Chenopodiaceae,,Chenopodiaceae Anabasis balchaschensis Iljin,(Iljin)
wfo-1200113921,urn:lsid:ipni.org:names:77365302-1,Minuartia aretioides subsp. cherleroides,(Sieber) Mattf.,Beibl. Bot. Jahrb. Syst. 126: 31. 1921 ,Caryophyllaceae,,Caryophyllaceae Schmidtia cherleroides Sieber,(Sieber)
wfo-1000083228,urn:lsid:ipni.org:names:77365582-1,Persicaria castilloi,J.J.Ancona & J.J.Ortiz-Diaz,Novon 33: 36. 2025 [23 Apr 2025] [epublished],Polygonaceae,,,
wfo-1000083259,urn:lsid:ipni.org:names:77365613-1,Persicaria palmae,J.J.Ancona & J.J.Ortiz-Diaz,Novon 33: 39. 2025 [23 Apr 2025] [epublished],Polygonaceae,,,
wfo-1000083260,urn:lsid:ipni.org:names:77365614-1,Persicaria veracruzana,J.J.Ancona & J.J.Ortiz-Diaz,Novon 33: 41. 2025 [23 Apr 2025] [epublished],Polygonaceae,,,
wfo-1000083263,urn:lsid:ipni.org:names:77365617-1,Persicaria pringlei,(Small) J.J.Ancona & J.J.Ortiz-Diaz,Novon 33: 43. 2025 [23 Apr 2025] [epublished],Polygonaceae,,Polygonaceae Polygonum pringlei Small,(Small)
wfo-1000083264,urn:lsid:ipni.org:names:77365618-1,Ruprechtia tunii,J.J.Ancona & J.J.Ortiz-Diaz,Novon 33: 43. 2025 [23 Apr 2025] [epublished],Polygonaceae,,,
wfo-0000579091,urn:lsid:ipni.org:names:77365680-1,Calandrinia speciosa,Lehm.,"Del. Sem. Hort. Hamburg. 1, 7. 1831 ",Portulacaceae,,,
wfo-1000083307,urn:lsid:ipni.org:names:77365681-1,Persicaria tirathgarhensis,K.C.Mohan,Ann. Bot. Fenn. 62(1): 63. 2025 [24 Feb 2025] [epublished],Polygonaceae,,,
wfo-1200113938,urn:lsid:ipni.org:names:77365847-1,Arrojadoa multiflora subsp. luetzelburgioides,(N.P.Taylor & Zappi) Guiggi,Cactology 5(Suppl. 16): 1. 2025 [16 Jul 2025] [epublished],Cactaceae,,Cactaceae Arrojadoa luetzelburgioides N.P.Taylor & Zappi,(N.P.Taylor & Zappi)
wfo-1200113939,urn:lsid:ipni.org:names:77365848-1,Pierrebraunia bahiensis subsp. minutiflora,(Gonzaga & Oliveira-Pereira) Guiggi,Cactology 5(Suppl. 16): 1. 2025 [16 Jul 2025] [epublished],Cactaceae,,Cactaceae Arrojadoa bahiensis (P.J.Braun & Esteves) N.P.Taylor & Eggli subsp. minutiflora Gonzaga & Oliveira-Pereira,(Gonzaga & Oliveira-Pereira)
wfo-1200113940,urn:lsid:ipni.org:names:77365849-1,Uebelmannia pectinifera subsp. nuda,(Zappi & N.P.Taylor) Guiggi,Cactology 5(Suppl. 16): 1. 2025 [16 Jul 2025] [epublished],Cactaceae,,Cactaceae Uebelmannia nuda Zappi & N.P.Taylor,(Zappi & N.P.Taylor)
wfo-1200114017,urn:lsid:ipni.org:names:77365850-1,Xiquexique gounellei f. braunii,(Esteves) Guiggi,Cactology 5(Suppl. 16): 1. 2025 [16 Jul 2025] [epublished],Cactaceae,,Cactaceae Pilosocereus braunii Esteves,(Esteves)
wfo-1200113941,urn:lsid:ipni.org:names:77365851-1,Melocactus azureus subsp. pachyacanthus,(Buining & Brederoo) Guiggi,Cactology 5(Suppl. 16): 3. 2025 [16 Jul 2025] [epublished],Cactaceae,,Cactaceae Melocactus pachyacanthus Buining & Brederoo,(Buining & Brederoo)
wfo-1000083320,urn:lsid:ipni.org:names:77365852-1,Melocactus pseudoviolaceus,Guiggi,Cactology 5(Suppl. 16): 3. 2025 [16 Jul 2025] [epublished],Cactaceae,,,
wfo-1200113942,urn:lsid:ipni.org:names:77365853-1,Melocactus zehntneri subsp. concinnus,(Buining & Brederoo) Guiggi,Cactology 5(Suppl. 16): 3. 2025 [16 Jul 2025] [epublished],Cactaceae,,Cactaceae Melocactus concinnus Buining & Brederoo,(Buining & Brederoo)
