WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000082025,urn:lsid:ipni.org:names:77362762-1,Melocactus natalensis,(P.J.Braun & Esteves) N.P.Taylor,Bradleya 43: 115. 2025 [24 Apr 2025] ,Cactaceae,,Cactaceae Melocactus violaceus Pfeiff. subsp. natalensis P.J.Braun & Esteves,(P.J.Braun & Esteves)
wfo-0001435568,urn:lsid:ipni.org:names:77362778-1,Lithops pseudotruncatella var. gracilidelineata,(Dinter) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops gracilidelineata Dinter,(Dinter)
wfo-0001435565,urn:lsid:ipni.org:names:77362790-1,Lithops pseudotruncatella var. brandbergensis,de Boer,Succulenta (Netherlands) 1963(4): 53. [Apr 1963] ,Aizoaceae,,,
wfo-0001435462,urn:lsid:ipni.org:names:77362795-1,Lithops bromfieldii var. mennellii,(L.Bolus) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops mennellii L.Bolus,(L.Bolus)
wfo-0001435464,urn:lsid:ipni.org:names:77362796-1,Lithops comptonii var. divergens,(L.Bolus) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops divergens L.Bolus,(L.Bolus)
wfo-1200113494,urn:lsid:ipni.org:names:77362797-1,Lithops comptonii f. amethystina,(de Boer) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops divergens L.Bolus var. amethystina de Boer,(de Boer)
wfo-0001435465,urn:lsid:ipni.org:names:77362798-1,Lithops comptonii var. viridis,(H.A.Lückh.) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops viridis H.A.Lückh.,(H.A.Lückh.)
wfo-1200113377,urn:lsid:ipni.org:names:77362799-1,Lithops dinteri var. marthae,(Loesch & Tischer) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops marthae Loesch & Tischer,(Loesch & Tischer)
wfo-0001435479,urn:lsid:ipni.org:names:77362800-1,Lithops francisci var. gesinae,(de Boer) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops gesinae de Boer,(de Boer)
wfo-1200113378,urn:lsid:ipni.org:names:77362801-1,Lithops francisci var. annae,(de Boer) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops annae de Boer,(de Boer)
wfo-0001435545,urn:lsid:ipni.org:names:77362802-1,Lithops otzeniana var. weberi,(Nel) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops weberi Nel,(Nel)
wfo-1200113379,urn:lsid:ipni.org:names:77362804-1,Lithops pseudotruncatella f. waldroniae,(de Boer) B.Fearn,"Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] , as 'waldronae'",Aizoaceae,,Aizoaceae Lithops gracilidelineata Dinter var. waldroniae de Boer,(de Boer)
wfo-0001435584,urn:lsid:ipni.org:names:77362805-1,Lithops schwantesii var. christinae,(de Boer) B.Fearn,Cact. Succ. J. (Los Angeles) 42(2): 92. 1970 [Mar-Apr 1970] ,Aizoaceae,,Aizoaceae Lithops christinae de Boer,(de Boer)
wfo-1200113380,urn:lsid:ipni.org:names:77362806-1,Opuntia elata var. pyrrhantha,(F.Ritter) Oakley,Revista Ci. Nat. (Salta) 3(1): 29. 2025 [14 May 2025] [epublished],Cactaceae,,Cactaceae Platyopuntia pyrrhantha F.Ritter,(F.Ritter)
wfo-1000082041,urn:lsid:ipni.org:names:77362942-1,Coccoloba knappiana,J.J.Ancona,Phytotaxa 704(2): 124. 2025 [6 Jun 2025] [epublished],Polygonaceae,,,
wfo-1000082042,urn:lsid:ipni.org:names:77362943-1,Coccoloba meavei,J.J.Ancona & J.J.Ortiz-Diaz,Phytotaxa 704(2): 132. 2025 [6 Jun 2025] [epublished],Polygonaceae,,,
wfo-1000082043,urn:lsid:ipni.org:names:77362944-1,Coccoloba rzedowskii,J.J.Ancona,Phytotaxa 704(2): 143. 2025 [6 Jun 2025] [epublished],Polygonaceae,,,
wfo-1000082044,urn:lsid:ipni.org:names:77362945-1,Coccoloba steinmannii,J.J.Ancona,Phytotaxa 704(2): 143. 2025 [6 Jun 2025] [epublished],Polygonaceae,,,
wfo-0000568042,urn:lsid:ipni.org:names:77363132-1,Boerhavia plumbaginea var. trichocarpa,Heimerl,Bull. Herb. Boissier 5(App. 3): 68. 1897 ,Nyctaginaceae,,,
wfo-1200113402,urn:lsid:ipni.org:names:77363133-1,Boerhavia verticillata var. repanda,N.Terracc.,Annuario Reale Ist. Bot. Roma 5: 101. 1894 ,Nyctaginaceae,,,
wfo-1200113403,urn:lsid:ipni.org:names:77363207-1,Boerhavia plumbaginea var. forskaolii,Schweinf.,Bull. Herb. Boissier 4(Appendix 2): 167. 1896 [Jan 1896] (as 'Forskalei'),Nyctaginaceae,,,
wfo-1000082150,urn:lsid:ipni.org:names:77363212-1,Pterocactus fragilis,"R.Kiesling, E.Sarnes & N.Sarnes",Cact. Succ. J. (Los Angeles) 97(2): 171. 2025 [5 Jun 2025] ,Cactaceae,,,
wfo-1000082151,urn:lsid:ipni.org:names:77363213-1,Discocactus braunii,"Z.J.G.Miranda, T.Van Nguyen & Seringer",Kakteen And. Sukk. 76(6): 167. 2025 [Jun 2025] ,Cactaceae,,,
wfo-1000082169,urn:lsid:ipni.org:names:77363247-1,Cistanthe taltalensis,(I.M.Johnst.) Hershk.,"Int. J. Adv. Res. Publ. Rev. 2(6): 246. 2025 [14 Jun 2025] , as 'Cistanthetaltalensis' [epublished]",Portulacaceae,,Portulacaceae Calandrinia taltalensis I.M.Johnst.,(I.M.Johnst.)
wfo-1000082170,urn:lsid:ipni.org:names:77363249-1,Philippiamra barneoudii,(Phil.) Hershk.,"Int. J. Adv. Res. Publ. Rev. 2(6): 244. 2025 [14 Jun 2025] , as 'Philippiamrabarneoudii' [epublished]",Portulacaceae,,Portulacaceae Calandrinia barneoudii Phil.,(Phil.)
