WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000734092,urn:lsid:ipni.org:names:77360936-1,Acetosa pratensis subsp. alpestris,(Scop.) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 ,Polygonaceae,,Polygonaceae Lapathum alpestre Scop.,(Scop.)
wfo-1200113072,urn:lsid:ipni.org:names:77360937-1,Acetosa pratensis var. islandica,(Á.Löve) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 ,Polygonaceae,,Polygonaceae Acetosa alpestris (Scop.) Á.Löve subsp. islandica Á.Löve,(Á.Löve)
wfo-0001101446,urn:lsid:ipni.org:names:77360938-1,Acetosa pratensis var. lapponica,(Hiitonen) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 ,Polygonaceae,,Polygonaceae Rumex acetosa L. subsp. lapponicus Hiitonen,(Hiitonen)
wfo-1200113073,urn:lsid:ipni.org:names:77360939-1,Acetosa pratensis subsp. nivalis,(Hegetschw.) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 ,Polygonaceae,,Polygonaceae Rumex nivalis Hegetschw.,(Hegetschw.)
wfo-1200113074,urn:lsid:ipni.org:names:77360940-1,Persicaria lapathifolia subsp. danubialis,(A.Kern.) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 ,Polygonaceae,,Polygonaceae Polygonum danubiale A.Kern.,(A.Kern.)
wfo-0001294875,urn:lsid:ipni.org:names:77360941-1,Atriplex longipes subsp. lapponica,(Pojark.) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 ,Chenopodiaceae,,Chenopodiaceae Atriplex lapponica Pojark.,(Pojark.)
wfo-1200113126,urn:lsid:ipni.org:names:77360949-1,Cerastium arcticum subsp. nigrescens,(Edmondston) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 ,Caryophyllaceae,nom. inval.    Contrary to Art. 41.5. ICN (2018). Basionym not validly published.,Caryophyllaceae Cerastium nigrescens Edmondston,(Edmondston)
wfo-1200113131,urn:lsid:ipni.org:names:77361094-1,Cerastium nigrescens,Edmondston,Fl. Shetland 29. 1845 ,Caryophyllaceae,nom. inval.    pro syn.,,
wfo-1200113075,urn:lsid:ipni.org:names:77361210-1,Arenaria ciliata var. norvegica,(Gunnerus) Fr.,Novit. Fl. Suec. Mant. 2: 34. 1839 ,Caryophyllaceae,,Caryophyllaceae Arenaria norvegica Gunnerus,(Gunnerus)
wfo-1200113136,urn:lsid:ipni.org:names:77361211-1,Arenaria ciliata subsp. norvegica,(Gunnerus) Fr. ex Ostenf. & O.C.Dahl,Nyt Mag. Naturvidensk. 55: 219. 1918 ,Caryophyllaceae,,Caryophyllaceae Arenaria norvegica Gunnerus,(Gunnerus)
wfo-0000545688,urn:lsid:ipni.org:names:77361212-1,Arenaria ciliata subsp. hibernica,Ostenf. & O.C.Dahl,Nyt Mag. Naturvidensk. 55: 216. 1918 ,Caryophyllaceae,,,
wfo-0001291960,urn:lsid:ipni.org:names:77361213-1,Arenaria multicaulis subsp. pseudofrigida,(Ostenf. & O.C.Dahl) Á.Löve & D.Löve,Bot. Not. 114(1): 51. 1961 [30 Mar 1961] ,Caryophyllaceae,,Caryophyllaceae Arenaria ciliata L. subsp. pseudofrigida Ostenf. & O.C.Dahl,(Ostenf. & O.C.Dahl)
wfo-0000734663,urn:lsid:ipni.org:names:77361214-1,Silene maritima subsp. islandica,Á.Löve & D.Löve,Bot. Not. 1950(1): 40. [31 Mar 1950] ,Caryophyllaceae,,,
wfo-1200112802,urn:lsid:ipni.org:names:77361331-1,Silene vulgaris var. islandica,(Á.Löve & D.Löve) Á.Löve & D.Löve,Bot. Not. 114(1): 52. 1961 [30 Mar 1961] ,Caryophyllaceae,,Caryophyllaceae Silene maritima With. subsp. islandica Á.Löve & D.Löve,(Á.Löve & D.Löve)
wfo-0001292214,urn:lsid:ipni.org:names:77361340-1,Silene gallica subsp. anglica,(L.) Á.Löve & D.Löve,Bot. Not. 114(1): 52. 1961 [30 Mar 1961] ,Caryophyllaceae,,Caryophyllaceae Silene anglica L.,(L.)
wfo-1200113140,urn:lsid:ipni.org:names:77361341-1,Silene gallica subsp. quinquevulnera,(L.) Á.Löve & D.Löve,Bot. Not. 114(1): 52. 1961 [30 Mar 1961] ,Caryophyllaceae,,Caryophyllaceae Silene quinquevulnera L.,(L.)
wfo-0001292238,urn:lsid:ipni.org:names:77361342-1,Silene otites subsp. polaris,(Kleopow) Á.Löve & D.Löve,Bot. Not. 114(1): 52. 1961 [30 Mar 1961] ,Caryophyllaceae,,Caryophyllaceae Silene polaris Kleopow,(Kleopow)
wfo-1000081471,urn:lsid:ipni.org:names:77361397-1,Dysphania incisa,(Poir.) Sand.-Ort. & Zumaya,Ukrain. Bot. J. 82(2): 82. 2025 [14 Apr 2025] [epublished],Chenopodiaceae,,Chenopodiaceae Chenopodium incisum Poir.,(Poir.)
wfo-0000410318,urn:lsid:ipni.org:names:77361669-1,Trianthema obcordatum,Roxb.,Fl. Ind. (Roxburgh) 2: 445. 1832 (as 'obcordata'),Aizoaceae,,,
wfo-1000064159,urn:lsid:ipni.org:names:77361682-1,Trianthema triquetrum,Willd. ex Spreng.,"Syst. Veg., ed. 15[bis]. 2: 381. 1825 ",Aizoaceae,,,
wfo-4100005786,urn:lsid:ipni.org:names:77361711-1,Curvoacanthocactus,Guiggi,Coll. Cact. Savona 14. 2025 [3 May 2025] ,Cactaceae,,,
wfo-1000081522,urn:lsid:ipni.org:names:77361712-1,Curvoacanthocactus rhodotrichus,(K.Schum.) Guiggi,"Coll. Cact. Savona 14. 2025 [3 May 2025] , as 'rhodotrichum'",Cactaceae,,Cactaceae Echinopsis rhodotricha K.Schum.,(K.Schum.)
wfo-1000081524,urn:lsid:ipni.org:names:77361714-1,Curvoacanthocactus leucanthus,(Gillies ex Salm-Dyck) Guiggi,Coll. Cact. Savona 28. 2025 [3 May 2025] ,Cactaceae,,Cactaceae Echinocactus leucanthus Gillies ex Salm-Dyck,(Gillies ex Salm-Dyck)
wfo-1200113099,urn:lsid:ipni.org:names:77361715-1,Curvoacanthocactus rhodotrichus subsp. chacoanus,(Schütz) Guiggi,"Coll. Cact. Savona 28. 2025 [3 May 2025] , as 'rhodotrichum subsp. chacoanum'",Cactaceae,,Cactaceae Echinopsis chacoana Schütz,(Schütz)
wfo-1200113100,urn:lsid:ipni.org:names:77361716-1,Lobivia ancistrophora subsp. subdenudata,(Cárdenas) Guiggi,Coll. Cact. Savona 19. 2025 [3 May 2025] ,Cactaceae,,Cactaceae Echinopsis subdenudata Cárdenas,(Cárdenas)
