WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000085156,urn:lsid:ipni.org:names:77369940-1,Cistanthe ipniana,Hershk.,Int. J. Adv. Res. Publ. Rev. 2(10): 28. 2025 [2 Oct 2025] [epublished],Portulacaceae,,,
wfo-1000085158,urn:lsid:ipni.org:names:77369941-1,Cistanthe gbifiana,Hershk.,Int. J. Adv. Res. Publ. Rev. 10(2): 34. 2025 [2 Oct 2025] [epublished],Portulacaceae,,,
wfo-1000085157,urn:lsid:ipni.org:names:77369942-1,Cistanthe behacheliana,Hershk.,Int. J. Adv. Res. Publ. Rev. 10(2): 32. 2025 [2 Oct 2025] [epublished],Portulacaceae,,,
wfo-1000085170,urn:lsid:ipni.org:names:77370057-1,Cheiridopsis lingua-serpentis,B.P.R.Chéron,Cact.-Advent. Int. [Almeria] 37: 101. 2025 [3 Oct 2025] [epublished],Aizoaceae,,,
wfo-1200114925,urn:lsid:ipni.org:names:77370058-1,Cheiridopsis rostrata subsp. tuberculata,(Mill.) B.P.R.Chéron,Cact.-Advent. Int. [Almeria] 37: 115. 2025 [3 Oct 2025] [epublished],Aizoaceae,,Aizoaceae Mesembryanthemum tuberculatum Mill.,(Mill.)
wfo-1000085174,urn:lsid:ipni.org:names:77370169-1,Diaguita tuberculosa,(S.Campb.) Lodé,Cact.-Advent. Int. [Almeria] 37: 58. 2025 [3 Oct 2025] [epublished],Cactaceae,,Cactaceae Eriosyce tuberculosa S.Campb.,(S.Campb.)
wfo-1000085175,urn:lsid:ipni.org:names:77370170-1,Notocactus pontesianus,Lodé,Cact.-Advent. Int. [Almeria] 37: 58. 2025 [3 Oct 2025] [epublished],Cactaceae,,,
wfo-1200115048,urn:lsid:ipni.org:names:77370171-1,Pierrebraunia bahiensis subsp. flava,(Gonzaga & Engels) Lodé & Braun,Cact.-Advent. Int. [Almeria] 37: 58. 2025 [3 Oct 2025] [epublished],Cactaceae,isonym,Cactaceae Arrojadoa flava Gonzaga & Engels,(Gonzaga & Engels)
wfo-1200114926,urn:lsid:ipni.org:names:77370172-1,Pyrrhocactus strausianus subsp. pachacoensis,(Rausch) Lodé,Cact.-Advent. Int. [Almeria] 37: 58. 2025 [3 Oct 2025] [epublished],Cactaceae,,Cactaceae Pyrrhocactus pachacoensis Rausch,(Rausch)
wfo-1000085176,urn:lsid:ipni.org:names:77370173-1,Soehrensia andalgalensis,(F.A.C.Weber ex K.Schum.) Lodé,Cact.-Advent. Int. [Almeria] 37: 58. 2025 [3 Oct 2025] [epublished],Cactaceae,,Cactaceae Cereus andalgalensis F.A.C.Weber ex K.Schum.,(F.A.C.Weber ex K.Schum.)
wfo-1200114938,urn:lsid:ipni.org:names:77370203-1,Anthyllis calcicola var. pallidiflora,(Jord. ex Rouy) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Caryophyllaceae,,Leguminosae Anthyllis alpestris Hegetschw. var. pallidiflora Jord. ex Rouy,(Jord. ex Rouy)
wfo-1200114937,urn:lsid:ipni.org:names:77370204-1,Anthyllis calcicola var. oreigenes,(Sagorski) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Caryophyllaceae,,Leguminosae Anthyllis alpestris Hegetschw. var. oreigenes Sagorski,(Sagorski)
wfo-1200114939,urn:lsid:ipni.org:names:77370205-1,Anthyllis calcicola var. pyrenaica,(Rouy) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Caryophyllaceae,,Leguminosae Anthyllis alpestris Hegetschw. var. pyrenaica Rouy,(Rouy)
wfo-0000644140,urn:lsid:ipni.org:names:77370542-1,Dianthus regis-stephani,Rapaics,"Természettud. Közl. 54: 291. 1922 , as 'regis Stephani'",Caryophyllaceae,,,
wfo-0001436655,urn:lsid:ipni.org:names:77370543-1,Dianthus montivagus var. carsticus,Novák,Repert. Spec. Nov. Regni Veg. 38: 301. 1935 ,Caryophyllaceae,,,
wfo-0000644033,urn:lsid:ipni.org:names:77370544-1,Dianthus plumarius f. pseudopraecox,Novák,Repert. Spec. Nov. Regni Veg. 38: 303. 1935 ,Caryophyllaceae,,,
wfo-1200112660,urn:lsid:ipni.org:names:77370545-1,Chenopodium album subsp. borbasii,(Murr) Soó,Acta Bot. Acad. Sci. Hung. 10: 376. 1964 ,Chenopodiaceae,,Chenopodiaceae Chenopodium × borbasii Murr,(Murr)
wfo-1000085489,urn:lsid:ipni.org:names:77370764-1,Gomphrena caxcana,"Sand.-Ort., E.J.Rodr.-Perez & Zumaya",Phytotaxa 722(2): 126. 2025 [14 Oct 2025] [epublished],Amaranthaceae,,,
wfo-3500004018,urn:lsid:ipni.org:names:77370793-1,Cephalocereus subgen. Mitrocereus,Backeb.,Blätt. Kakteenf. 1938(6): [17]. ,Cactaceae,,,
wfo-1200115172,urn:lsid:ipni.org:names:77370798-1,Dianthus serotinus [infrasp.unranked] regis-stephani,(Rapaics) Jáv.,"Magyar Fl. 1: 341. 1924 , as 'regis Stephani'",Caryophyllaceae,,Caryophyllaceae Dianthus regis-stephani Rapaics,(Rapaics)
wfo-1200115175,urn:lsid:ipni.org:names:77370799-1,Dianthus serotinus var. regis-stephani,(Rapaics) Novák,Věstn. Král. České Společn. Nauk. Tř. Mat.-Přír. 1927(9): 68. ,Caryophyllaceae,,Caryophyllaceae Dianthus regis-stephani Rapaics,(Rapaics)
wfo-1200115030,urn:lsid:ipni.org:names:77370800-1,Dianthus serotinus subsp. regis-stephani,(Rapaics) Soó,Acta Bot. Acad. Sci. Hung. 10: 376. 1964 ,Caryophyllaceae,,Caryophyllaceae Dianthus regis-stephani Rapaics,(Rapaics)
wfo-1200115169,urn:lsid:ipni.org:names:77370801-1,Dianthus lumnitzeri subsp. pseudopraecox,(Novák) Soó,Acta Bot. Acad. Sci. Hung. 10: 376. 1964 ,Caryophyllaceae,,Caryophyllaceae Dianthus plumarius L. f. pseudopraecox Novák,(Novák)
wfo-1000085468,urn:lsid:ipni.org:names:77370830-1,Leptocereus gonzaleztorresii,D.Barrios,Phytotaxa 722(3): 282. 2025 [15 Oct 2025] [epublished],Cactaceae,,,
wfo-1200115028,urn:lsid:ipni.org:names:77370836-1,Amaranthus caudatus var. gibbosus,L.H.Bailey,Stand. Cycl. Hort. 1: 270. 1917 ,Amaranthaceae,,,
wfo-1000085480,urn:lsid:ipni.org:names:77370838-1,Amaranthus baileyanus,Iamonico,Plants [Basel] 12(7)-1566: 15. 2023 [05 Apr 2023] [epublished],Amaranthaceae,,,
wfo-4100006300,urn:lsid:ipni.org:names:77370965-1,subtrib. Boseineae,Webb & Berthel.,"Hist. Nat. Iles Canaries (Phytogr.) 3(2,3): 267. 1847 [Apr-May 1847] , as 'Boseineae'",Amaranthaceae,,,
wfo-1200115171,urn:lsid:ipni.org:names:77370966-1,trib. Boseeae,Baill.,Dict. Bot. 1: 458. 1877 [Oct-Nov 1877] ,Amaranthaceae,,,
wfo-1000085518,urn:lsid:ipni.org:names:77370981-1,Drosera actinioides,"Juve, A.Fleischm. & T.Krueger",Nuytsia 36: 76. 2025 [8 Jul 2025] [epublished],Droseraceae,,,
