WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200110258,urn:lsid:ipni.org:names:77354818-1,Taraxacum angustifolium,Charit.,"Genesis Phytostroma Russia 102. 2015 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",Taraxacum,nom. illeg. later homonym,,
wfo-1000077631,urn:lsid:ipni.org:names:77354819-1,Taraxacum pyramidiaculeatum,Charit.,"Genesis Phytostroma Russia 101. 2015 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",Taraxacum,,,
wfo-1000077632,urn:lsid:ipni.org:names:77354820-1,Taraxacum cruciatum,Charit.,"Genesis Phytostroma Russia 101. 2015 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",Taraxacum,,,
wfo-1200110259,urn:lsid:ipni.org:names:77354821-1,Taraxacum falcatum,Charit.,"Genesis Phytostroma Russia 103. 2015 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",Taraxacum,nom. illeg. later homonym,,
wfo-1000077633,urn:lsid:ipni.org:names:77354822-1,Taraxacum ornithopodum,Charit.,"Genesis Phytostroma Russia 105. 2015 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",Taraxacum,,,
wfo-1000077634,urn:lsid:ipni.org:names:77354823-1,Taraxacum pyramidivariegatum,Charit.,"Genesis Phytostroma Russia 104. 2015 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",Taraxacum,,,
wfo-1000077635,urn:lsid:ipni.org:names:77354824-1,Taraxacum subserotinum,Charit.,"Origin Psammophyton 102. 2014 ; c.f. Kirschner et al., Phytotaxa 679(1): 9 (2025)",Taraxacum,,,
wfo-1000077636,urn:lsid:ipni.org:names:77354825-1,Taraxacum xanthellum,Kirschner & Štěpánek,Phytotaxa 679(1): 19. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077637,urn:lsid:ipni.org:names:77354827-1,Taraxacum neoboreale,Kirschner & Štěpánek,Phytotaxa 679(1): 23. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077638,urn:lsid:ipni.org:names:77354828-1,Taraxacum compitale,Kirschner & Štěpánek,Phytotaxa 679(1): 26. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077639,urn:lsid:ipni.org:names:77354829-1,Taraxacum lauriferorum,Kirschner & Štěpánek,Phytotaxa 679(1): 31. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077640,urn:lsid:ipni.org:names:77354830-1,Taraxacum candicans,Kirschner & Štěpánek,Phytotaxa 679(1): 37. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077641,urn:lsid:ipni.org:names:77354831-1,Taraxacum peschkovae,Kirschner & Štěpánek,Phytotaxa 679(1): 41. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077642,urn:lsid:ipni.org:names:77354832-1,Taraxacum calens,Kirschner & Štěpánek,Phytotaxa 679(1): 43. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077643,urn:lsid:ipni.org:names:77354833-1,Taraxacum perdecorum,Kirschner & Štěpánek,Phytotaxa 679(1): 50. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077644,urn:lsid:ipni.org:names:77354834-1,Taraxacum peracre,Kirschner & Štěpánek,Phytotaxa 679(1): 54. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077645,urn:lsid:ipni.org:names:77354836-1,Taraxacum seminudum,Kirschner & Štěpánek,Phytotaxa 679(1): 56. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077646,urn:lsid:ipni.org:names:77354837-1,Taraxacum sublateritium,Kirschner & Štěpánek,Phytotaxa 679(1): 66. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077647,urn:lsid:ipni.org:names:77354838-1,Taraxacum tortisquameum,Kirschner & Štěpánek,Phytotaxa 679(1): 78. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077648,urn:lsid:ipni.org:names:77354839-1,Taraxacum xiphodon,Kirschner & Štěpánek,Phytotaxa 679(1): 82. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077649,urn:lsid:ipni.org:names:77354840-1,Taraxacum subtrigonum,Kirschner & Štěpánek,Phytotaxa 679(1): 91. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077650,urn:lsid:ipni.org:names:77354841-1,Taraxacum crassicarpum,Kirschner & Štěpánek,Phytotaxa 679(1): 96. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077651,urn:lsid:ipni.org:names:77354842-1,Taraxacum abhorrens,Kirschner & Štěpánek,Phytotaxa 679(1): 111. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077652,urn:lsid:ipni.org:names:77354843-1,Taraxacum mimosiflorum,Kirschner & Štěpánek,Phytotaxa 679(1): 119. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077653,urn:lsid:ipni.org:names:77354844-1,Taraxacum pseudocompitale,Kirschner & Štěpánek,Phytotaxa 679(1): 124. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077654,urn:lsid:ipni.org:names:77354845-1,Taraxacum desolatum,Kirschner & Štěpánek,Phytotaxa 679(1): 127. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1000077655,urn:lsid:ipni.org:names:77354846-1,Taraxacum pseudoceratoides,Kirschner & Štěpánek,Phytotaxa 679(1): 130. 2025 [7 Jan 2025] [epublished],Taraxacum,,,
wfo-1200110307,urn:lsid:ipni.org:names:77355098-1,Hieracium floribundum subsp. stipitiflorum,Nägeli & Peter,Hierac. Mitt.-Eur. 1: 699. 1885 ,Hieracium,,,
wfo-1000077896,urn:lsid:ipni.org:names:77355210-1,Youngia lushanensis,"X.H.Xiong, Y.L.Peng, X.M.Pu, L.J.Cheng & W.B.Ju",Frontiers Pl. Sci. (Online journal) 15-1453759: 9. 2024 [4 Dec 2024] [epublished],Youngia,,,
wfo-1000077898,urn:lsid:ipni.org:names:77355234-1,Pilosella stipitiflora,(Nägeli & Peter) Sennikov,Plants [Basel] 13(10)-1301: 9. 2024 [8 May 2024] [epublished],Pilosella,,Asteraceae Hieracium floribundum Wimm. & Grab. subsp. stipitiflorum Nägeli & Peter,(Nägeli & Peter)
wfo-1200110353,urn:lsid:ipni.org:names:77355906-1,Taraxacum platycarpum var. montanum,Nakai ex Koidz.,Bot. Mag. (Tokyo) 33: 207. 1919 ,Taraxacum,nom. inval. nom. nud.,,
