WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087002,urn:lsid:ipni.org:names:77373846-1,Convolvulus australianus,S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 374. 2025 [21 Apr 2025] [epublished],,,
wfo-1000087003,urn:lsid:ipni.org:names:77373847-1,Convolvulus brummittii,(P.P.A.Ferreira & Sim.-Bianch.) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Calystegia brummittii P.P.A.Ferreira & Sim.-Bianch.,(P.P.A.Ferreira & Sim.-Bianch.)
wfo-1200116344,urn:lsid:ipni.org:names:77373849-1,Convolvulus catesbeianus subsp. sericatus,(House) S.C.Nepom. & Buril,"Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished] , as 'sericata'",,Convolvulaceae Convolvulus sericatus House,(House)
wfo-1200116345,urn:lsid:ipni.org:names:77373850-1,Convolvulus collinus subsp. apicum,(Brummitt & Namoff) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Calystegia collina (Greene) Brummitt subsp. apicum Brummitt & Namoff,(Brummitt & Namoff)
wfo-1200116346,urn:lsid:ipni.org:names:77373856-1,Convolvulus collinus subsp. oxyphyllus,(Brummitt) S.C.Nepom. & Buril,"Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished] , as 'oxyphylla'",,Convolvulaceae Calystegia collina (Greene) Brummitt subsp. oxyphylla Brummitt,(Brummitt)
wfo-1200116347,urn:lsid:ipni.org:names:77373857-1,Convolvulus collinus subsp. tridactylosus,(Eastw.) S.C.Nepom. & Buril,"Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished] , as 'tridactylosa'",,Convolvulaceae Convolvulus tridactylosus Eastw.,(Eastw.)
wfo-1200116348,urn:lsid:ipni.org:names:77373860-1,Convolvulus collinus subsp. venustus,(Brummitt) S.C.Nepom. & Buril,"Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished] , as 'venusta",,Convolvulaceae Calystegia collina (Greene) Brummitt subsp. venusta Brummitt,(Brummitt)
wfo-1000087011,urn:lsid:ipni.org:names:77373863-1,Convolvulus felix,(Provance & A.C.Sanders) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Calystegia felix Provance & A.C.Sanders,(Provance & A.C.Sanders)
wfo-1000087012,urn:lsid:ipni.org:names:77373866-1,Convolvulus krausii,S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] publication online,,,
wfo-1200116350,urn:lsid:ipni.org:names:77373868-1,Convolvulus macrostegius subsp. amplissimus,(Brummitt) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 375. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Calystegia macrostegia (Greene) Brummitt subsp. amplissima Brummitt,(Brummitt)
wfo-1000087014,urn:lsid:ipni.org:names:77373869-1,Convolvulus magnificus,S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 376. 2025 [21 Apr 2025] [epublished],,,
wfo-1000087015,urn:lsid:ipni.org:names:77373870-1,Convolvulus melnikovae,(Prob.) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 376. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Calystegia × melnikovae Prob.,(Prob.)
wfo-1200116351,urn:lsid:ipni.org:names:77373871-1,Convolvulus occidentalis subsp. fulcratus,(A.Gray) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 376. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Convolvulus luteolus A.Gray var. fulcratus A.Gray,(A.Gray)
wfo-1200116352,urn:lsid:ipni.org:names:77373873-1,Convolvulus occidentalis subsp. tomentellus,(Greene) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 376. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Convolvulus tomentellus Greene,(Greene)
wfo-1200116353,urn:lsid:ipni.org:names:77373878-1,Convolvulus pellitus subsp. longifolius,(Brummitt) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 376. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Calystegia pellita (Ledeb.) G.Don subsp. longifolia Brummitt,(Brummitt)
wfo-1200116354,urn:lsid:ipni.org:names:77373881-1,Convolvulus pellitus subsp. strictus,(Brummitt) S.C.Nepom. & Buril,Bot. J. Linn. Soc. 209: 376. 2025 [21 Apr 2025] [epublished],,Convolvulaceae Calystegia pellita (Ledeb.) G.Don subsp. stricta Brummitt,(Brummitt)
