WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100006365,urn:lsid:ipni.org:names:77372613-1,Shaocyperus,S.S.Ying,New Taxa New Names 8: 1. 2025 [30 Nov 2025] [epublished],,,
wfo-0000383783,urn:lsid:ipni.org:names:77372723-1,Cyperus teneristolon var. robustior,(Kük.) Kük.,"Pflanzenr. (Engler) IV, 20(Heft 101): 575. 1936 ",,Cyperaceae Kyllinga pulchella Kunth f. robustior Kük.,(Kük.)
wfo-0000372885,urn:lsid:ipni.org:names:77372724-1,Cyperus erectus var. schlechteri,(Kük.) Kük.,"Pflanzenr. (Engler) IV, 20(Heft 101): 589. 1936 ",,Cyperaceae Kyllinga erecta Schumach. var. schlechteri Kük.,(Kük.)
wfo-1200116393,urn:lsid:ipni.org:names:77372727-1,Kyllinga pulchella var. robustior,(Kük.) Podlech,Mitt. Bot. Staatssamml. München 3: 526. 1960 [30 Nov 1960] ,Incorrect basionym cited but valid under Art. 41.8c. ICN (2025),Cyperaceae Kyllinga pulchella Kunth f. robustior Kük.,(Kük.)
wfo-1000086576,urn:lsid:ipni.org:names:77372729-1,Shaocyperus taiwanensis,S.S.Ying,New Taxa New Names 8: 3. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086680,urn:lsid:ipni.org:names:77372967-1,Cyperus transcaucasicus,(Kük.) Tatanov & Murtaz.,Turczaninowia 28(2): 176. 2025 [30 Jun 2025] [epublished],,Cyperaceae Cyperus ferax Rich. subsp. transcaucasicus Kük.,(Kük.)
wfo-0000382571,urn:lsid:ipni.org:names:77373266-1,Cyperus sesquiflorus var. subtriceps,(Kunth) T.Koyama,Quart. J. Taiwan Mus. 14: 191. 1961 ,,Cyperaceae Kyllinga cylindrica Nees var. subtriceps Kunth,(Kunth)
wfo-1200034343,urn:lsid:ipni.org:names:77373396-1,Kyllinga brevifolia var. leiolepis,(Franch. & Sav.) H.Hara,J. Jap. Bot. 14(5): 339. 1938 [15 Mar 1938] ,,Cyperaceae Kyllinga monocephala L.f. var. leiolepis Franch. & Sav.,(Franch. & Sav.)
wfo-1200116438,urn:lsid:ipni.org:names:77373674-1,Kyllinga blepharinota,Hochst. ex Boeckeler,Linnaea 35: 414. 1868 ,,,
wfo-1000086910,urn:lsid:ipni.org:names:77373727-1,Carex taialpina,S.S.Ying,New Taxa New Names 8: 228. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086911,urn:lsid:ipni.org:names:77373729-1,Carex jianseburgensis,S.S.Ying,New Taxa New Names 8: 233. 2025 [30 Nov 2025] [epublished],,,
wfo-1200116495,urn:lsid:ipni.org:names:77373778-1,Carex oederi [infrasp.unranked] subglobosa,(Miel.) Storch,Skizz. Naturhist. Topogr. Hzm. Salzburg 2: 76. 1857 (as 'β. subglobosa'),,Cyperaceae Carex subglobosa Miel.,(Miel.)
wfo-1200034347,urn:lsid:ipni.org:names:77373808-1,Kyllinga odorata var. major,(C.B.Clarke) Chiov.,"Fl. Somala 2: 432. 1932 [Sep-Dec 1932] , as 'maior'",nom. illeg. later homonym,Cyperaceae Kyllinga cylindrica Nees var. major C.B.Clarke,(C.B.Clarke)
wfo-1200116458,urn:lsid:ipni.org:names:77373918-1,Carex oederi var. subglobosa,(Miel.) Fernald,Rhodora 28: 166. 1926 ,"isonym     'Carex oederi Retz. var. subglobosa (Miel.) Nyman, Consp.        Fl. Eur. 771. 1882' and 'Carex oederi Retz. subsp. subglobosa (Miel.)        K.Richt., Pl. Eur. 1: 164. 1890' exist.  Without referencing Nyman's work, Fernald listed 'C. Oederi Retz., var. subglobosa (Mielich.) Richter' as an accepted name, and thus, he inadvertently created an isonym",Cyperaceae Carex subglobosa Miel.,(Miel.)
wfo-0000909469,urn:lsid:ipni.org:names:77374263-1,Cyperus brevifolius f. pumilus,Valck.Sur.,Cyperus Mal. Arch. 48. 1898 (as 'f. pumila'),,,
