WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200113908,urn:lsid:ipni.org:names:77365172-1,Carex rugulosa var. misera,Kitag.,Rep. Inst. Sci. Res. Manchoukuo 2(7): 287. 1938 ,,,
wfo-1000083078,urn:lsid:ipni.org:names:77365173-1,Carex matsumotoi,T.Koyama,"Makinoa n.s., 11: 49. 2016 [Aug 2016] ",,,
wfo-1200113909,urn:lsid:ipni.org:names:77365174-1,Carex nitidiutriculata var. heterostachya,T.Koyama,"Makinoa n.s., 11: 52. 2016 [Aug 2016] ",,,
wfo-1000083079,urn:lsid:ipni.org:names:77365175-1,Fimbristylis pulvispicula,T.Koyama,"Makinoa n.s., 11: 52. 2016 [Aug 2016] ",,,
wfo-1000083080,urn:lsid:ipni.org:names:77365176-1,Fimbristylis fujikawae,T.Koyama,"Makinoa n.s., 11: 55. 2016 [Aug 2016] ",,,
wfo-0000382543,urn:lsid:ipni.org:names:77365248-1,Cyperus sesquiflorus f. elongatus,(Boeckeler) Kük.,Pflanzenr. (Engler) Heft 101(4): 594. 1936 ,,Cyperaceae Kyllinga odorata Kunth var. elongata Boeckeler,(Boeckeler)
wfo-1200114003,urn:lsid:ipni.org:names:77365251-1,Kyllinga odorata f. elongata,(Boeckeler) Cufod.,"Bull. Jard. Bot. Natl. Belg. 40(3, Suppl.): 1463. 1970 [31 Oct 1970] ",,Cyperaceae Kyllinga odorata Kunth var. elongata Boeckeler,(Boeckeler)
wfo-1200114005,urn:lsid:ipni.org:names:77365286-1,Cyperus viridulus,Valck.Sur.,Cyperus Mal. Arch. 51. 1898 ,nom. illeg. later homonym,,
wfo-0000382569,urn:lsid:ipni.org:names:77365288-1,Cyperus sesquiflorus var. pluriceps,(Kük.) Kük.,Pflanzenr. (Engler) Heft 101(4): 595. 1936 ,,Cyperaceae Kyllinga leucocephala Boeckeler var. pluriceps Kük.,(Kük.)
wfo-0000382545,urn:lsid:ipni.org:names:77365289-1,Cyperus sesquiflorus var. fallax,(Kük.) Kük.,Pflanzenr. (Engler) Heft 101(4): 595. 1936 ,,Cyperaceae Kyllinga odorata Kunth var. fallax Kük.,(Kük.)
wfo-0000381363,urn:lsid:ipni.org:names:77365290-1,Cyperus richardii var. oliganthus,(Cherm.) Kük.,Pflanzenr. (Engler) Heft 101(4): 570. 1936 ,,Cyperaceae Kyllinga macrocephala A.Rich. var. oligantha Cherm.,(Cherm.)
wfo-0000381359,urn:lsid:ipni.org:names:77365301-1,Cyperus richardii var. angustior,(C.B.Clarke) Kük.,Pflanzenr. (Engler) Heft 101(4): 570. 1936 ,,Cyperaceae Kyllinga macrocephala A.Rich. var. angustior C.B.Clarke,(C.B.Clarke)
