WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100006023,urn:lsid:ipni.org:names:77367325-1,trib. Nardostachyeae,Z.H.Feng,Plant 13(3): 144. 2025 [13 Aug 2025] [epublished],Caprifoliaceae,,,
wfo-4100006024,urn:lsid:ipni.org:names:77367326-1,trib. Zabelieae,Z.H.Feng,Plant 13(3): 145. 2025 [13 Aug 2025] [epublished],Caprifoliaceae,,,
wfo-1200114252,urn:lsid:ipni.org:names:77368481-1,Asterocephalus ochroleucus var. pinnatifidus,Schur,Enum. Pl. Transsilv. 299. 1866 ,Dipsacaceae,,,
wfo-1200114253,urn:lsid:ipni.org:names:77368482-1,Asterocephalus ochroleucus var. villosus,Schur,Enum. Pl. Transsilv. 299. 1866 ,Dipsacaceae,,,
wfo-1200114254,urn:lsid:ipni.org:names:77368483-1,Asterocephalus ochroleucus var. angustisectus,Schur,Verh. Naturf. Vereins Brünn 33: 233. 1894 ,Dipsacaceae,,,
wfo-1200114255,urn:lsid:ipni.org:names:77368484-1,Asterocephalus ochroleucus var. glabrescens,Schur,Verh. Naturf. Vereins Brünn 33: 233. 1894 ,Dipsacaceae,,,
wfo-1200114366,urn:lsid:ipni.org:names:77368485-1,Knautia lanceolata,Holuby,Fl. Trencsiner Comitates 51. 1888 ,Dipsacaceae,,,
wfo-0000745439,urn:lsid:ipni.org:names:77368486-1,Knautia kitaibelii subsp. alpigena,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Knautia alpigena Schur,(Schur)
wfo-0000745425,urn:lsid:ipni.org:names:77368487-1,Knautia sylvatica var. turocensis,Borbás,Kert 1898: 48. ,Dipsacaceae,,,
wfo-0000745424,urn:lsid:ipni.org:names:77368488-1,Knautia sylvatica var. pocutica,Szabó,"Bot. Jahrb. Syst. 38(4-5,Beibl. 89): 21, 22. 1907 ",Dipsacaceae,,,
wfo-0000745422,urn:lsid:ipni.org:names:77368489-1,Knautia sylvatica var. lancifolia,Heuff.,Verh. K. K. Zool.-Bot. Ges. Wien 8: 127. 1858 ,Dipsacaceae,,,
wfo-1200114256,urn:lsid:ipni.org:names:77368490-1,Knautia pannonica var. angustata,Borbás,Balaton Tavának Növényföldr. 344. 1900 ,Dipsacaceae,,,
wfo-1200114257,urn:lsid:ipni.org:names:77368491-1,Trichera pannonica subvar. subcinerascens,Borbás,Magyar Orv. Termész. Vándorgyül. Tört. Vázl. Munk. 1894: 275. ,Dipsacaceae,,,
wfo-1200114258,urn:lsid:ipni.org:names:77368492-1,Trichera pannonica subvar. subserrata,Borbás,Magyar Orv. Termész. Vándorgyül. Tört. Vázl. Munk. 1894: 275. ,Dipsacaceae,,,
wfo-1200114259,urn:lsid:ipni.org:names:77368493-1,Trichera pannonica subvar. dolichodonta,Borbás,Beih. Bot. Centralbl. 5: 98. 1895 ,Dipsacaceae,,,
wfo-1200114260,urn:lsid:ipni.org:names:77368494-1,Trichera pannonica var. leucocephala,Borbás,Magyar Orv. Termész. Vándorgyül. Tört. Vázl. Munk. 1894: 276. ,Dipsacaceae,,,
