WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114770,urn:lsid:ipni.org:names:77368664-1,Knautia arvensis f. lanceolata,Szabó,Bot. Jahrb. Syst. 36(4): 437. 1905 ,Dipsacaceae,,,
wfo-1200114775,urn:lsid:ipni.org:names:77368774-1,Scabiosa ochroleuca f. pinnatifida,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 11: 250. 1965 ,Dipsacaceae,,Dipsacaceae Asterocephalus ochroleucus Wallr. var. pinnatifidus Schur,(Schur)
wfo-1200114777,urn:lsid:ipni.org:names:77368781-1,Scabiosa ochroleuca f. villosa,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 11: 250. 1965 ,Dipsacaceae,,Dipsacaceae Asterocephalus ochroleucus Wallr. var. villosus Schur,(Schur)
wfo-1200114776,urn:lsid:ipni.org:names:77368782-1,Scabiosa ochroleuca f. angustisecta,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 11: 250. 1965 ,Dipsacaceae,,Dipsacaceae Asterocephalus ochroleucus Wallr. var. angustisectus Schur,(Schur)
wfo-1200114778,urn:lsid:ipni.org:names:77368783-1,Scabiosa ochroleuca f. glabrescens,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 11: 250. 1965 ,Dipsacaceae,,Dipsacaceae Asterocephalus ochroleucus Wallr. var. glabrescens Schur,(Schur)
wfo-1200114790,urn:lsid:ipni.org:names:77368954-1,Knautia kitaibelii f. lanceolata,(Szabó) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Knautia arvensis Coult. f. lanceolata Szabó,(Szabó)
wfo-1200114867,urn:lsid:ipni.org:names:77368955-1,Knautia sylvatica subsp. turocensis,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Knautia sylvatica Duby var. turocensis Borbás,(Borbás)
wfo-1200114868,urn:lsid:ipni.org:names:77368956-1,Knautia sylvatica subsp. pocutica,(Szabó) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,"nom. inval.    , basionym ref 1905 nom. nud.",Dipsacaceae Knautia sylvatica Duby var. pocutica Szabó,(Szabó)
wfo-1200114869,urn:lsid:ipni.org:names:77368957-1,Knautia sylvatica subsp. lancifolia,(Heuff.) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Knautia sylvatica Duby var. lancifolia Heuff.,(Heuff.)
wfo-1200114791,urn:lsid:ipni.org:names:77368958-1,Knautia drymeja f. angustata,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Knautia pannonica Heuff. var. angustata Borbás,(Borbás)
wfo-1200114792,urn:lsid:ipni.org:names:77368959-1,Knautia drymeja f. subcinerascens,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Trichera pannonica (Jacq.) Nyman subvar. subcinerascens Borbás,(Borbás)
wfo-1200114793,urn:lsid:ipni.org:names:77368960-1,Knautia drymeja f. subserrata,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Trichera pannonica (Jacq.) Nyman subvar. subserrata Borbás,(Borbás)
wfo-1200114794,urn:lsid:ipni.org:names:77368961-1,Knautia drymeja f. dolichodonta,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Trichera pannonica (Jacq.) Nyman subvar. dolichodonta Borbás,(Borbás)
wfo-1200114795,urn:lsid:ipni.org:names:77368962-1,Knautia drymeja lus. leucocephala,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Dipsacaceae,,Dipsacaceae Trichera pannonica (Jacq.) Nyman var. leucocephala Borbás,(Borbás)
