WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200067584,urn:lsid:ipni.org:names:77364916-1,Erica corifolia var. brevirostra,Klotzsch,Linnaea 12: 537. 1838 ,,,
wfo-1000083071,urn:lsid:ipni.org:names:77365054-1,Agapetes brevituba,X.C.Xie & Y.H.Tan,Taiwania 70(3): 411. 2025 [23 Jun 2025] [epublished],,,
wfo-1000083072,urn:lsid:ipni.org:names:77365055-1,Vaccinium longisetosum,X.C.Xie & Y.H.Tan,Taiwania 70(3): 414. 2025 [23 Jun 2025] [epublished],,,
wfo-1000083289,urn:lsid:ipni.org:names:77365658-1,Agapetes athangensis,P.Gyeltshen,Gard. Bull. Singapore 77(1): 135. 2025 [14 Jul 2025] [epublished],,,
wfo-0000672771,urn:lsid:ipni.org:names:77365661-1,Erica opulenta,(J.C.Wendl. ex Klotzsch) Benth.,Prodr. [A. P. de Candolle] 7: 667. 1839 ,,Ericaceae Microtrema opulentum J.C.Wendl. ex Klotzsch,(J.C.Wendl. ex Klotzsch)
wfo-1200114016,urn:lsid:ipni.org:names:77365698-1,Rhododendron sikkimense,D.K.Pradhan,"J. Mountain Res. 18(1): 2023. [Jun 2023] , as 'sikkimensis'","Note: Holotype incorrectly cited as a lectotype, but correctable under Art. 40.4., ICN (Madrid Code, 2025).",,
wfo-1200113944,urn:lsid:ipni.org:names:77365996-1,Sphyrospermum buxifolium var. alboroseum,"A.Doucette, H.Medina & J.Portilla","Andreettana 1(3): 40. 2025 [15 Jul 2025] , as 'albo-roseus' [epublished]",Epithet amended as per Art. 60.11. ICN (2018). Hyphen deleted as per Ex. 40. Termination of specific epithet amended as per Art. 23.5. ICN (2018).,,
wfo-1200113945,urn:lsid:ipni.org:names:77365997-1,Sphyrospermum buxifolium var. chlorinum,"A.Doucette, H.Medina & J.Portilla","Andreettana 1(3): 43. 2025 [15 Jul 2025] , as 'chlorinus' [epublished]",,,
wfo-1200113946,urn:lsid:ipni.org:names:77365998-1,Sphyrospermum buxifolium var. ecuagenera,"A.Doucette, H.Medina & J.Portilla",Andreettana 1(3): 46. 2025 [15 Jul 2025] [epublished],,,
wfo-1000083403,urn:lsid:ipni.org:names:77366121-1,Thibaudia shagmiana,"M.M.Jiménez, Luteyn & Darío García",Biodivers. Data J. 13(e157044): 4. 2025 [25 Jul 2025] [epublished],,,
wfo-1000083439,urn:lsid:ipni.org:names:77366413-1,Vaccinium lallanii,R.Kr.Singh,J. Biodivers. Conservation 9(3): 1. 2025 [25 Jul 2025] [epublished],,,
wfo-1200113989,urn:lsid:ipni.org:names:77366414-1,Vaccinium lallanii var. hirsutulum,(Mustaqim) R.Kr.Singh,J. Biodivers. Conservation 9(3): 5. 2025 [25 Jul 2025] [epublished],,Ericaceae Vaccinium paludicola Sleumer var. hirsutulum Mustaqim,(Mustaqim)
