WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000083954,urn:lsid:ipni.org:names:30012849-2,Hepatica triloba,Chaix,Pl. Vapinc. 32. 1785 ,,,,"France (Southwestern Europe, Europe)"
wfo-1000083973,urn:lsid:ipni.org:names:77353736-1,Forsythia × kobendzae,Seneta ex Korbik & Andrzejczak,Mitt. Deutsch. Dendrol. Ges. 110: 120. 2025 [Jul 2025] ,,,,"Lithuania (Baltic States, Eastern Europe, Europe)"
wfo-1000083610,urn:lsid:ipni.org:names:77366902-1,Crocus osmanerolii,Ciftci,Pl. Biosystems 159(4): 753. 2025 [10 May 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000083695,urn:lsid:ipni.org:names:77367594-1,Sorbus × pseudoporrigentiformis,T.C.G.Rich & L.Houston,Brit. Irish Bot. 7(1): 31. 2025 [7 Mar 2025] [epublished],,,,"Great Britain (Northern Europe, Europe)"
wfo-1000083700,urn:lsid:ipni.org:names:77367603-1,Sorbus fayana,L.Houston & T.C.G.Rich,Brit. Irish Bot. 7(1): 30. 2025 [7 Mar 2025] [epublished],,,,"Great Britain (Northern Europe, Europe)"
wfo-1000083702,urn:lsid:ipni.org:names:77367605-1,Hieracium subangustatum,T.C.G.Rich,Brit. Irish Bot. 7(1): 52. 2025 [7 Mar 2025] [epublished],,,,"Great Britain (Northern Europe, Europe)"
wfo-1000083703,urn:lsid:ipni.org:names:77367606-1,Hieracium dentdalense,B.Burrow,Brit. Irish Bot. 7(2): 135. 2025 [14 Aug 2025] [epublished],,,,"Great Britain (Northern Europe, Europe)"
wfo-1000083704,urn:lsid:ipni.org:names:77367607-1,Hieracium langscariense,B.Burrow,Brit. Irish Bot. 7(2): 138. 2025 [14 Aug 2025] [epublished],,,,"Great Britain (Northern Europe, Europe)"
wfo-1000083705,urn:lsid:ipni.org:names:77367608-1,Hieracium aithense,B.Burrow & J.Crossley,Brit. Irish Bot. 7(2): 141. 2025 [14 Aug 2025] [epublished],,,,"Great Britain (Northern Europe, Europe)"
wfo-1000083836,urn:lsid:ipni.org:names:77367910-1,Iris deserti-syriaci,T.Hall,Bull. Brit. Iris Soc. Spec. Group Summer 2025: 19. ,,,,"Syria (Lebanon-Syria, Western Asia, Asia-Temperate)"
wfo-1000083842,urn:lsid:ipni.org:names:77367916-1,Iris munzuriana,T.Hall,Bull. Brit. Iris Soc. Spec. Group Summer 2025: 23. ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000083843,urn:lsid:ipni.org:names:77367917-1,Iris halepensis,T.Hall,Bull. Brit. Iris Soc. Spec. Group Summer 2025: 29. ,,,,"Syria (Lebanon-Syria, Western Asia, Asia-Temperate)"
wfo-1000083844,urn:lsid:ipni.org:names:77367918-1,Iris moabitica,Dinsm. ex T.Hall,Bull. Brit. Iris Soc. Spec. Group Summer 2025: 41. ,,,,"Jordan (Palestine, Western Asia, Asia-Temperate)"
wfo-1200114331,urn:lsid:ipni.org:names:77368065-1,Rubus magurensis,"Wolanin, M.Nobis & Oklej.",Forests 16(8)-1286: 2. 2025 [6 Aug 2025] [epublished],nom. illeg. later homonym,,,"Poland (Middle Europe, Europe)"
wfo-1000083891,urn:lsid:ipni.org:names:77368273-1,Allium beitchlelaense,Maalouf & Balos,Ann. Bot. Fenn. 62: 216. 2025 [1 Sep 2025] [epublished],,,,"Lebanon (Lebanon-Syria, Western Asia, Asia-Temperate)"
wfo-1000083893,urn:lsid:ipni.org:names:77368275-1,Polygonum oktaysinanoglui,M.Keskin,Phytotaxa 716(1): 47. 2025 [26 Aug 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
