WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000064912,urn:lsid:ipni.org:names:77364900-1,Lavatera pallida,Bosse,Vollst. Handb. Bl.-gärtn. 2: 646. 1829 ,,,,Canary Islands
wfo-1200113902,urn:lsid:ipni.org:names:77364913-1,Melampyrum pratense var. purpurascens,Asch.,Verh. Bot. Vereins Prov. Brandenburg 40: 60. 1898 ,,,,"Germany (Middle Europe, Europe)"
wfo-0000541576,urn:lsid:ipni.org:names:77365581-1,Aquilegia taygetea,Boiss. & Orph.,Atti Congr. Int. Bot. Firenze 1874: 214. 1876 ,,,,"Greece (Southeastern Europe, Europe)"
wfo-1000083309,urn:lsid:ipni.org:names:77365684-1,Allium sadikerikii,Eker & Özüdoğru,Ann. Bot. Fenn. 62(1): 110. 2025 [9 Apr 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000083310,urn:lsid:ipni.org:names:77365685-1,Trigonella hasanakanii,"M.Keskin, Balos & Sonay",Ann. Bot. Fenn. 62(1): 116. 2025 [15 Apr 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000083314,urn:lsid:ipni.org:names:77365689-1,Ophrys × petrosellii,"Benigni, Barigelli, Mandozzi, Barch. & Bocchini","Micol. Marche, N.S. 9(1): 101. 2025 [1 Jun 2025] ",,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000083315,urn:lsid:ipni.org:names:77365690-1,Ophrys × barigellii,"Benigni, Petroselli, Mandozzi, Barch. & Bocchini","Micol. Marche, N.S. 9(1): 100. 2025 [1 Jun 2025] ",,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1200036841,urn:lsid:ipni.org:names:77366087-1,Linaria anticaria var. angustifolia,Boiss. & Reut.,Pugill. Pl. Afr. Bor. Hispan. 86. 1852 ,,,,"Spain (Southwestern Europe, Europe)"
wfo-1200113960,urn:lsid:ipni.org:names:77366105-1,Dryopteris affinis f. picoensis,Fraser-Jenk.,Fern Gaz. 22(5): 218. 2024 [24 Dec 2024] ,,,,"Azores (Macaronesia, Africa)"
wfo-1200113965,urn:lsid:ipni.org:names:77366113-1,Dryopteris affinis var. austrogallica,Fraser-Jenk. & Boudrie,Fern Gaz. 22(5): 225. 2024 [24 Dec 2024] ,,,,"France (France, Southwestern Europe, Europe)"
wfo-1200113966,urn:lsid:ipni.org:names:77366115-1,Dryopteris oreades subsp. corsica,Fraser-Jenk.,Fern Gaz. 22(5): 227. 2024 [24 Dec 2024] ,,,,"Corse (Southwestern Europe, Europe)"
wfo-1200113975,urn:lsid:ipni.org:names:77366157-1,Dryopteris × complexa nothovar. hibernica,Fraser-Jenk. & Trewren,Fern Gaz. 22(5): 235. 2024 [24 Dec 2024] ,,,,"Ireland (Ireland, Northern Europe, Europe)"
wfo-1200113977,urn:lsid:ipni.org:names:77366160-1,Dryopteris × complexa nothovar. rufosquama,Fraser-Jenk.,Fern Gaz. 22(5): 236. 2024 [24 Dec 2024] ,,,,"Germany (Middle Europe, Europe)"
wfo-1000083436,urn:lsid:ipni.org:names:77366410-1,Cistanche mimii,Ben-Natan & Thorogood,PhytoKeys 260: 216. 2025 [1 Aug 2025] [epublished],,,,"Israel (Palestine, Western Asia, Asia-Temperate);Jordan (Palestine, Western Asia, Asia-Temperate);"
wfo-1000078294,urn:lsid:ipni.org:names:77366423-1,Serapias × sipontensis,Lumare & Medagli,"Thalassia Salentina 46: 98, 108. 2024 ",,,,"Italy (Italy, Southeastern Europe, Europe)"
