WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000080790,urn:lsid:ipni.org:names:77359705-1,Petrolamium crnojevicii,"Dragićević, Vuksanović & Surina",Taxon 74(3): 677. 2025 [18 Feb 2025] [epublished],,,,"Montenegro (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000082333,urn:lsid:ipni.org:names:77363712-1,Serapias × ruggieroi,Lumare & Medagli,GIROS Orch. Spont. Eur. 68(1): 152. 2025 ,nom. illeg. later homonym,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000085551,urn:lsid:ipni.org:names:77371019-1,Fritillaria saricanensis,Sonay,"Int. J. Nat. Life Sci. 9(1): 56. 2025 [15 May 2025] , as 'saricanense' [epublished]",Termination of specific epithet amended as per Art. 23.5. ICN (2025).,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000085611,urn:lsid:ipni.org:names:77371284-1,Cistus × sanctae-helenae,De Bellard & Hervás,Micobot. Jaén 19(1): 110. 2024 [31 Mar 2024] [epublished],,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000085628,urn:lsid:ipni.org:names:77371336-1,Epipactis sinaiana,"Presser, C.Steiu & Anghelescu",Ber. Arbeitskreis. Heimische Orchid. 42(1): 169. 2025 [3 Sep 2025] ,,,,"Romania (Southeastern Europe, Europe)"
wfo-1000085629,urn:lsid:ipni.org:names:77371337-1,Epipactis bicolor,Presser & S.Hertel,Ber. Arbeitskreis. Heimische Orchid. 42(1): 233. 2025 [03 Sep 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000085630,urn:lsid:ipni.org:names:77371338-1,Epipactis coartata,S.Hertel,Ber. Arbeitskreis. Heimische Orchid. 42(1): 240. 2025 [3 Sep 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000085962,urn:lsid:ipni.org:names:77371375-1,Serapias × demericoi,Medagli & Turco,Thalassia Salentina 33: 79. 2011 [1 Dec 2011] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000086444,urn:lsid:ipni.org:names:77371488-1,Serapias × ruggieroi,Medagli & Turco,Thalassia Salentina 33: 77. 2011 [1 Dec 2011] ,"Name incorrect at this rank as one parent is a subsp., see Art. H.5.2 ICN (2025)",,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1200115669,urn:lsid:ipni.org:names:77371536-1,Pimpinella saxifraga f. dissectiformis,Weide,Feddes Repert. 64(2-3): 255. 1962 ,,,,"France (France, Southwestern Europe, Europe)"
wfo-1200115670,urn:lsid:ipni.org:names:77371541-1,Pimpinella saxifraga subsp. montana,Weide,Feddes Repert. 64(2-3): 258. 1962 ,,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-1200100818,urn:lsid:ipni.org:names:77371545-1,Pimpinella saxifraga subsp. rupestris,Weide,Feddes Repert. 64(2-3): 259. 1962 ,,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe);Poland (Middle Europe, Europe);"
