WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000085549,urn:lsid:ipni.org:names:77370176-1,Fritillaria avzemiae,"Sonay, Balos, M.Keskin & Tekşen",Int. J. Nat. Life Sci. 9(1): 39. 2025 [5 May 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-0001323033,urn:lsid:ipni.org:names:77370805-1,Coeloglossum viride f. integrum,Soó,Acta Bot. Acad. Sci. Hung. 18(1-2): 173. 1973 ,,,,"Switzerland (Middle Europe, Europe)"
wfo-0000804857,urn:lsid:ipni.org:names:77370806-1,Ophrys exaltata subsp. sundermannii,Soó,Acta Bot. Acad. Sci. Hung. 18(1-2): 173. 1973 ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000085472,urn:lsid:ipni.org:names:77370832-1,Leontodon montecristensis,"Foggi, N.Kilian, Landi & Zoccola",Pl. Biosystems 159(5): 990. 2025 [02 Jun 2025] [epublished],,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000085551,urn:lsid:ipni.org:names:77371019-1,Fritillaria saricanensis,Sonay,"Int. J. Nat. Life Sci. 9(1): 56. 2025 [15 May 2025] , as 'saricanense' [epublished]",Termination of specific epithet amended as per Art. 23.5. ICN (2025).,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000085553,urn:lsid:ipni.org:names:77371020-1,Inula erzurumica,Yapar,Phytotaxa 725(2): 197. 2025 [23 Oct 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000085567,urn:lsid:ipni.org:names:77371038-1,Euphorbia balcanica,Sharovikj Ivanova & Frajman,Frontiers Pl. Sci. (Lausanne) 16-1558466: 14. 2025 [14 Apr 2025] [epublished],,,,"Macedonia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000085566,urn:lsid:ipni.org:names:77371040-1,Euphorbia skopjensis,Sharovikj Ivanova & Frajman,Frontiers Pl. Sci. (Lausanne) 16-1558466: 14. 2025 [14 Apr 2025] [epublished],,,,"Macedonia (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000085611,urn:lsid:ipni.org:names:77371284-1,Cistus × sanctae-helenae,De Bellard & Hervás,Micobot. Jaén 19(1): 110. 2024 [31 Mar 2024] [epublished],,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000085628,urn:lsid:ipni.org:names:77371336-1,Epipactis sinaiana,"Presser, C.Steiu & Anghelescu",Ber. Arbeitskreis. Heimische Orchid. 42(1): 169. 2025 [3 Sep 2025] ,,,,"Romania (Southeastern Europe, Europe)"
wfo-1000085629,urn:lsid:ipni.org:names:77371337-1,Epipactis bicolor,Presser & S.Hertel,Ber. Arbeitskreis. Heimische Orchid. 42(1): 233. 2025 [03 Sep 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000085630,urn:lsid:ipni.org:names:77371338-1,Epipactis coartata,S.Hertel,Ber. Arbeitskreis. Heimische Orchid. 42(1): 240. 2025 [3 Sep 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
