WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000083562,urn:lsid:ipni.org:names:77366791-1,Trichodrymonia isophylla,J.L.Clark & Clavijo,Brittonia 77(2): 202. 2025 [26 Feb 2025] [epublished],,,
wfo-1000083940,urn:lsid:ipni.org:names:77366807-1,Mandirola × roezlii,(Planch.) Lindl.,"Gard. Chron. 1855: 451. [7 Jul 1855] , as 'Roezli'",,Gesneriaceae Mandirola × naegelia É.Morren var. roezlii Planch.,(Planch.)
wfo-1000083574,urn:lsid:ipni.org:names:77366808-1,Anetanthus condorensis,J.L.Clark,Brittonia 77: [3 of 11]. 2025 [25 Jun 2025] [epublished],,,
wfo-1000083575,urn:lsid:ipni.org:names:77366809-1,Anetanthus pendens,J.L.Clark,Brittonia 77: [5 of 11]. 2025 [25 Jun 2025] [epublished],,,
wfo-1000083576,urn:lsid:ipni.org:names:77366810-1,Mandirola × picturata,(Planch.) Lindl.,Gard. Chron. 1855: 451. [7 Jul 1855] ,,Gesneriaceae Mandirola × naegelia É.Morren var. picturata Planch.,(Planch.)
wfo-1000083577,urn:lsid:ipni.org:names:77366811-1,Anetanthus zamorensis,J.L.Clark,Brittonia 77: [8 of 11]. 2025 [25 Jun 2025] [epublished],,,
wfo-1000083579,urn:lsid:ipni.org:names:77366813-1,Metapetrocosmea navicularis,"F.Wen, T.V.Do, Z.B.Xin & K.Tan",PhytoKeys 261: 90. 2025 [7 Aug 2025] [epublished],,,
wfo-1000083644,urn:lsid:ipni.org:names:77367221-1,Primulina quanzhouensis,"F.Wen, J.X.Fu & B.Pan",Phytotaxa 714(4): 293. 2025 [14 Aug 2025] [epublished],,,
wfo-1000083795,urn:lsid:ipni.org:names:77367848-1,Oreocharis sanglocii,"K.S.Nguyen, Aver., Nuraliev, L.Wu & C.W.Lin",Phytotaxa 715(2): 131. 2025 [19 Aug 2025] [epublished],,,
wfo-1000083814,urn:lsid:ipni.org:names:77367871-1,Achimenes backmanii,B.S.Williams,Florist Fruitist Gard. Misc. 5: 271. 1852 [Nov 1852] ,,,
wfo-1000083825,urn:lsid:ipni.org:names:77367886-1,Drymonia paraguensis,Clavijo & Zuluaga,"Darwiniana n.s., 13(1): 169. 2025 [26 Jun 2025] [epublished]",,,
wfo-1000083854,urn:lsid:ipni.org:names:77367930-1,Columnea combeimae,"Lozano-Cif., J.E.Ríos & J.L.Clark",PhytoKeys 261: 318. 2025 [22 Aug 2025] [epublished],,,
wfo-1000083855,urn:lsid:ipni.org:names:77367932-1,Columnea rubropilosa,J.L.Clark & Clavijo,PhytoKeys 261: 321. 2025 [22 Aug 2025] [epublished],,,
wfo-1000083881,urn:lsid:ipni.org:names:77368261-1,Microchirita baolamensis,"T.S.Hoang, W.G.Wang & H.C.Xi",Ann. Bot. Fenn. 62: 135. 2025 [9 Apr 2025] [epublished],,,
wfo-0000702268,urn:lsid:ipni.org:names:77368295-1,Gesneria latifolia,Mart.,"Nov. Gen. Sp. Pl. (Martius) 3: 35. 1829 , as 'Gesnera latifolia'",,,
wfo-1200023501,urn:lsid:ipni.org:names:77368304-1,Gesneria latifolia,Mart. ex Otto,"Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 5: 218. 1829 , as 'Gesnera latifolia'",,,
