WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000077588,urn:lsid:ipni.org:names:77354654-1,Primulina xingyiensis,X.X.Bai & F.Wen,PhytoKeys 251: 5. 2025 [6 Jan 2025] [epublished],,,
wfo-1200110338,urn:lsid:ipni.org:names:77355306-1,Anna ophiorrhizoides var. cavaleriei,(H.Lév.) X.X.Bai & F.Wen,Guihaia 44(9): 1647. 2024 [Sep 2024] [epublished],,Gesneriaceae Didymocarpus cavaleriei H.Lév.,(H.Lév.)
wfo-1000077935,urn:lsid:ipni.org:names:77355308-1,Besleria amicitia,L.E.Skog & Barrie,Novon 32: 162. 2024 [11 Oct 2024] [epublished],,,
wfo-1000077936,urn:lsid:ipni.org:names:77355309-1,Besleria darienensis,L.E.Skog & Barrie,Novon 32: 164. 2024 [11 Oct 2024] [epublished],,,
wfo-1000077937,urn:lsid:ipni.org:names:77355310-1,Besleria fruticosa,L.E.Skog & Barrie,Novon 32: 166. 2024 [11 Oct 2024] [epublished],,,
wfo-1000077938,urn:lsid:ipni.org:names:77355311-1,Besleria gracilis,L.E.Skog & Barrie,Novon 32: 166. 2024 [11 Oct 2024] [epublished],,,
wfo-1000077939,urn:lsid:ipni.org:names:77355312-1,Besleria hondurensis,L.E.Skog & Barrie,Novon 32: 169. 2024 [11 Oct 2024] [epublished],,,
wfo-1000077940,urn:lsid:ipni.org:names:77355313-1,Besleria nicolsonii,L.E.Skog & Barrie,Novon 32: 171. 2024 [11 Oct 2024] [epublished],,,
wfo-1000077941,urn:lsid:ipni.org:names:77355314-1,Besleria talamancana,L.E.Skog & Barrie,Novon 32: 173. 2024 [11 Oct 2024] [epublished],,,
wfo-1000077944,urn:lsid:ipni.org:names:77355432-1,Columnea conopurpurea,"J.L.Clark, Ramos-Arias & J.L.Peña",Novon 32: 181. 2024 [17 Oct 2024] [epublished],,,
wfo-1000078023,urn:lsid:ipni.org:names:77355917-1,Henckelia davidwoodii,"D.Borah, Taram & R.Maity",Nordic J. Bot. e04662: 2. 2024 [10 Dec 2024] [epublished],,,
