WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000081466,urn:lsid:ipni.org:names:77361378-1,Glossoloma parvulina,"Solano-C., Ruiz-Mol. & J.L.Clark",Brittonia 77(1): 123. 2025 [17 Jan 2025] [epublished],,,
wfo-1000081491,urn:lsid:ipni.org:names:77361651-1,Drymonia clavijoae,J.L.Clark,"PhytoKeys 256: 39. 2025 [12 May 2025] , as 'clavijoiae' [epublished]",,,
wfo-1000081492,urn:lsid:ipni.org:names:77361652-1,Drymonia katzensteiniae,J.L.Clark,PhytoKeys 256: 45. 2025 [12 May 2025] [epublished],,,
wfo-1000081493,urn:lsid:ipni.org:names:77361653-1,Drymonia rominieckiae,J.L.Clark,PhytoKeys 256: 50. 2025 [12 May 2025] [epublished],,,
wfo-1000081494,urn:lsid:ipni.org:names:77361654-1,Drymonia silvanae,J.L.Clark,"PhytoKeys 256: 54. 2025 [12 May 2025] , as 'silvaniae' [epublished]",Termination of epithet amended according to Art. 60.8.(a) of the ICN (2018).,,
wfo-1000081501,urn:lsid:ipni.org:names:77361684-1,Oreocharis corallodiscoides,Huan C.Wang & Xi Li,PhytoKeys 256: 74. 2025 [13 May 2025] [epublished],,,
wfo-4100005807,urn:lsid:ipni.org:names:77361881-1,Monophyllaea,R.Br.,Cyrtandreae 121. 1839 [Dec 1839] ,,,
wfo-1000081775,urn:lsid:ipni.org:names:77361882-1,Monophyllaea horsfieldii,R.Br.,Cyrtandreae 121. 1839 [Dec 1839] ,,,
wfo-1000081681,urn:lsid:ipni.org:names:77362187-1,Metapetrocosmea culaochamensis,"C.H.Nguyen, Dang H.Nguyen & C.W.Lin",Turczaninowia 28(1): 147. 2025 [27 Mar 2025] [epublished],,,
wfo-1000081695,urn:lsid:ipni.org:names:77362211-1,Aeschynanthus clarkei,"Moaakum, S.Dey, Barbhuiya & G.Krishna",Taiwania 70(1): 50. 2025 [7 Jan 2025] [epublished],,,
wfo-1000081697,urn:lsid:ipni.org:names:77362213-1,Primulina yangmingshanensis,F.Wen & Kun Liu,Taiwania 70(1): 76. 2025 [17 Jan 2025] [epublished],,,
