WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000521988,urn:lsid:ipni.org:names:77371636-1,Aeschynanthus maculatus var. sikkimensis,C.B.Clarke,Monogr. Phan. 5: 24. 1883 ,,,
wfo-1000083562,urn:lsid:ipni.org:names:77366791-1,Trichodrymonia isophylla,J.L.Clark & Clavijo,Brittonia 77(2): 202. 2025 [26 Feb 2025] [epublished],,,
wfo-1000083574,urn:lsid:ipni.org:names:77366808-1,Anetanthus condorensis,J.L.Clark,Brittonia 77(3): 365. 2025 [25 Jun 2025] [epublished],,,
wfo-1000083575,urn:lsid:ipni.org:names:77366809-1,Anetanthus pendens,J.L.Clark,Brittonia 77(3): 367. 2025 [25 Jun 2025] [epublished],,,
wfo-1000083577,urn:lsid:ipni.org:names:77366811-1,Anetanthus zamorensis,J.L.Clark,Brittonia 77(3): 370. 2025 [25 Jun 2025] [epublished],,,
wfo-1000085963,urn:lsid:ipni.org:names:77371490-1,Sumacoa barbata,J.L.Clark & D.A.Neill,Syst. Bot. 50(1): 10. 2025 [30 May 2025] [epublished],,,
wfo-1000086062,urn:lsid:ipni.org:names:77371482-1,Aeschynanthus succineus,Lei Cai & L.W.Lin,PhytoKeys 265: 243. 2025 [4 Nov 2025] [epublished],,,
wfo-1000086063,urn:lsid:ipni.org:names:77371483-1,Aeschynanthus tongbiguanensis,Lei Cai & L.W.Lin,PhytoKeys 265: 245. 2025 [4 Nov 2025] [epublished],,,
wfo-1000086185,urn:lsid:ipni.org:names:77371748-1,Columnea flammeostoma,J.L.Clark,J. Bot. Res. Inst. Texas 19(2): 102. 2025 [23 Jun 2025] [epublished],,,
wfo-1000086234,urn:lsid:ipni.org:names:77372087-1,Beccarinda nhatii,"V.T.Bui, K.S.Nguyen & C.W.Lin",Taiwania 70(4): 694. 2025 [18 Oct 2025] [epublished],,,
wfo-1000086253,urn:lsid:ipni.org:names:77372080-1,Primulina longanica,F.Wen & W.C.Chou,Taiwania 70(4): 640. 2025 [8 Sep 2025] [epublished],,,
wfo-1000086262,urn:lsid:ipni.org:names:77372100-1,Crassicaulis guiliangii,Lei Cai & F.M.Yang,Cladistics 41(6): 576. 2025 [8 Sep 2025] [epublished],,,
wfo-1000086263,urn:lsid:ipni.org:names:77372102-1,Crassicaulis middletonii,Chowlu & A.Shenoy,Taiwania 70(4): 717. 2025 [8 Nov 2025] [epublished],,,
wfo-4100006309,urn:lsid:ipni.org:names:77371489-1,Sumacoa,J.L.Clark & D.A.Neill,Syst. Bot. 50(1): 10. 2025 [30 May 2025] [epublished],,,
wfo-4100006320,urn:lsid:ipni.org:names:77372098-1,Crassicaulis,Lei Cai & Mich.Möller,Cladistics 41(6): 576. 2025 [8 Sep 2025] [epublished],,,
