WFOID,IPNID,scientificName,authors_t,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200110595,urn:lsid:ipni.org:names:77356295-1,Colutea media,Rössig,Handb. Liebhaber Engl. Pflanzungen 73. 1790 ,Leguminosae,,,
wfo-1000078313,urn:lsid:ipni.org:names:77356311-1,Sophora phulangkaensis,"Mattapha, K.Khamm. & Suddee",Blumea 69(2): 134. 2024 [9 Oct 2024] [epublished],Fabaceae,,,
wfo-1200110609,urn:lsid:ipni.org:names:77356344-1,Gleditsia horrida,Rössig,Handb. Liebhaber Engl. Pflanzungen 1: 132. 1790 ,Caesalpiniaceae,,,
wfo-1200110612,urn:lsid:ipni.org:names:77356353-1,Spartium album,Rössig,Handb. Liebhaber Engl. Pflanzungen 1: 322. 1790 ,Leguminosae,,,
wfo-1000078383,urn:lsid:ipni.org:names:77356518-1,Lespedeza jianghuensis,"Song Huang, Jia X.Li & B.Pan bis",PhytoKeys 252: 54. 2025 [10 Feb 2025] [epublished],Fabaceae,,,
wfo-0001231696,urn:lsid:ipni.org:names:77356676-1,Acacia arabica var. adansoniana,Dubard,Acacias Tanin 8. 1913 ,Leguminosae,,,
wfo-1000078415,urn:lsid:ipni.org:names:77356685-1,Copaifera araguaiensis,"R.B.Pinto, L.L.C.Antunes, C.M.Silva-Neto & I.N.M.Ferreira",Phytotaxa 687(1): 102. 2025 [13 Feb 2025] [epublished],Leguminosae,,,
wfo-1000078484,urn:lsid:ipni.org:names:77357238-1,Grimolobium glandulosum,(L.) A.N.Egan & C.H.Stirt.,Bot. J. Linn. Soc. 14 of 17. 2024 [13 Dec 2024] [epublished],Leguminosae,,Leguminosae Psoralea glandulosa L.,(L.)
wfo-1000078486,urn:lsid:ipni.org:names:77357240-1,Grimolobium brachystachyum,(Spruce ex Diels) A.N.Egan & C.H.Stirt.,Bot. J. Linn. Soc. 14 of 17. 2024 [13 Dec 2024] [epublished],Leguminosae,,Fabaceae Psoralea brachystachya Spruce ex Diels,(Spruce ex Diels)
wfo-1000078487,urn:lsid:ipni.org:names:77357242-1,Grimolobium mexicanum,(L.f.) A.N.Egan & C.H.Stirt.,Bot. J. Linn. Soc. 15 of 17. 2024 [13 Dec 2024] [epublished],Leguminosae,,Leguminosae Indigofera mexicana L.f.,(L.f.)
wfo-1000078488,urn:lsid:ipni.org:names:77357243-1,Grimolobium higuerilla,(Gillies ex Hook. & Arn.) A.N.Egan & C.H.Stirt.,Bot. J. Linn. Soc. 15 of 17. 2024 [13 Dec 2024] [epublished],Leguminosae,,Leguminosae Psoralea higuerilla Gillies ex Hook. & Arn.,(Gillies ex Hook. & Arn.)
wfo-1000078489,urn:lsid:ipni.org:names:77357244-1,Grimolobium holosericeum,(Barneby) A.N.Egan & C.H.Stirt.,Bot. J. Linn. Soc. 15 of 17. 2024 [13 Dec 2024] [epublished],Leguminosae,,Leguminosae Psoralea holosericea Barneby,(Barneby)
wfo-1000078490,urn:lsid:ipni.org:names:77357245-1,Grimolobium munyense,(J.F.Macbr.) A.N.Egan & C.H.Stirt.,Bot. J. Linn. Soc. 15 of 17. 2024 [13 Dec 2024] [epublished],Leguminosae,,Leguminosae Psoralea munyensis J.F.Macbr.,(J.F.Macbr.)
wfo-1000078491,urn:lsid:ipni.org:names:77357246-1,Grimolobium diffidens,(J.W.Grimes) A.N.Egan & C.H.Stirt.,Bot. J. Linn. Soc. 15 of 17. 2024 [13 Dec 2024] [epublished],Leguminosae,"nom. inval.    , lacking basionym ref",Leguminosae Otholobium diffidens J.W.Grimes,(J.W.Grimes)
