WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000203078,urn:lsid:ipni.org:names:77359849-1,Acacia longifolia var. floribunda,(Vent.) Benth.,Fl. Austral. 2: 398. 1864 ,Leguminosae,,Leguminosae Mimosa floribunda Vent.,(Vent.)
wfo-1000080814,urn:lsid:ipni.org:names:77359973-1,Astragalus oyunicus,Munkht. & Baasanm.,PhytoKeys 255: 61. 2025 [8 Apr 2025] [epublished],Leguminosae,,,
wfo-1000080815,urn:lsid:ipni.org:names:77359974-1,Astragalus teshigicus,Munkht. & Baasanm.,PhytoKeys 255: 64. 2025 [8 Apr 2025] [epublished],Leguminosae,,,
wfo-1000080816,urn:lsid:ipni.org:names:77359975-1,Astragalus sect. Uvsicus,"Munkht., Baasanm. & H.J.Choi",PhytoKeys 255: 64. 2025 [8 Apr 2025] [epublished],Leguminosae,,,
wfo-1000080816,urn:lsid:ipni.org:names:77359976-1,Astragalus uvsicus,"Munkht., Baasanm. & H.J.Choi",PhytoKeys 255: 66. 2025 [8 Apr 2025] [epublished],Leguminosae,,,
wfo-0001444978,urn:lsid:ipni.org:names:77360037-1,Astragalus variegatus var. koksuensis,Popov,"Trudy Sredne-Aziatsk. Gosud. Univ., Ser. 8b, Bot. 3: 38. 1928 [10 Jun 1928] ",Leguminosae,,,
wfo-1000080853,urn:lsid:ipni.org:names:77360061-1,Macroptilium rubidum,(Piper) C.L.Ribeiro,Phytotaxa 697(1): 89. 2025 [10 Apr 2025] [epublished],Leguminosae,,Fabaceae Phaseolus rubidus Piper,(Piper)
wfo-1000080909,urn:lsid:ipni.org:names:77360344-1,Apios chindiana,"K.W.Jiang, J.F.Wang, Z.H.Chen & B.Pan bis",Phytotaxa 697(3): 248. 2025 [17 Apr 2025] [epublished],Leguminosae,,,
wfo-1200112579,urn:lsid:ipni.org:names:77360568-1,Clitoria macrophylla,Wall. ex Benth.,Pl. Jungh. [Miquel] pt. 2: 232. 1852 [Aug 1852] ,Fabaceae,,,
wfo-1000080921,urn:lsid:ipni.org:names:77360573-1,Centrosema coccineum,hort. ex A.Dietr.,"Allg. Gartenzeitung 13: 50. 1845 [15 Feb 1845] , as 'coccinea'",Fabaceae,nom. illeg. nom. superfl.,,
wfo-1000080938,urn:lsid:ipni.org:names:77360602-1,Astragalus saifullahaicus,"Amjad Khan, A.Sultan & Bagheri",Phytotaxa 698(2): 103. 2025 [24 Apr 2025] [epublished],Leguminosae,,,
wfo-1200112546,urn:lsid:ipni.org:names:77360605-1,Cytisus laburnum var. coccineum,Otto,Allg. Gartenzeitung 16: 189. 1848 ,Fabaceae,,,
wfo-1200112547,urn:lsid:ipni.org:names:77360606-1,Laburnum vulgare var. adami,(Poit.) K.Koch,Dendrologie 1: 17. 1869 ,Leguminosae,,Fabaceae Cytisus × adami Poit.,(Poit.)
wfo-1000080943,urn:lsid:ipni.org:names:77360713-1,Crotalaria luteopurpurea,"Dalavi, P.Ramesh, Basavaraj, Sanjappa & S.R.Yadav",Rheedea 35(1): 14. 2025 [31 Mar 2025] [epublished],Leguminosae,,,
wfo-1000080957,urn:lsid:ipni.org:names:77360860-1,Colutea alepica,Sepp,Bloemk. Woordenb. 96. 1821 ,Leguminosae,nom. illeg. nom. superfl.,,
wfo-1200112601,urn:lsid:ipni.org:names:77360861-1,Crotalaria elegans,Sepp,Bloemk. Woordenb. 110. 1821 ,Leguminosae,nom. illeg. nom. superfl.,,
wfo-1000080962,urn:lsid:ipni.org:names:77360866-1,Gompholobium cinctum,M.T.Mathieson & C.L.Simmons,Austral. Syst. Bot. 38(1)-SB24010: 15. 2025 [20 Jan 2025] [epublished],Leguminosae,,,
wfo-1000080984,urn:lsid:ipni.org:names:77360907-1,Liparia lanceolata,Sepp,Bloemk. Woordenb. 276. 1821 ,Leguminosae,,,
wfo-1200112623,urn:lsid:ipni.org:names:77360919-1,Anthyllis henoniana,Coss. ex Batt.,Pl. Alger. Select. 34. 1858 ,Leguminosae,,,
wfo-1000079808,urn:lsid:ipni.org:names:77359613-1,Astragalus rustamovii,A.V.Pavlenko & Laktionov,Novosti Sist. Vyssh. Rast. 55: 103. 2024 [31 Dec 2024] [epublished],Leguminosae,,,
