WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000086674,urn:lsid:ipni.org:names:77372954-1,Alysicarpus littoralis,Satthaphorn & Leerat.,Thai J. Bot. 16(1): 43. 2024 ,Fabaceae,,,
wfo-0000166063,urn:lsid:ipni.org:names:77372958-1,Erythrina crista-galli var. leucochlora,Lombardo,Arb. Arbust. Paseos Public. 15. 1961 ,Leguminosae,,,
wfo-1000086698,urn:lsid:ipni.org:names:77372985-1,Astragalus cordigerus,"Knjaz., Laktionov & Murtaz.",Turczaninowia 28(3): 201. 2025 [11 Oct 2025] [epublished],Leguminosae,,,
wfo-1000086707,urn:lsid:ipni.org:names:77373000-1,Inga calimensis,Boc.-Gonz.,Taxon 74(5): 1095. 2025 [4 Jul 2025] [epublished],Mimosaceae,,,
wfo-1000086708,urn:lsid:ipni.org:names:77373001-1,Inga crassinectaria,Boc.-Gonz.,Taxon 74(5): 1096. 2025 [4 Jul 2025] [epublished],Mimosaceae,,,
wfo-1000086739,urn:lsid:ipni.org:names:77373040-1,Oxytropis birjandica,"F.Ghahrem., Maassoumi & Joharchi",Taxon. Biosyst. 18(1): 14. 2025 [Mar 2026 publ. 6 Dec 2025] [epublished],Leguminosae,,,
wfo-1000086740,urn:lsid:ipni.org:names:77373041-1,Astragalus ferdowsi-toosii,"F.Ghahrem., Joharchi & Memariani",Bot. Zhurn. (Moscow & Leningrad) 110(2): 213. 2025 [Feb 2025] ,Leguminosae,,,
wfo-1000086790,urn:lsid:ipni.org:names:77373231-1,Uraria brevissima,"(Y.C.Yang & P.H.Huang) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 958. 2025 [Aug 2025] ,Leguminosae,,Leguminosae Urariopsis brevissima Y.C.Yang & P.H.Huang,(Y.C.Yang & P.H.Huang)
wfo-1000086831,urn:lsid:ipni.org:names:77373326-1,Genista ermenekensis,A.Duran & Constantin.,Phytotaxa 733(2): 201. 2025 [11 Dec 2025] [epublished],Fabaceae,,,
wfo-0001443493,urn:lsid:ipni.org:names:77373466-1,Acacia uncinella,Desf.,"Tabl. École Bot., ed. 3 (Cat. Pl. Horti Paris.) 470. 1832 ",Mimosaceae,nom. illeg. nom. superfl.,,
wfo-1000086912,urn:lsid:ipni.org:names:77373730-1,Astragalus morrisonensis,S.S.Ying,New Taxa New Names 8: 237. 2025 [30 Nov 2025] [epublished],Leguminosae,,,
wfo-1000086985,urn:lsid:ipni.org:names:77373823-1,Collaea boliviana,"A.C.S.Oliveira, L.P.Queiroz & Snak",Phytotaxa 734(1): 90. 2025 [16 Dec 2025] [epublished],Leguminosae,,,
wfo-1000086987,urn:lsid:ipni.org:names:77373826-1,Collaea limae,"A.C.S.Oliveira, L.P.Queiroz & Snak",Phytotaxa 734(1): 91. 2025 [16 Dec 2025] [epublished],Leguminosae,,,
wfo-1000086989,urn:lsid:ipni.org:names:77373828-1,Trifolium aybarsii,M.Keskin & Sonay,Phytotaxa 734(1): 100. 2025 [16 Dec 2025] [epublished],Leguminosae,,,
wfo-1200116450,urn:lsid:ipni.org:names:77373829-1,Trifolium subsect. Aybarsii,M.Keskin,Phytotaxa 734(1): 100. 2025 [16 Dec 2025] [epublished],Leguminosae,,,
wfo-1000086996,urn:lsid:ipni.org:names:77373839-1,Trifolium strangulatum,É.Huet & A.Huet ex Lojac.,Fl. Sicul. [Lojacono] 1(2): 82. 1891 ,Leguminosae,,,
wfo-1000087044,urn:lsid:ipni.org:names:77373921-1,Collaea maxima,"A.C.S.Oliveira, L.P.Queiroz & Snak",Brazil. J. Bot. 48(1)-23: 11. 2025 [30 Jan 2025] [epublished],Leguminosae,,,
wfo-1000087045,urn:lsid:ipni.org:names:77373922-1,Collaea cardosoana,"A.C.S.Oliveira, L.P.Queiroz & Snak",Brazil. J. Bot. 48(1)-23: 13. 2025 [30 Jan 2025] [epublished],Leguminosae,,,
wfo-1000087046,urn:lsid:ipni.org:names:77373923-1,Collaea coccinea,(Vell.) A.C.S.Oliveira & H.F.Menezes,Brazil. J. Bot. 48(1)-23: 15. 2025 [30 Jan 2025] [epublished],Leguminosae,,Leguminosae Lotus coccineus Vell.,(Vell.)
wfo-1000087309,urn:lsid:ipni.org:names:77374491-1,Thylacanthus bifoliolatus,(Pellegr.) P.L.R.Moraes,Phytotaxa 735(1): 290. 2025 [23 Dec 2025] [epublished],Leguminosae,,Leguminosae Paraberlinia bifoliolata Pellegr.,(Pellegr.)
wfo-1000087310,urn:lsid:ipni.org:names:77374492-1,Thylacanthus brieyi,(De Wild.) P.L.R.Moraes,Phytotaxa 735(1): 290. 2025 [23 Dec 2025] [epublished],Leguminosae,,Leguminosae Berlinia brieyi De Wild.,(De Wild.)
wfo-1000087311,urn:lsid:ipni.org:names:77374493-1,Thylacanthus globiflorus,(Benth.) P.L.R.Moraes,Phytotaxa 735(1): 290. 2025 [23 Dec 2025] [epublished],Leguminosae,,Leguminosae Brachystegia globiflora Benth.,(Benth.)
