WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000077585,urn:lsid:ipni.org:names:77354546-1,Senna diamantinensis,A.G.Lima & Mansano,Brazil. J. Bot. 48(1)-18: 13. 2024 [31 Dec 2024] [epublished],Caesalpiniaceae,,,
wfo-1000077586,urn:lsid:ipni.org:names:77354547-1,Senna caesia,(Taub. ex Harms) A.G.Lima & Mansano,Brazil. J. Bot. 48(1)-18: 8. 2024 [31 Dec 2024] [epublished],Caesalpiniaceae,,Caesalpiniaceae Cassia caesia Taub. ex Harms,(Taub. ex Harms)
wfo-1200110252,urn:lsid:ipni.org:names:77354548-1,Senna kuhlmannii,(Hoehne) A.G.Lima & Mansano,Brazil. J. Bot. 48(1)-18: 15. 2024 [31 Dec 2024] [epublished],Caesalpiniaceae,,Caesalpiniaceae Cassia kuhlmannii Hoehne,(Hoehne)
wfo-0001319630,urn:lsid:ipni.org:names:77354664-1,Stylosanthes guianensis var. microcephala,M.B.Ferreira & Sousa Costa,Empresa de Pesquisa Agropecuaria de Minas Gerais 46. 1979 ,Fabaceae,,,
wfo-1000077595,urn:lsid:ipni.org:names:77354665-1,Stylosanthes microcephala,(M.B.Ferreira & Sousa Costa) Gissi,Brazil. J. Bot. 48(1)-10: 8. 2024 [16 Dec 2024] [epublished],Fabaceae,,Fabaceae Stylosanthes guianensis (Aubl.) Sw. var. microcephala M.B.Ferreira & Sousa Costa,(M.B.Ferreira & Sousa Costa)
wfo-1000077596,urn:lsid:ipni.org:names:77354666-1,Stylosanthes pauciflora,(M.B.Ferreira & Sousa Costa) Gissi,Brazil. J. Bot. 48(1)-10: 8. 2024 [16 Dec 2024] [epublished],Fabaceae,,Leguminosae Stylosanthes guianensis (Aubl.) Sw. var. pauciflora M.B.Ferreira & Sousa Costa,(M.B.Ferreira & Sousa Costa)
wfo-1000077597,urn:lsid:ipni.org:names:77354667-1,Stylosanthes pubescens,(Pilg.) Gissi,Brazil. J. Bot. 48(1)-10: 9. 2024 [16 Dec 2024] [epublished],Fabaceae,,Fabaceae Stylosanthes guianensis (Aubl.) Sw. var. pubescens Pilg.,(Pilg.)
wfo-1000077598,urn:lsid:ipni.org:names:77354668-1,Stylosanthes arundinella,Gissi,Brazil. J. Bot. 48(1)-10: 10. 2024 [16 Dec 2024] [epublished],Fabaceae,,,
wfo-0000178523,urn:lsid:ipni.org:names:77354781-1,Sesbania speciosa,Taub.,Pflanzenw. Ost-Afrikas Lief. 2/3(Theil C): 213. 1895 ,Fabaceae,,,
wfo-1200110173,urn:lsid:ipni.org:names:77354783-1,Zornia bracteata f. strigillosa,J.M.Kelley,Phytologia 106(4): 48. 2024 [20 Dec 2024] [epublished],Fabaceae,,,
wfo-1000077786,urn:lsid:ipni.org:names:77354875-1,Otosema subpalmata,(Dunn) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 12. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia subpalmata Dunn,(Dunn)
wfo-1000077787,urn:lsid:ipni.org:names:77354876-1,Pongamia ademae,Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,,
wfo-1000077788,urn:lsid:ipni.org:names:77354877-1,Pongamia ahernii,(Merr. & Rolfe) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia ahernii Merr. & Rolfe,(Merr. & Rolfe)
wfo-1000077791,urn:lsid:ipni.org:names:77354880-1,Pongamia borneensis,(Adema) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia borneensis Adema,(Adema)
wfo-1000077798,urn:lsid:ipni.org:names:77354887-1,Pongamia brachybotrys,(Merr.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Fordia brachybotrya Merr.,(Merr.)
wfo-1000077799,urn:lsid:ipni.org:names:77354888-1,Pongamia brachycarpa,(Merr.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia brachycarpa Merr.,(Merr.)
wfo-1000077801,urn:lsid:ipni.org:names:77354890-1,Pongamia brandisiana,(Kurz) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia brandisiana Kurz,(Kurz)
wfo-1000077802,urn:lsid:ipni.org:names:77354891-1,Pongamia calcicola,"(Mattapha, G.P.Lewis & Hawkins) Z.Q.Song",Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,"Fabaceae Millettia calcicola Mattapha, G.P.Lewis & Hawkins","(Mattapha, G.P.Lewis & Hawkins)"
wfo-1000077805,urn:lsid:ipni.org:names:77354894-1,Pongamia cauliflora,(Hemsl.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Fordia cauliflora Hemsl.,(Hemsl.)
wfo-1000078059,urn:lsid:ipni.org:names:77354895-1,Pongamia caudata,(Benth.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Otosema caudata Benth.,(Benth.)
wfo-1000077806,urn:lsid:ipni.org:names:77354896-1,Pongamia chrysamaryssa,(Adema) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia chrysamaryssa Adema,(Adema)
wfo-1000077807,urn:lsid:ipni.org:names:77354897-1,Pongamia craibii,Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,,
wfo-1000077808,urn:lsid:ipni.org:names:77354899-1,Pongamia cubittii,(Dunn) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia cubitti Dunn,(Dunn)
wfo-1000077809,urn:lsid:ipni.org:names:77354901-1,Pongamia densiflora,"(Mattapha, Lanors. & Lamxay) Z.Q.Song",Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,"Fabaceae Millettia densiflora Mattapha, Lanors. & Lamxay","(Mattapha, Lanors. & Lamxay)"
wfo-1000077810,urn:lsid:ipni.org:names:77354902-1,Pongamia diptera,(Gagnep.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia diptera Gagnep.,(Gagnep.)
wfo-1000077811,urn:lsid:ipni.org:names:77354903-1,Pongamia erythrocalyx,(Gagnep.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia erythrocalyx Gagnep.,(Gagnep.)
wfo-1000077813,urn:lsid:ipni.org:names:77354905-1,Pongamia furfuracea,(W.E.Cooper) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Ibatiria furfuracea W.E.Cooper,(W.E.Cooper)
wfo-1000078061,urn:lsid:ipni.org:names:77354906-1,Pongamia cana,(Benth.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 13. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia cana Benth.,(Benth.)
wfo-1000077814,urn:lsid:ipni.org:names:77354907-1,Pongamia glaucescens,(Kurz) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia glaucescens Kurz,(Kurz)
wfo-1000077815,urn:lsid:ipni.org:names:77354908-1,Pongamia griffithii,(Dunn) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia griffithii Dunn,(Dunn)
wfo-1000077816,urn:lsid:ipni.org:names:77354909-1,Pongamia harmandii,(Gagnep.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia harmandii Gagnep.,(Gagnep.)
wfo-1000077817,urn:lsid:ipni.org:names:77354910-1,Pongamia kangensis,(Craib) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia kangensis Craib,(Craib)
wfo-1000077818,urn:lsid:ipni.org:names:77354911-1,Pongamia lanceolata,(Ridl.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Fordia lanceolata Ridl.,(Ridl.)
wfo-1000077819,urn:lsid:ipni.org:names:77354912-1,Pongamia longipes,(Perkins) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia longipes Perkins,(Perkins)
wfo-1000077820,urn:lsid:ipni.org:names:77354913-1,Pongamia macrostachya,(Collett & Hemsl.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia macrostachya Collett & Hemsl.,(Collett & Hemsl.)
wfo-1000077821,urn:lsid:ipni.org:names:77354914-1,Pongamia merrillii,(Perkins) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia merrillii Perkins,(Perkins)
wfo-1000077822,urn:lsid:ipni.org:names:77354915-1,Pongamia multiflora,(Collett & Hemsl.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia multiflora Collett & Hemsl.,(Collett & Hemsl.)
wfo-1000077823,urn:lsid:ipni.org:names:77354916-1,Pongamia nepalensis,(R.Parker) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia nepalensis R.Parker,(R.Parker)
wfo-1000077824,urn:lsid:ipni.org:names:77354917-1,Pongamia nigrescens,(Gagnep.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Millettia nigrescens Gagnep.,(Gagnep.)
wfo-1000077825,urn:lsid:ipni.org:names:77354918-1,Pongamia ophirensis,(Ridl.) Z.Q.Song,Molec. Phylogen. Evol. 204-108254: 14. 2024 [28 Nov 2024] [epublished],Leguminosae,,Leguminosae Fordia ophirensis Ridl.,(Ridl.)
