WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0001448922,urn:lsid:ipni.org:names:77364909-1,Tessmannia martiniana var. pauloi,J.Léonard,"Mém. Cl. Sci. Acad. Roy. Sci. Belgique, (8vo) Sér. 2, 30(2): 68. 1957 [12 Apr 1957] ",Leguminosae,,,
wfo-1000083050,urn:lsid:ipni.org:names:77364920-1,Vicia liupanshanensis,Xiao W.Li & Bo Yang,PhytoKeys 259: 219. 2025 [4 Jul 2025] [epublished],Leguminosae,,,
wfo-1000083065,urn:lsid:ipni.org:names:77365039-1,Astragalus tangeh-zendanensis,Naderi & Maassoumi,Nordic J. Bot. 2025(5)-e04650: 3. [28 Feb 2025] [epublished],Leguminosae,,,
wfo-1200113910,urn:lsid:ipni.org:names:77365187-1,Vicia sativa f. ramosa,Helmer,"Selekts. Semenov. SSSR 281. 1924 , as 'Ramosum'",Leguminosae,,,
wfo-1000083142,urn:lsid:ipni.org:names:77365253-1,Adesmia ephedroides,Rosende & Lavandero,PhytoKeys 259: 305. 2025 [10 Jul 2025] [epublished],Leguminosae,,,
wfo-1000083310,urn:lsid:ipni.org:names:77365685-1,Trigonella hasanakanii,"M.Keskin, Balos & Sonay",Ann. Bot. Fenn. 62(1): 116. 2025 [15 Apr 2025] [epublished],Leguminosae,,,
wfo-1000083434,urn:lsid:ipni.org:names:77366296-1,Cytisus millennii,Borbás,Természettud. Közl. 29: 433. 1897 ,Leguminosae,,,
wfo-1200114037,urn:lsid:ipni.org:names:77366475-1,Colutea humilis,Salisb.,Prodr. Stirp. Chap. Allerton 338. 1796 [Nov-Dec 1796] ,Leguminosae,nom. illeg. nom. superfl.,,
wfo-1200114038,urn:lsid:ipni.org:names:77366476-1,Ornithopus pusillus,Salisb.,Prodr. Stirp. Chap. Allerton 340. 1796 [Nov-Dec 1796] ,Leguminosae,nom. illeg. nom. superfl.,,
wfo-1000083490,urn:lsid:ipni.org:names:77366492-1,Derris longiracemosa,Boonprajan & Sirich.,PhytoKeys 261: 22. 2025 [5 Aug 2025] [epublished],Fabaceae,,,
