WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200113060,urn:lsid:ipni.org:names:77362808-1,Astragalus bavanatensis,Zarre & Podlech,Feddes Repert. 116(1-2): 77. 2005 [11 May 2005] ,Leguminosae,,,
wfo-1000082034,urn:lsid:ipni.org:names:77362817-1,Hedysarum marashicum,T.Ertuğrul & E.Bağ,Phytotaxa 704(1): 21. 2025 [4 Jun 2025] [epublished],Leguminosae,,,
wfo-1200113486,urn:lsid:ipni.org:names:77364096-1,Acacia heterophylla subsp. koaia,(Hillebr.) Morden & Faccenda,Bishop Mus. Occas. Pap. 163: 110. 2025 [24 Jun 2025] [epublished],Fabaceae,,Leguminosae Acacia koaia Hillebr.,(Hillebr.)
wfo-1200113487,urn:lsid:ipni.org:names:77364103-1,Acacia heterophylla subsp. koa,(A.Gray) Morden & Faccenda,Bishop Mus. Occas. Pap. 163: 110. 2025 [24 Jun 2025] [epublished],Fabaceae,,Leguminosae Acacia koa A.Gray,(A.Gray)
wfo-1200113545,urn:lsid:ipni.org:names:77364106-1,Onobrychis vulgaris,Gaudin,Fl. Helv. 4: 569. 1829 [Jan-Jul 1829] ,Fabaceae,,,
,77360965-1,Bossiaea alternifolia,(F.Muell.) R.L.Barrett & P.H.Weston,Telopea 29: 181. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium alternifolium F.Muell.,(F.Muell.)
,77360964-1,Bossiaea formosa,(Sm.) R.L.Barrett & P.H.Weston,Telopea 29: 181. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium formosum Sm.,(Sm.)
,77360963-1,Bossiaea infecunda,(I.Thomps.) R.L.Barrett & P.H.Weston,Telopea 29: 182. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium infecundum I.Thomps.,(I.Thomps.)
,77360962-1,Bossiaea montana,(I.Thomps.) R.L.Barrett & P.H.Weston,Telopea 29: 182. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium montanum I.Thomps.,(I.Thomps.)
,77360966-1,Bossiaea montana subsp. prostrata,(I.Thomps.) R.L.Barrett & P.H.Weston,Telopea 29: 182. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium montanum I.Thomps. subsp. prostratum I.Thomps.,(I.Thomps.)
,77360961-1,Bossiaea obtusangula,(Hook.) R.L.Barrett & P.H.Weston,Telopea 29: 182. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium obtusangulum Hook.,(Hook.)
,77360959-1,Bossiaea reflexa,(I.Thomps.) R.L.Barrett & P.H.Weston,Telopea 29: 182. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium reflexum I.Thomps.,(I.Thomps.)
,77360958-1,Bossiaea rotunda,(I.Thomps.) R.L.Barrett & P.H.Weston,Telopea 29: 182. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium rotundum I.Thomps.,(I.Thomps.)
,77360957-1,Bossiaea triangularis,(R.Br.) R.L.Barrett & P.H.Weston,Telopea 29: 183. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium triangulare R.Br.,(R.Br.)
,77360960-1,Bossiaea parviflora,(Sm.) R.L.Barrett & P.H.Weston,Telopea 29: 182. 2025 [5 Jun 2025] [epublished],Leguminosae,,Leguminosae Platylobium parviflorum Sm.,(Sm.)
,519763-1,Swainsona ferrandii,hort.,"Rev. Hort. (Paris) lxiv: 562. 1886 , as 'ferrandi'",Leguminosae,,,
,92855-3,Swainsona ferrandii,Hort.,Ill. Gart.-Zeitung 7  1863 ,Leguminosae,orth. var.,,
,476319-1,Astragalus austriacus,Thore ex DC.,Prodr. [A. P. de Candolle] 2: 283. 1825 [mid Nov 1825] ,Leguminosae,nom. inval.    pro syn.,,
,506654-1,Meibomia incana,Hoehne,"Anexos Mem. Inst. Butantan, Secç. Bot. 1(1): 40. 1921 ",Fabaceae,,,
,501947-1,Lathyrus platyphyllus,Gouault,"Rev. Hort. (Paris) Ser. IV, iii. (1854) 321. ",Leguminosae,,,
,77350562-1,Copaifera ferrazii,E.M.Carmo,Kew Bull. 80(3): [2 of 11]. 2025 [27 Jun 2025] [epublished],Leguminosae,,,
