WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000079296,urn:lsid:ipni.org:names:77358007-1,Bauhinia angelae,"Casas-Restr., Fonseca-Cortés & L.P.Queiroz",Phytotaxa 691(3): 273. 2025 [7 Mar 2025] [epublished],Caesalpiniaceae,,,
wfo-1000079375,urn:lsid:ipni.org:names:77358241-1,Astragalus boldajiensis,"Maassoumi, Zeraatkar & Khajoei",Iran. J. Bot. 30(1): 29. 2024 [Jun 2024] ,Leguminosae,,,
wfo-1000079376,urn:lsid:ipni.org:names:77358243-1,Astragalus centro-zagrosicus,"Maassoumi, Zeraatkar & Khajoei",Iran. J. Bot. 30(1): 30. 2024 [Jun 2024] ,Leguminosae,,,
wfo-1000079389,urn:lsid:ipni.org:names:77358264-1,Astragalus kuzehrashensis,"Karbalaei, Bagheri & Maassoumi",Bot. Stud. (Taipei) 66-1: 8. 2025 [8 Jan 2025] [epublished],Leguminosae,,,
wfo-1000079415,urn:lsid:ipni.org:names:77358305-1,Lackeya grandiflora,"López-Rob., Fonseca-Cortés & L.P.Queiroz",Brazil. J. Bot. 48(1)-26: 8. 2025 [17 Feb 2025] [epublished],Leguminosae,,,
wfo-1000079416,urn:lsid:ipni.org:names:77358306-1,Lackeya paniculata,(Killip ex R.H.Maxwell) Fonseca-Cortés & L.P.Queiroz,Brazil. J. Bot. 48(1)-26: 14. 2025 [17 Feb 2025] [epublished],Leguminosae,,Fabaceae Dioclea paniculata Killip ex R.H.Maxwell,(Killip ex R.H.Maxwell)
wfo-1000079418,urn:lsid:ipni.org:names:77358308-1,Sophora elongata,S.P.Chen & W.J.Lin,J. Trop. Subtrop. Bot. 32(6): 801. 2024 [12 Dec 2024] [epublished],Fabaceae,,,
wfo-1000079624,urn:lsid:ipni.org:names:77358877-1,Lathyrus chinensis,Bosse,Allg. Gartenzeitung 5: 291. 1837 ,Fabaceae,,,
wfo-1000079665,urn:lsid:ipni.org:names:77358961-1,Tessmannia princeps,"A.Bianchi, Tomasi, Mwakisoma, M.Barbieri & Q.Luke",Phytotaxa 694(2): 110. 2025 [20 Mar 2025] [epublished],Leguminosae,,,
wfo-0000357661,urn:lsid:ipni.org:names:77359154-1,Kennedia fredwoodii,hort. ex Lebas,"Rev. Hort. (Paris) 1866: 332, plate ad 331. [Aug 1866] ",Fabaceae,,,
wfo-1000079766,urn:lsid:ipni.org:names:77359326-1,Swainsona ferraudii,Ferraud,"Ill. Gart.-Zeitung 7: 161, t. 11, fig. 3. 1863 (as 'Swainsonia Ferraudi')",Leguminosae,,,
wfo-1000079808,urn:lsid:ipni.org:names:77359613-1,Astragalus rustamovii,A.V.Pavlenko & Laktionov,Novosti Sist. Vyssh. Rast. 55: 103. 2024 [31 Dec 2024] [epublished],Leguminosae,,,
wfo-1200111971,urn:lsid:ipni.org:names:77359615-1,Alexandra,R.H.Schomb.,Gard. Chron. 43: 718. 1844 [26 Oct 1844] ,Leguminosae,nom. illeg. later homonym,,
wfo-0000180971,urn:lsid:ipni.org:names:77359616-1,Alexandra imperatricis,R.H.Schomb.,Gard. Chron. 43: 718. 1844 [26 Oct 1844] ,Leguminosae,,,
wfo-1200111978,urn:lsid:ipni.org:names:77359653-1,Cytisus supinus,M.Bieb.,Fl. Taur.-Caucas. 165. 1808 ,Leguminosae,nom. illeg. later homonym,,
wfo-1200111979,urn:lsid:ipni.org:names:77359654-1,Cytisus ruthenicus,Fisch. ex Otto,Allg. Gartenzeitung 12: 347. 1844 [20 Apr 1844] ,Fabaceae,,,
wfo-1000079834,urn:lsid:ipni.org:names:77359657-1,Calophaca wolgensis,(L.f.) Fisch. ex Otto,"Allg. Gartenzeitung 12: 349. 1844 [20 Apr 1844] , sphalm. pro C. wolgarica",Leguminosae,,Fabaceae Cytisus wolgaricus L.f.,(L.f.)
wfo-1000079900,urn:lsid:ipni.org:names:77349507-1,Indigofera annettae,M.Pignal,Adansonia 47(5): 35. 2025 [17 Mar 2025] [epublished],Leguminosae,,,
wfo-1000079901,urn:lsid:ipni.org:names:77349508-1,Indigofera badralaensis,M.Pignal,Adansonia 47(5): 37. 2025 [17 Mar 2025] [epublished],Leguminosae,,,
