WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000081438,urn:lsid:ipni.org:names:77361207-1,Ormosia neillii,J.L.Clark & J.E.Guevara,PhytoKeys 256: 23. 2025 [5 May 2025] [epublished],Fabaceae,,,
wfo-1000081453,urn:lsid:ipni.org:names:77361362-1,Psoralea acocksii,C.H.Stirt. & Muasya,Pl. Ecol. Evol. 158(2): 169. 2025 [16 May 2025] [epublished],Leguminosae,,,
wfo-0001444092,urn:lsid:ipni.org:names:77361363-1,Psoralea cephalotes,Eckl. & Zeyh.,Enum. Pl. Afric. Austral. [Ecklon & Zeyher] 2: 230. 1836 ,Leguminosae,nom. illeg. later homonym,,
wfo-1000081454,urn:lsid:ipni.org:names:77361364-1,Psoralea reticulata,C.H.Stirt. & Muasya,Pl. Ecol. Evol. 158(2): 173. 2025 [16 May 2025] [epublished],Leguminosae,,,
wfo-1000081455,urn:lsid:ipni.org:names:77361365-1,Psoralea albidula,C.H.Stirt. & Muasya,Pl. Ecol. Evol. 158(2): 174. 2025 [16 May 2025] [epublished],Leguminosae,,,
wfo-1000081456,urn:lsid:ipni.org:names:77361366-1,Psoralea lancifolia,C.H.Stirt. & Muasya,Pl. Ecol. Evol. 158(2): 176. 2025 [16 May 2025] [epublished],Leguminosae,,,
wfo-1000081457,urn:lsid:ipni.org:names:77361367-1,Psoralea psammophila,C.H.Stirt. & Muasya,Pl. Ecol. Evol. 158(2): 178. 2025 [16 May 2025] [epublished],Leguminosae,,,
wfo-1000081461,urn:lsid:ipni.org:names:77361372-1,Psoralea purpurascens,C.H.Stirt. & Muasya,Pl. Ecol. Evol. 158(2): 171. 2025 [16 May 2025] [epublished],Leguminosae,,,
wfo-0000213883,urn:lsid:ipni.org:names:77361373-1,Onobrychis petraea,(M.Bieb. ex Willd.) Fisch.,Cat. Jard. Pl. Gorenki ed. 2.: 73. 1812 ,Fabaceae,,Leguminosae Hedysarum petraeum M.Bieb. ex Willd.,(M.Bieb. ex Willd.)
wfo-1000081462,urn:lsid:ipni.org:names:77361374-1,Macrolobium tukanorum,Farroñay & D.B.O.S.Cardoso,Brittonia 77(1): 41. 2025 [10 Feb 2025] [epublished],Caesalpiniaceae,,,
