WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114928,urn:lsid:ipni.org:names:77370062-1,Oxytropis pilosa var. hungarica,Borbás,Oesterr. Bot. Z. 43: 362. 1893 [Oct 1893] ,Leguminosae,,,
wfo-1200115049,urn:lsid:ipni.org:names:77370063-1,Glycyrrhiza glabra subsp. glandulifera,(Waldst. & Kit.) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Leguminosae Glycyrrhiza glandulifera Waldst. & Kit.,(Waldst. & Kit.)
wfo-1200114957,urn:lsid:ipni.org:names:77370064-1,Vicia cracca var. transiens,Soó,Bot. Közlem. 36: 309. 1939 ,Leguminosae,,,
wfo-0001061788,urn:lsid:ipni.org:names:77370174-1,Lathyrus transsylvanicus,(Spreng.) Rchb.f.,"Icon. Fl. Germ. Helv. (H.G.L. Reichenbach) 22: t. 220, f. IV. 1886 ",Fabaceae,,Fabaceae Orobus transsylvanicus Spreng.,(Spreng.)
wfo-1200114934,urn:lsid:ipni.org:names:77370185-1,Lotus tenuis var. microphyllus,(Hausskn. ex Asch. & Graebn.) Soó,Acta Bot. Acad. Sci. Hung. 11: 251. 1965 ,Leguminosae,,Fabaceae Lotus corniculatus L. var. microphyllus Hausskn. ex Asch. & Graebn.,(Hausskn. ex Asch. & Graebn.)
wfo-1200114941,urn:lsid:ipni.org:names:77370200-1,Anthyllis macrocephala f. sanguinea,Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,,
wfo-1200114940,urn:lsid:ipni.org:names:77370201-1,Anthyllis macrocephala var. leiotricha,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Caryophyllaceae Anthyllis leiotricha Borbás,(Borbás)
wfo-1200114936,urn:lsid:ipni.org:names:77370206-1,Tetragonolobus maritimus f. salinus,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Leguminosae Tetragonolobus siliquosus Roth var. salinus Schur,(Schur)
wfo-1200115059,urn:lsid:ipni.org:names:77370207-1,Lotus pedunculatus var. villosus,(Lamotte) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Leguminosae Lotus uliginosus Schkuhr var. villosus Lamotte,(Lamotte)
wfo-1200115063,urn:lsid:ipni.org:names:77370304-1,Oxytropis pilosa subsp. hungarica,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Leguminosae Oxytropis pilosa DC. var. hungarica Borbás,(Borbás)
wfo-1200114956,urn:lsid:ipni.org:names:77370305-1,Vicia tenuifolia var. transiens,(Soó) Soó,Acta Bot. Acad. Sci. Hung. 10: 371. 1964 ,Leguminosae,,Leguminosae Vicia cracca L. var. transiens Soó,(Soó)
wfo-0000209550,urn:lsid:ipni.org:names:77370306-1,Lathyrus laevigatus subsp. transsylvanicus,(Spreng.) Soó,Acta Bot. Acad. Sci. Hung. 10: 371. 1964 ,Fabaceae,,Fabaceae Orobus transsylvanicus Spreng.,(Spreng.)
wfo-1200115208,urn:lsid:ipni.org:names:77370339-1,Lotus tenuis var. microphyllus,(Hausskn. ex Asch. & Graebn.) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Fabaceae Lotus corniculatus L. var. microphyllus Hausskn. ex Asch. & Graebn.,(Hausskn. ex Asch. & Graebn.)
wfo-1000002773,urn:lsid:ipni.org:names:77370347-1,Lathyrus laevigatus,(Waldst. & Kit.) Gren.,"Mém. Soc. Émul. Doubs sér. 3, 10: 193. 1865 ",Fabaceae,,Leguminosae Orobus laevigatus Waldst. & Kit.,(Waldst. & Kit.)
wfo-1200115207,urn:lsid:ipni.org:names:77370672-1,Mimosa bicolor,Laun.,Bon Jard. 481. 1806 ,Leguminosae,,,
wfo-1000085496,urn:lsid:ipni.org:names:77370842-1,Astragalus dalahuensis,"Avazzadeh, Bagheri & Maassoumi",Pl. Biosystems 159(5): 1255. 2025 [20 Jul 2025] [epublished],Leguminosae,,,
wfo-1000085515,urn:lsid:ipni.org:names:77370973-1,Acacia yinnetharra,Maslin & A.J.G.Wilson,Nuytsia 36: 61. 2025 [8 Jul 2025] [epublished],Mimosaceae,,,
wfo-1000085533,urn:lsid:ipni.org:names:77370992-1,Oxytropis oyunmaae,Munkht. & Baasanm.,Nordic J. Bot. 2025(10)-e04853: 3. [12 Jul 2025] [epublished],Leguminosae,,,
wfo-1000085554,urn:lsid:ipni.org:names:77371021-1,Apios brevis,K.W.Jiang & B.Pan bis,Phytotaxa 725(2): 207. 2025 [23 Oct 2025] [epublished],Fabaceae,,,
wfo-1000085676,urn:lsid:ipni.org:names:77371286-1,Aotus wuerthii,Regel,Schweiz. Z. Gartenbau 9(7): 129. 1851 [Jul 1851] ,Leguminosae,,,
wfo-1200115198,urn:lsid:ipni.org:names:77371294-1,Lupinus moritzianus,hort. ex Regel,Schweiz. Z. Gartenbau 9(9): 167. 1851 [Sep 1851] ,Leguminosae,,,
