WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000538721,urn:lsid:ipni.org:names:77368610-1,Anthyllis adriatica,Beck,Ann. K. K. Naturhist. Hofmus. 11: 62. 1896 ,Leguminosae,,,
wfo-1200114762,urn:lsid:ipni.org:names:77368627-1,Anthyllis vulneraria subsp. adriatica,(Beck) Zidorn,Phyton (Horn) 64-65: 38. 2025 [1 Sep 2025] [epublished],Leguminosae,,Leguminosae Anthyllis adriatica Beck,(Beck)
wfo-1200114763,urn:lsid:ipni.org:names:77368628-1,Anthyllis vulneraria subsp. apennina,(F.Conti & Bartolucci) Zidorn,Phyton (Horn) 64-65: 39. 2025 [1 Sep 2025] [epublished],Leguminosae,,Leguminosae Anthyllis apennina F.Conti & Bartolucci,(F.Conti & Bartolucci)
wfo-1200114764,urn:lsid:ipni.org:names:77368629-1,Anthyllis vulneraria subsp. baltica,(Juz. ex Z.V.Klochkova) Zidorn,Phyton (Horn) 64-65: 40. 2025 [1 Sep 2025] [epublished],Leguminosae,,Leguminosae Anthyllis baltica Juz. ex Z.V.Klochkova,(Juz. ex Z.V.Klochkova)
wfo-1200114862,urn:lsid:ipni.org:names:77368630-1,Anthyllis vulneraria subsp. langei,(Jalas) Zidorn,Phyton (Horn) 64-65: 42. 2025 [1 Sep 2025] [epublished],Leguminosae,,Leguminosae Anthyllis vulneraria L. var. langei Jalas,(Jalas)
wfo-1200114861,urn:lsid:ipni.org:names:77368631-1,Anthyllis vulneraria var. danica,(R.Lampinen) Zidorn,Phyton (Horn) 64-65: 43. 2025 [1 Sep 2025] [epublished],Leguminosae,,Leguminosae Anthyllis vulneraria L. subsp. danica R.Lampinen,(R.Lampinen)
wfo-1200114761,urn:lsid:ipni.org:names:77368632-1,Anthyllis vulneraria subsp. lemanniana,(Lowe) Zidorn,Phyton (Horn) 64-65: 43. 2025 [1 Sep 2025] [epublished],Leguminosae,,Leguminosae Anthyllis lemanniana Lowe,(Lowe)
wfo-1200114863,urn:lsid:ipni.org:names:77368633-1,Anthyllis vulneraria subsp. tricolor,(Vuk.) Zidorn,Phyton (Horn) 64-65: 46. 2025 [1 Sep 2025] [epublished],Leguminosae,,Leguminosae Anthyllis tricolor Vuk.,(Vuk.)
wfo-0001034312,urn:lsid:ipni.org:names:77369287-1,Cytisus leucanthus var. obscurus,Rochel,Pl. Banat. Rar. 50. 1828 ,Fabaceae,,,
wfo-0001445310,urn:lsid:ipni.org:names:77369288-1,Cytisus albus subsp. frivaldszkyanus,(Degen) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Leguminosae,,Fabaceae Cytisus frivaldszkyanus Degen,(Degen)
wfo-1000084815,urn:lsid:ipni.org:names:77369289-1,Mimosa humidicola,"L.H.P.Nogueira, A.L.B.Sartori & M.Morales",Phytotaxa 718(1): 17. 2025 [16 Sep 2025] [epublished],Mimosaceae,,,
wfo-1000084855,urn:lsid:ipni.org:names:77369308-1,Hedysarum gunerianum,Oğur,Nordic J. Bot. 2025(8)-e04699: 2. [11 Apr  2025] [epublished],Leguminosae,,,
wfo-1200001789,urn:lsid:ipni.org:names:77369310-1,Cytisus hirsutus subsp. scopolii,(Rouy) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Fabaceae,,Leguminosae Genista scopolii Rouy,(Rouy)
wfo-0001445425,urn:lsid:ipni.org:names:77369311-1,Cytisus hirsutus subsp. alpestris,(Schur) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Fabaceae,,Fabaceae Cytisus alpestris Schur,(Schur)
wfo-0001445307,urn:lsid:ipni.org:names:77369350-1,Cytisus albus subsp. obscurus,(Rochel) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Leguminosae,,Fabaceae Cytisus leucanthus Waldst. & Kit. var. obscurus Rochel,(Rochel)
wfo-1200114835,urn:lsid:ipni.org:names:77369351-1,Ononis hircina f. macrophylla,I.Grinț.,Fl. Reipubl. Popul. Roman. 5: 539. 1957 ,Leguminosae,,,
wfo-1200114836,urn:lsid:ipni.org:names:77369352-1,Ononis arvensis f. albiflora,Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,nom. inval.    Basionym not validly published,,
wfo-0000214746,urn:lsid:ipni.org:names:77369353-1,Ononis semihircina,Simonk.,Math. Term. Közlem. 16: 101. 1881 ,Leguminosae,,,
wfo-1200114837,urn:lsid:ipni.org:names:77369354-1,Ononis semihircina subsp. spinosiformis,(Simonk.) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Leguminosae Ononis spinosiformis Simonk.,(Simonk.)
wfo-1200114878,urn:lsid:ipni.org:names:77369355-1,Trifolium pratense var. sativum,Afzel.,Trans. Linn. Soc. London 1: 243. 1791 ,Leguminosae,,,
wfo-1200114880,urn:lsid:ipni.org:names:77369358-1,Trifolium pratense subsp. sativum,(Afzel.) Schübl. & G.Martens,Fl. Würtemberg 465. 1834 ,Leguminosae,,Leguminosae Trifolium pratense L. var. sativum Afzel.,(Afzel.)
wfo-4100006265,urn:lsid:ipni.org:names:77369381-1,supertrib. Fabodae,"K.W.Jiang, Z.H.Feng, Bing Liu & Su Liu",Phytotaxa 717(3): 270. 2025 [12 Sep 2025] [epublished],Fabaceae,,,
wfo-4100006263,urn:lsid:ipni.org:names:77369382-1,trib. Schefflerodendreae,"K.W.Jiang, Z.H.Feng, Bing Liu & Su Liu","Phytotaxa 717(3): 272. 2025 [12 Sep 2025] , as 'Schefflerodreae '",Fabaceae,,,
wfo-4100006264,urn:lsid:ipni.org:names:77369383-1,subtrib. Fabinae,"K.W.Jiang, Z.H.Feng, Bing Liu & Su Liu",Phytotaxa 717(3): 274. 2025 [12 Sep 2025] [epublished],Fabaceae,,,
wfo-1200114840,urn:lsid:ipni.org:names:77369384-1,Lens culinaris subsp. lamottei,(Czefr.) Su Liu & K.W.Jiang,Phytotaxa 717(3): 275. 2025 [12 Sep 2025] [epublished],Fabaceae,,Leguminosae Lens lamottei Czefr.,(Czefr.)
wfo-1000084886,urn:lsid:ipni.org:names:77369495-1,Cerradicola miottoae,Iganci & Bordignon,Phytotaxa 718(2): 154. 2025 [18 Sep 2025] [epublished],Leguminosae,,,
wfo-1200114844,urn:lsid:ipni.org:names:77369497-1,Ononis arvensis f. macrophylla,(I.Grinț.) Soó,Acta Bot. Acad. Sci. Hung. 10: 370. 1964 ,Leguminosae,,Leguminosae Ononis hircina Jacq. f. macrophylla I.Grinț.,(I.Grinț.)
wfo-1200114843,urn:lsid:ipni.org:names:77369498-1,Trifolium pannonicum var. acutifolium,Schur,Enum. Pl. Transsilv. 155. 1866 ,Leguminosae,,,
wfo-1000085125,urn:lsid:ipni.org:names:77369502-1,Ononis spinosiformis,Simonk.,Természetrajzi Füz. 1(2): 103. 1877 [post ? Jun 1877 ,Fabaceae,isonym,,
wfo-0000183414,urn:lsid:ipni.org:names:77369606-1,Anthyllis polyphylla,(DC.) G.Don,Gen. Hist. 2: 166. 1832 ,Leguminosae,,Fabaceae Anthyllis vulneraria L. var. polyphylla DC.,(DC.)
wfo-1200114845,urn:lsid:ipni.org:names:77369611-1,Anthyllis polyphylla var. aequiloba,Sagorski,Allg. Bot. Z. Syst. 14: 126. 1908 ,Leguminosae,,,
wfo-1000084892,urn:lsid:ipni.org:names:77369615-1,Phaseolus punctatus,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 119. 1852 [1853 publ. 1852?] ,Fabaceae,,,
wfo-1000084896,urn:lsid:ipni.org:names:77369619-1,Phaseolus coeruleus,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 119. 1852 [1853 publ. 1852?] ,Fabaceae,,,
wfo-1000085092,urn:lsid:ipni.org:names:77369620-1,Phaseolus pictus,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 119. 1852 [1853 publ. 1852?] ,Fabaceae,,,
wfo-1000084897,urn:lsid:ipni.org:names:77369621-1,Phaseolus myodes,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 119. 1852 [1853 publ. 1852?] ,Fabaceae,,,
wfo-1000084898,urn:lsid:ipni.org:names:77369622-1,Phaseolus grandispermus,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 119. 1852 [1853 publ. 1852?] ,Fabaceae,,,
wfo-1000084899,urn:lsid:ipni.org:names:77369623-1,Phaseolus philadelphus,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 119. 1852 [1853 publ. 1852?] ,Fabaceae,,,
wfo-1000084900,urn:lsid:ipni.org:names:77369624-1,Phaseolus ornithopus,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 120. 1852 [1853 publ. 1852?] ,Fabaceae,,,
wfo-1000084901,urn:lsid:ipni.org:names:77369625-1,Phaseolus butiraceus,C.Krüger,Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 21: 120. 1852 [1853 publ. 1852?] ,Fabaceae,,,
