WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000083565,urn:lsid:ipni.org:names:77366794-1,Callianthe ecornis,(Vell.) V.N.Yoshik. & J.F.B.Pastore,Brittonia 77(2): 227. 2025 [20 Feb 2025] [epublished],,Malvaceae Sida ecornis Vell.,(Vell.)
wfo-1000083566,urn:lsid:ipni.org:names:77366795-1,Callianthe lineata,(Vell.) T.S.Cout. & J.F.B.Pastore,Brittonia 77(2): 228. 2025 [20 Feb 2025] [epublished],,Malvaceae Sida lineata Vell.,(Vell.)
wfo-1000083567,urn:lsid:ipni.org:names:77366796-1,Callianthe megalantha,(Steud.) V.N.Yoshik. & J.F.B.Pastore,Brittonia 77(2): 228. 2025 [20 Feb 2025] [epublished],,Malvaceae Sida megalantha Steud.,(Steud.)
wfo-1000083568,urn:lsid:ipni.org:names:77366797-1,Callianthe mendanha,(Vell.) T.S.Cout. & J.F.B.Pastore,Brittonia 77(2): 228. 2025 [20 Feb 2025] [epublished],,Malvaceae Sida mendanha Vell.,(Vell.)
wfo-1000083569,urn:lsid:ipni.org:names:77366798-1,Callianthe trifora,(Vell.) V.N.Yoshik. & J.F.B.Pastore,Brittonia 77(2): 229. 2025 [20 Feb 2025] [epublished],,Malvaceae Sida triflora Vell.,(Vell.)
wfo-1000083570,urn:lsid:ipni.org:names:77366799-1,Peltaea arvensis,(Vell.) Colli-Silva & J.F.B.Pastore,Brittonia 77(2): 238. 2025 [20 Feb 2025] [epublished],,Malvaceae Hibiscus arvensis Vell.,(Vell.)
wfo-4100005967,urn:lsid:ipni.org:names:77367205-1,subfam. Durionoideae,R.G.Zhang,Nature Comm. 16-7480: S4. 2025 [12 Aug 2025] [epublished],,,
wfo-4100006084,urn:lsid:ipni.org:names:77367387-1,trib. Heritiereae,Z.H.Feng,Plant 13(3): 150. 2025 [13 Aug 2025] [epublished],,,
wfo-1000083696,urn:lsid:ipni.org:names:77367595-1,Sida brachyclada,G.C.Guerra,Phytotaxa 715(1): 62. 2025 [15 Aug 2025] [epublished],,,
wfo-1200114171,urn:lsid:ipni.org:names:77367961-1,Althaea biennis var. fissipetala,Borbás,Balaton Tavának Növényföldr. 401. 1900 ,,,
wfo-1200114350,urn:lsid:ipni.org:names:77368278-1,Hibiscus fugax,Mart.,"Verh. Vereins Beford. Gartenbaues Konigl. Preuss. Staaten 3: 102, t. 8. 1827 ",,,
wfo-1200114218,urn:lsid:ipni.org:names:77368307-1,Althaea pallida f. fissipetala,(Borbás) Soó,Acta Bot. Acad. Sci. Hung. 11: 246. 1965 ,,Malvaceae Althaea biennis Borbás var. fissipetala Borbás,(Borbás)
wfo-1000083959,urn:lsid:ipni.org:names:77361730-1,Nototriche ancashensis,Mazzei,Phytotaxa 712(3): 231. 2025 [1 Aug 2025] [epublished],,,
wfo-1000083960,urn:lsid:ipni.org:names:77361731-1,Nototriche bicentenaria,Mazzei & A.Cano,Phytotaxa 712(3): 236. 2025 [1 Aug 2025] [epublished],,,
wfo-1000083961,urn:lsid:ipni.org:names:77361732-1,Nototriche chambii,Mazzei & P.Gonzáles,Phytotaxa 712(3): 241. 2025 [1 Aug 2025] [epublished],,,
wfo-1000083962,urn:lsid:ipni.org:names:77361733-1,Nototriche heroica,Mazzei,Phytotaxa 712(3): 244. 2025 [1 Aug 2025] [epublished],,,
wfo-1000083963,urn:lsid:ipni.org:names:77361734-1,Nototriche latorreae,Mazzei & Montesin.,Phytotaxa 712(3): 248. 2025 [1 Aug 2025] [epublished],,,
