WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000082036,urn:lsid:ipni.org:names:77362820-1,Sida antonioi,R.P.Camargo & M.C.Duarte,Phytotaxa 704(1): 61. 2025 [4 Jun 2025] [epublished],,,
wfo-1200113382,urn:lsid:ipni.org:names:77362827-1,Sabdariffa brackenridgei subsp. mokuleiana,(M.J.Roe) M.M.Hanes & R.L.Barrett,Austral. Syst. Bot. 38-SB24013: 33. 2025 [21 May 2025] [epublished],,Malvaceae Hibiscus brackenridgei A.Gray var. mokuleianus M.J.Roe,(M.J.Roe)
wfo-1200113496,urn:lsid:ipni.org:names:77362829-1,Hibiscus brackenridgei var. molokaianus,Rock ex Caum,Occas. Pap. Bernice Pauahi Bishop Mus. 9(5): 4. 1930 [Sep 1930] ,,,
wfo-1200113383,urn:lsid:ipni.org:names:77362830-1,Sabdariffa brackenridgei subsp. molokaiana,(Rock ex Caum) M.M.Hanes & R.L.Barrett,Austral. Syst. Bot. 38-SB24013: 33. 2025 [21 May 2025] [epublished],,Malvaceae Hibiscus brackenridgei A.Gray var. molokaianus Rock ex Caum,(Rock ex Caum)
wfo-1000082038,urn:lsid:ipni.org:names:77362831-1,Sabdariffa furcellata,(Lam.) M.M.Hanes & R.L.Barrett,Austral. Syst. Bot. 38-SB24013: 47. 2025 [21 May 2025] [epublished],,Malvaceae Hibiscus furcellatus Lam.,(Lam.)
wfo-1000082039,urn:lsid:ipni.org:names:77362832-1,Sabdariffa goossensii,(Hauman) Mwachala & R.L.Barrett,Austral. Syst. Bot. 38-SB24013: 50. 2025 [21 May 2025] [epublished],,Malvaceae Hibiscus rostellatus Guill. & Perr. var. goossensii Hauman,(Hauman)
wfo-1200113384,urn:lsid:ipni.org:names:77362834-1,Sabdariffa maculata subsp. nipensis,(Carabia) M.M.Hanes & R.L.Barrett,Austral. Syst. Bot. 38-SB24013: 60. 2025 [21 May 2025] [epublished],,Malvaceae Hibiscus nipensis Carabia,(Carabia)
wfo-1000082060,urn:lsid:ipni.org:names:77362968-1,Malvaviscus sangeetae,R.Kr.Singh,J. Biodivers. Conservation 9(2): 129. 2025 [5 Jun 2025] [epublished],,,
wfo-1000082087,urn:lsid:ipni.org:names:77363142-1,Sida ellipticifolia,Baracho & Agra,Phytotaxa 704(3): 285. 2025 [10 Jun 2025] [epublished],,,
wfo-1000082161,urn:lsid:ipni.org:names:77363234-1,Sabdariffa partita,(Hochr.) M.M.Hanes & R.L.Barrett,Austral. Syst. Bot. 38-SB24013: 68. 2025 [21 May 2025] [epublished],,Malvaceae Hibiscus diversifolius Jacq. var. partitus Hochr.,(Hochr.)
wfo-1000082445,urn:lsid:ipni.org:names:77364119-1,Hibiscus igneus,Mashburn,Ann. Missouri Bot. Gard. 110(1): 245. 2025 [18 Jun 2025] [epublished],,,
