WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100003668,urn:lsid:ipni.org:names:77364876-1,trib. Astronieae,Triana,Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 ,,,
wfo-4100003673,urn:lsid:ipni.org:names:77364878-1,trib. Merianieae,Triana,Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 ,,,
wfo-4100003669,urn:lsid:ipni.org:names:77364879-1,trib. Bertolonieae,Triana,"Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 , as 'Bertoloniceae'",,,
wfo-4100003670,urn:lsid:ipni.org:names:77364880-1,trib. Cyphostyleae,Gleason,Bull. Torrey Bot. Club 56(2): 98. 1929 [Feb 1929] ,,,
wfo-4100003677,urn:lsid:ipni.org:names:77364881-1,trib. Pyramieae,Naudin,"Ann. Sci. Nat., Bot. sér. 3, 15: 58. 1851 , as 'Pyramiales'",,,
wfo-4100001879,urn:lsid:ipni.org:names:77364882-1,trib. Dissochaeteae,Triana,Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 ,,,
wfo-4100003675,urn:lsid:ipni.org:names:77364883-1,trib. Rhexieae,DC.,Prodr. [A. P. de Candolle] 3: 114. 1828 [Mar 1828] ,,,
wfo-4100003678,urn:lsid:ipni.org:names:77364885-1,trib. Feliciadamieae,Jacq.-Fél. ex Penneys,Syst. Evol. Ecol. Melastom. 151. 2022 [21 Jul 2022] ,,,
wfo-1000083387,urn:lsid:ipni.org:names:77366064-1,Allomaieta isauroi,J.S.Murillo,Phytotaxa 711(1): 82. 2025 [22 Jul 2025] [epublished],,,
wfo-4100005948,urn:lsid:ipni.org:names:77366066-1,Allodissotis,Ver.-Lib. & Burgt,Taxon 12: [12 of 17]. 2025 [26 Apr 2025] [epublished],,,
wfo-1000083389,urn:lsid:ipni.org:names:77366067-1,Allodissotis splendens,(A.Chev. & Jacq.-Fél.) Ver.-Lib. & Burgt,Taxon 12: [12 of 17]. 2025 [26 Apr 2025] [epublished],,Melastomataceae Dissotis splendens A.Chev. & Jacq.-Fél.,(A.Chev. & Jacq.-Fél.)
wfo-4100005949,urn:lsid:ipni.org:names:77366068-1,Paleodissotis,(Jacq.-Fél.) Ver.-Lib. & Burgt,Taxon 12: [12 of 17]. 2025 [26 Apr 2025] [epublished],,Melastomataceae Dissotis subgen. Paleodissotis Jacq.-Fél.,(Jacq.-Fél.)
wfo-1000083390,urn:lsid:ipni.org:names:77366069-1,Paleodissotis leonensis,(Hutch. & Dalziel) Ver.-Lib. & Burgt,Taxon 12: [12 of 17]. 2025 [26 Apr 2025] [epublished],,Melastomataceae Dissotis leonensis Hutch. & Dalziel,(Hutch. & Dalziel)
