WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000086590,urn:lsid:ipni.org:names:77372743-1,Eucalyptus neoeremophila,D.Nicolle & M.E.French,Eucalypts W. Austral. Goldfields 44. 2025 [28 Nov 2025] ,,,
wfo-1000086591,urn:lsid:ipni.org:names:77372744-1,Eucalyptus pertenuis,D.Nicolle & M.E.French,Eucalypts W. Austral. Goldfields 142. 2025 [28 Nov 2025] ,,,
wfo-1000086592,urn:lsid:ipni.org:names:77372745-1,Eucalyptus planicola,D.Nicolle & M.E.French,Eucalypts W. Austral. Goldfields 172. 2025 [28 Nov 2025] ,,,
wfo-1200116310,urn:lsid:ipni.org:names:77372746-1,Eucalyptus oldfieldii subsp. pauper,D.Nicolle & M.E.French,Eucalypts W. Austral. Goldfields 310. 2025 [28 Nov 2025] ,,,
wfo-1200116311,urn:lsid:ipni.org:names:77372747-1,Eucalyptus tenuis subsp. distuberosa,(D.Nicolle) D.Nicolle & M.E.French,Eucalypts W. Austral. Goldfields 146. 2025 [28 Nov 2025] ,,Myrtaceae Eucalyptus distuberosa D.Nicolle,(D.Nicolle)
wfo-1200116312,urn:lsid:ipni.org:names:77372748-1,Eucalyptus tenuis subsp. aerata,(D.Nicolle) D.Nicolle & M.E.French,Eucalypts W. Austral. Goldfields 148. 2025 [28 Nov 2025] ,,Myrtaceae Eucalyptus distuberosa D.Nicolle subsp. aerata D.Nicolle,(D.Nicolle)
wfo-1200116313,urn:lsid:ipni.org:names:77372749-1,Eucalyptus capillosa subsp. nigrifunda,(Brooker & Hopper) D.Nicolle & M.E.French,Eucalypts W. Austral. Goldfields 96. 2025 [28 Nov 2025] ,,Myrtaceae Eucalyptus nigrifunda Brooker & Hopper,(Brooker & Hopper)
wfo-1000086955,urn:lsid:ipni.org:names:77373784-1,Psidium guedesiae,Stadnik & Landrum,Phytotaxa 734(1): 2. 2025 [16 Dec 2025] [epublished],,,
wfo-1200116372,urn:lsid:ipni.org:names:77374206-1,Psidium salutare var. cuspidatum,(O.Berg) Landrum,Canotia 21: 153. 2025 [20 Dec 2025] ,,Myrtaceae Myrtus cuspidata O.Berg,(O.Berg)
wfo-1200116373,urn:lsid:ipni.org:names:77374207-1,Psidium salutare var. resiliens,Landrum,Canotia 21: 156. 2025 [20 Dec 2025] ,,,
wfo-1000087187,urn:lsid:ipni.org:names:77374221-1,Myrcia barbata,A.Maruy. & Gaem,Phytotaxa 736(1): 60. 2025 [24 Dec 2025] [epublished],,,
