WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000082037,urn:lsid:ipni.org:names:77362828-1,Eugenia karstica,E.H.P.Barretto & Sobral,Phytotaxa 704(1): 91. 2025 [4 Jun 2025] [epublished],,,
wfo-4100004950,urn:lsid:ipni.org:names:77362997-1,subfam. Heteropyxidoideae,Reveal,"Phytoneuron 2012-33: 2. [9 Apr 2012] , as 'Heterophyxidoideae' [epublished]",,,
wfo-4100004959,urn:lsid:ipni.org:names:77362998-1,trib. Heteropyxideae,Harv.,Gen. S. Afr. Pl. ed. 2: 116. 1868 [Oct 1868] ,,,
wfo-4100004951,urn:lsid:ipni.org:names:77363134-1,trib. Melaleuceae,Burnett,Outlines Bot. (Burnett) 712. 1835 ,,,
wfo-4100004918,urn:lsid:ipni.org:names:77363135-1,trib. Myrteae,DC.,Linnaea 2: 504. 1827 ,,,
wfo-4100004952,urn:lsid:ipni.org:names:77363136-1,trib. Leptospermeae,DC.,Linnaea 2: 504. 1827 ,,,
wfo-4100004949,urn:lsid:ipni.org:names:77363137-1,trib. Chamelaucieae,DC.,Linnaea 2: 504. 1827 ,,,
wfo-1000082172,urn:lsid:ipni.org:names:77363260-1,Houttuynia neriifolia,(Sims) Sepp,Bloemk. Woordenb. 232. 1821 ,,Myrtaceae Melaleuca neriifolia Sims,(Sims)
wfo-4100004919,urn:lsid:ipni.org:names:77364649-1,subtrib. Eugeniinae,O.Berg,"Linnaea 27: 4. 1855 [Nov 1855] , as 'Eugenioideae'",,,
wfo-4100004955,urn:lsid:ipni.org:names:77364652-1,subtrib. Myrciinae,O.Berg,"Linnaea 27: 4. 1855 [Nov 1855] , as 'Myrcioideae'",,,
wfo-4100004956,urn:lsid:ipni.org:names:77364667-1,subtrib. Myrtinae,Nied.,"Nat. Pflanzenfam. [Engler & Prantl] 3(7): 62, 64. 1893 [Apr 1893] ",,,
wfo-1200113490,urn:lsid:ipni.org:names:77364683-1,Eugenia uruguayensis var. opaca,(O.Berg) D.Legrand,Bol. Fac. Agron. Univ. Montevideo 101: 45. 1968 [Jun 1968] ,,Myrtaceae Eugenia opaca O.Berg,(O.Berg)
,77360571-1,Eugenia venteri,Y.W.Low & E.Lucas,Kew Bull. 80(3): [3 of 11]. 2025 [24 Jun 2025] [epublished],,,
