WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000086266,urn:lsid:ipni.org:names:77372130-1,Eugenia pseudoomissa,M.A.D.Souza & Sobral,Phytotaxa 730(1): 29. 2025 [18 Nov 2025] [epublished],,,
wfo-1000086269,urn:lsid:ipni.org:names:77372137-1,Myrcia acreana,Sobral & M.A.D.Souza,Phytotaxa 730(1): 31. 2025 [18 Nov 2025] [epublished],,,
wfo-1000086270,urn:lsid:ipni.org:names:77372140-1,Myrcia aripuanana,M.A.D.Souza & Sobral,Phytotaxa 730(1): 33. 2025 [18 Nov 2025] [epublished],,,
wfo-1000086271,urn:lsid:ipni.org:names:77372142-1,Myrcia viaria,Sobral & M.A.D.Souza,Phytotaxa 730(1): 35. 2025 [18 Nov 2025] [epublished],,,
wfo-1000086272,urn:lsid:ipni.org:names:77372144-1,Plinia acreana,M.A.D.Souza & Sobral,Phytotaxa 730(1): 35. 2025 [18 Nov 2025] [epublished],,,
wfo-1000086273,urn:lsid:ipni.org:names:77372145-1,Plinia amazonica,"Sobral, M.A.D.Souza & D.K.D.Caldas",Phytotaxa 730(1): 35. 2025 [18 Nov 2025] [epublished],,,
wfo-1000086274,urn:lsid:ipni.org:names:77372146-1,Plinia impressa,M.A.D.Souza & Sobral,Phytotaxa 730(1): 39. 2025 [18 Nov 2025] [epublished],,,
wfo-1000086290,urn:lsid:ipni.org:names:77372118-1,Rhodamnia zombi,"I.J.Paxton, Fensham & Guymer",Austrobaileya 15: 44. 2025 [1 Oct 2025] [epublished],,,
wfo-1000086361,urn:lsid:ipni.org:names:77372498-1,Syzygium nebulosum,L.Weber,Austrobaileya 15: 5. 2025 [25 Mar 2025] [epublished],,,
wfo-1200113490,urn:lsid:ipni.org:names:77364683-1,Eugenia uruguayensis var. opaca,(O.Berg) D.Legrand,Bol. Fac. Agron. Univ. Montevideo 101: 45. 1968 [Jun 1968] ,,Myrtaceae Eugenia opaca O.Berg,(O.Berg)
