WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200113168,urn:lsid:ipni.org:names:77361867-1,Campylospermum dependens,(DC.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 11. 1940 [May 1940] ",,Ochnaceae Gomphia dependens DC.,(DC.)
wfo-0000741287,urn:lsid:ipni.org:names:77361868-1,Campylospermum dependens var. integrifolium,(Aug.DC.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 11. 1940 [May 1940] ",,Ochnaceae Ouratea integrifolia Aug.DC.,(Aug.DC.)
wfo-0000741281,urn:lsid:ipni.org:names:77361869-1,Campylospermum dependens var. amplexicaule,(O.Hoffm.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 11. 1940 [May 1940] ",,Ochnaceae Gomphia amplexicaulis O.Hoffm.,(O.Hoffm.)
wfo-0000741283,urn:lsid:ipni.org:names:77361870-1,Campylospermum dependens var. auriculatum,(Tiegh.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 11. 1940 [May 1940] ",,Ochnaceae Cercanthemum auriculatum Tiegh.,(Tiegh.)
wfo-0000741284,urn:lsid:ipni.org:names:77361871-1,Campylospermum dependens var. hoffmannii,(Tiegh.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 11. 1940 [May 1940] , as 'Hoffmanni'",,Ochnaceae Cercanthemum hoffmannii Tiegh.,(Tiegh.)
wfo-0000741286,urn:lsid:ipni.org:names:77361872-1,Campylospermum dependens var. humblotii,(Baill.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 12. 1940 [May 1940] , as 'humbloti'",,Ochnaceae Ouratea humblotii Baill.,(Baill.)
wfo-0000741291,urn:lsid:ipni.org:names:77361873-1,Campylospermum lanceolatum var. reflexum,(Tiegh.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 12. 1940 [May 1940] ",,Ochnaceae Cercanthemum reflexum Tiegh.,(Tiegh.)
wfo-0000741280,urn:lsid:ipni.org:names:77361874-1,Campylospermum anceps var. perrieri,(F.Gérard) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 13. 1940 [May 1940] ",,Ochnaceae Ouratea perrieri F.Gérard,(F.Gérard)
wfo-0000741298,urn:lsid:ipni.org:names:77361876-1,Campylospermum obtusifolium var. perseifolium,(Baker) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 14. 1940 [May 1940] , as 'perseaefolium'",,Ochnaceae Gomphia perseifolia Baker,(Baker)
wfo-0000741294,urn:lsid:ipni.org:names:77361877-1,Campylospermum obtusifolium var. angulatum,(DC.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 14. 1940 [May 1940] ",,Ochnaceae Gomphia angulata DC.,(DC.)
wfo-0000741295,urn:lsid:ipni.org:names:77361878-1,Campylospermum obtusifolium var. breonii,(Tiegh.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 14. 1940 [May 1940] , as 'breoni'",,Ochnaceae Campylospermum breonii Tiegh.,(Tiegh.)
wfo-0000741297,urn:lsid:ipni.org:names:77361879-1,Campylospermum obtusifolium var. luteum,(F.Gérard) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 15. 1940 [May 1940] ",,Ochnaceae Ouratea lutea F.Gérard,(F.Gérard)
wfo-0001087059,urn:lsid:ipni.org:names:77361880-1,Ochnella madagascariensis var. humblotiana,(Baill.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 15. 1940 [May 1940] ",,Ochnaceae Ochna humblotiana Baill.,(Baill.)
wfo-1200113109,urn:lsid:ipni.org:names:77361883-1,Diporidium vaccinioides var. serratifolium,(Baker) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 16. 1940 [May 1940] ",,Ochnaceae Ochna serratifolia Baker,(Baker)
wfo-1200113239,urn:lsid:ipni.org:names:606027-1,Diporidium emarginatum,(Tiegh.) H.Perrier,"Cat. Pl. Madag., Theac., Ochn. 17. 1940 [May 1940] ",isonym,Ochnaceae Polythecium emarginatum Tiegh.,(Tiegh.)
