WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0001426752,urn:lsid:ipni.org:names:77371670-1,Campylospermum engleri,(Tiegh.) Biss. & I.M.Turner,Candollea 80(2): 154. 2025 [24 Sep 2025] [epublished],,Ochnaceae Monelasmum engleri Tiegh.,(Tiegh.)
wfo-1000078664,urn:lsid:ipni.org:names:77357573-1,Planchonella bakhuizenii,(P.Royen) Swenson,Taxon 74(3): 634. 2025 [28 Feb 2025] [epublished],,Sapotaceae Chrysophyllum bakhuizenii P.Royen,(P.Royen)
wfo-1000086106,urn:lsid:ipni.org:names:77371671-1,Philomeda elongata,(Oliv.) Biss. & I.M.Turner,Candollea 80(2): 161. 2025 [24 Sep 2025] [epublished],,Ochnaceae Gomphia elongata Oliv.,(Oliv.)
wfo-1000086107,urn:lsid:ipni.org:names:77371672-1,Philomeda lutambensis,(Sleumer) Biss. & I.M.Turner,Candollea 80(2): 161. 2025 [24 Sep 2025] [epublished],,Ochnaceae Ouratea lutambensis Sleumer,(Sleumer)
wfo-1000086108,urn:lsid:ipni.org:names:77371673-1,Philomeda sacleuxii,(Tiegh.) Biss. & I.M.Turner,Candollea 80(2): 161. 2025 [24 Sep 2025] [epublished],,Ochnaceae Cercanthemum sacleuxii Tiegh.,(Tiegh.)
wfo-1000086109,urn:lsid:ipni.org:names:77371674-1,Philomeda scheffleri,(Engl. & Gilg) Biss. & I.M.Turner,Candollea 80(2): 162. 2025 [24 Sep 2025] [epublished],,Ochnaceae Ouratea scheffleri Engl. & Gilg,(Engl. & Gilg)
wfo-1000086110,urn:lsid:ipni.org:names:77371676-1,Philomeda angulata,(DC.) Biss. & I.M.Turner,Candollea 80(2): 162. 2025 [24 Sep 2025] [epublished],,Ochnaceae Gomphia angulata DC.,(DC.)
wfo-1000086111,urn:lsid:ipni.org:names:77371675-1,Philomeda anceps,(Baker) Biss. & I.M.Turner,Candollea 80(2): 162. 2025 [24 Sep 2025] [epublished],,Ochnaceae Gomphia anceps Baker,(Baker)
wfo-1000086112,urn:lsid:ipni.org:names:77371678-1,Philomeda bakeriana,(Kuntze) Biss. & I.M.Turner,Candollea 80(2): 162. 2025 [24 Sep 2025] [epublished],,Ochnaceae Ochna bakeriana Kuntze,(Kuntze)
wfo-1000086113,urn:lsid:ipni.org:names:77371679-1,Philomeda deltoidea,(Baker) Biss. & I.M.Turner,Candollea 80(2): 163. 2025 [24 Sep 2025] [epublished],,Ochnaceae Gomphia deltoidea Baker,(Baker)
wfo-1000086114,urn:lsid:ipni.org:names:77371680-1,Philomeda dependens,(DC.) Biss. & I.M.Turner,Candollea 80(2): 163. 2025 [24 Sep 2025] [epublished],,Ochnaceae Gomphia dependens DC.,(DC.)
wfo-1000086115,urn:lsid:ipni.org:names:77371681-1,Philomeda humblotii,(Baill.) Biss. & I.M.Turner,Candollea 80(2): 163. 2025 [24 Sep 2025] [epublished],,Ochnaceae Ouratea humblotii Baill.,(Baill.)
wfo-1000086116,urn:lsid:ipni.org:names:77371682-1,Philomeda obtusifolia,(Lam.) Biss. & I.M.Turner,Candollea 80(2): 164. 2025 [24 Sep 2025] [epublished],,Ochnaceae Ochna obtusifolia Lam.,(Lam.)
wfo-1000086118,urn:lsid:ipni.org:names:77371683-1,Philomeda perseifolia,(Baker) Biss. & I.M.Turner,Candollea 80(2): 164. 2025 [24 Sep 2025] [epublished],,Ochnaceae Gomphia perseifolia Baker,(Baker)
wfo-1000086334,urn:lsid:ipni.org:names:77365057-1,Planchonella foveata,K.Do & Swenson,Kew Bull. 80(4): [3 of 9]. 2025 [19 Nov 2025] [epublished],,,
