WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200112500,urn:lsid:ipni.org:names:77359680-1,Sitobolium zeylanicum var. glabrescens,(Ching) Y.H.Chang & P.Fong Lu,Fern Gaz. 22(4): 186. 2024 [24 Dec 2024] ,Dennstaedtiaceae,,Dennstaedtiaceae Dennstaedtia glabrescens Ching,(Ching)
wfo-1200107319,urn:lsid:ipni.org:names:77359681-1,Grypothrix pseudoliukiuensis,(Seriz.) Y.H.Chang & P.Fong Lu,Fern Gaz. 22(4): 188. 2024 [24 Dec 2024] ,Thelypteridaceae,,Thelypteridaceae Thelypteris × pseudoliukiuensis Seriz.,(Seriz.)
wfo-1200112511,urn:lsid:ipni.org:names:77359707-1,Gleichenia dichotoma var. tomentosa,Luerss.,Flora 58: 419. 1875 ,Gleicheniaceae,,,
wfo-1200112512,urn:lsid:ipni.org:names:77359709-1,Dicranopteris linearis var. tomentosa,(Luerss.) Miles K.Thomas,Amer. Fern J. 115(1): 89. 2025 [4 Mar 2025] [epublished],Gleicheniaceae,,Gleicheniaceae Gleichenia dichotoma (Willd.) Hook. var. tomentosa Luerss.,(Luerss.)
wfo-4100005196,urn:lsid:ipni.org:names:77359710-1,Ynesmexia,Fauskee & Windham,Taxon 74(x): [14 of 19]. 2025 [2 Apr 2025] [epublished],Pteridaceae,,,
wfo-1000080792,urn:lsid:ipni.org:names:77359712-1,Mucura dissecta,(Desv.) N.T.L.Pena & Schwartsb.,Amer. Fern J. 115(1): 35. 2025 [4 Mar 2025] [epublished],Dennstaedtiaceae,,Dicksoniaceae Dicksonia apiifolia  var. dissecta Desv.,(Desv.)
wfo-1000080793,urn:lsid:ipni.org:names:77359713-1,Mucura tamandarei,(Rosenst.) N.T.L.Pena & Schwartsb.,Amer. Fern J. 115(1): 37. 2025 [4 Mar 2025] [epublished],Dennstaedtiaceae,,Dennstaedtiaceae Dennstaedtia tamandarei Rosenst.,(Rosenst.)
wfo-1000080794,urn:lsid:ipni.org:names:77359714-1,Mucura tenera,(C.Presl) N.T.L.Pena & Schwartsb.,Amer. Fern J. 115(1): 38. 2025 [4 Mar 2025] [epublished],Dennstaedtiaceae,,Dicksoniaceae Dicksonia tenera C.Presl,(C.Presl)
wfo-1000080795,urn:lsid:ipni.org:names:77359716-1,Ynesmexia fournieri,(Baker) Fauskee & Windham,Taxon 74(x): [15 of 19]. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea fournieri Baker,(Baker)
wfo-1000080796,urn:lsid:ipni.org:names:77359717-1,Ynesmexia × gryphus,(Mickel) Fauskee & Windham,Taxon 74(x): [15 of 19]. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Cheilanthes × gryphus Mickel,(Mickel)
wfo-1000080797,urn:lsid:ipni.org:names:77359718-1,Ynesmexia seemannii,(Hook.) Fauskee & Windham,Taxon 74(x): [15 of 19]. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea seemannii Hook.,(Hook.)
wfo-1000080798,urn:lsid:ipni.org:names:77359719-1,Ynesmexia skinneri,(Hook.) Fauskee & Windham,Taxon 74(x): [15 of 19]. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea skinneri Hook.,(Hook.)
wfo-1000080799,urn:lsid:ipni.org:names:77359720-1,Ynesmexia subcordata,(D.C.Eaton & Davenp.) Fauskee & Windham,Taxon 74(x): [15 of 19]. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Gymnogramma subcordata D.C.Eaton & Davenp.,(D.C.Eaton & Davenp.)
wfo-1200112528,urn:lsid:ipni.org:names:77359853-1,Acrostichum jamesonii var. obtusatum,(Carmich.) Fée,"Mém. Foug., 2. Hist. Acrostich. 52, t. 14, f. 5. 1845 ",Pteridaceae,,Pteridaceae Acrostichum obtusatum Carmich.,(Carmich.)
wfo-1200112561,urn:lsid:ipni.org:names:77359857-1,Asplenium filix-femina var. dentatum,Döll,"Rhein. Fl. 12. 1843 , as 'dentata'",Aspleniaceae,,,
wfo-1200102050,urn:lsid:ipni.org:names:77359858-1,Asplenium filix-femina var. bidentatum,Döll,"Rhein. Fl. 12. 1843 , as 'bidentata'",Aspleniaceae,,,
wfo-1200112562,urn:lsid:ipni.org:names:77359859-1,Asplenium filix-femina var. multidentatum,Döll,"Rhein. Fl. 12. 1843 , as 'multidentata'",Aspleniaceae,,,
wfo-1000080872,urn:lsid:ipni.org:names:77360290-1,Physematium hieronymi,Ponce & Arana,Willdenowia 55(1): 34. 2025 [20 Mar 2025] [epublished],Woodsiaceae,,,
wfo-1000080873,urn:lsid:ipni.org:names:77360291-1,Physematium peruvianum,(Hook.) Ponce & Arana,Willdenowia 55(1): 36. 2025 [20 Mar 2025] [epublished],Woodsiaceae,,Woodsiaceae Woodsia peruviana Hook.,(Hook.)
wfo-1000080874,urn:lsid:ipni.org:names:77360292-1,Physematium jujuiense,(Copel.) Ponce & Arana,Willdenowia 55(1): 38. 2025 [20 Mar 2025] [epublished],Woodsiaceae,,Woodsiaceae Woodsia jujuiensis Copel.,(Copel.)
wfo-1000080875,urn:lsid:ipni.org:names:77360293-1,Physematium pallidum,(Copel.) Ponce & Arana,Willdenowia 55(1): 45. 2025 [20 Mar 2025] [epublished],Woodsiaceae,,Woodsiaceae Woodsia pallida Copel.,(Copel.)
wfo-1000080939,urn:lsid:ipni.org:names:77360603-1,Asplenium latipinnulum,H.Ding & K.W.Xu,Phytotaxa 698(2): 137. 2025 [24 Apr 2025] [epublished],Aspleniaceae,,,
wfo-1200112586,urn:lsid:ipni.org:names:77360609-1,Alsophila dealbata,(G.Forst.) Corda,"Vers. Fl. Vorwelt 2(7-8, App.): XXIX. 1838 [1 Sep-7 Oct 1838] ",Cyatheaceae,,Polypodiaceae Polypodium dealbatum G.Forst.,(G.Forst.)
wfo-1200112591,urn:lsid:ipni.org:names:77360723-1,Osmunda bromeliifolia,(C.Presl) J.S.Gardner,"Geol. Mag. Dec. 2, 6: 153. 1879 (as 'bromeliaefolia')",Osmundaceae,,Dryopteridaceae Nephrodium bromeliifolium C.Presl,(C.Presl)
wfo-1000064588,urn:lsid:ipni.org:names:77341036-1,Hypopterygiopsis spinulosovena,(G.Q.Gou & P.S.Wang) Li Bing Zhang & X.M.Zhou,Pl. Diversity 45(6): 670. 2023 [20 Jul 2023] [epublished],Selaginellaceae,nom. inval.    Basionym not validly published.,Selaginellaceae Selaginella spinulosovena G.Q.Gou & P.S.Wang,(G.Q.Gou & P.S.Wang)
wfo-1200069412,urn:lsid:ipni.org:names:77346431-1,Dicranopteris linearis var. emarginata,(T.Moore) Miles K.Thomas,Amer. Fern J. 113(3): 213. 2023 [29 Sep 2023] ,Gleicheniaceae,"nom. superfl.    , includes the earlier G. dichotoma var. tomentosa Leurss. (1875)",Gleicheniaceae Gleichenia emarginata T.Moore,(T.Moore)
wfo-1200107448,urn:lsid:ipni.org:names:77348960-1,× Chrinephrium gogoii,(Fraser-Jenk.) R.Kr.Singh & V.K.Rawat,J. Biodivers. Conservation 8(4): 26. 2024 [20 Sep 2024] [epublished],Thelypteridaceae,,Thelypteridaceae Thelypteris × gogoii Fraser-Jenk.,(Fraser-Jenk.)
wfo-1000079457,urn:lsid:ipni.org:names:77358478-1,Aleuritopteris erythraea,(Pic.Serm.) E.A.Hooper,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes erythraea Pic.Serm.,(Pic.Serm.)
wfo-1000079458,urn:lsid:ipni.org:names:77358479-1,Aleuritopteris elegans,(Poir.) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Pteridaceae Pteris elegans Poir.,(Poir.)
wfo-1000079459,urn:lsid:ipni.org:names:77358480-1,Aleuritopteris delicatula,(Tagawa & K.Iwats.) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes delicatula Tagawa & K.Iwats.,(Tagawa & K.Iwats.)
wfo-1000079460,urn:lsid:ipni.org:names:77358481-1,Aleuritopteris coriacea,(Decne.) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes coriacea Decne.,(Decne.)
wfo-1000079461,urn:lsid:ipni.org:names:77358482-1,Aleuritopteris chusana,(Hook.) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes chusana Hook.,(Hook.)
wfo-1000079462,urn:lsid:ipni.org:names:77358483-1,Aleuritopteris chinensis,(Baker) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Notholaena chinensis Baker,(Baker)
wfo-1000079463,urn:lsid:ipni.org:names:77358484-1,Aleuritopteris belangeri,(Bory) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Pteridaceae Pteris belangeri Bory,(Bory)
wfo-1000079464,urn:lsid:ipni.org:names:77358485-1,Aleuritopteris acrostica,(Balb.) Windham & Schuettp.,Taxon 74(2): 270. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Pteridaceae Pteris acrostica Balb.,(Balb.)
wfo-1000079465,urn:lsid:ipni.org:names:77358486-1,Aleuritopteris × duriensis,(Mendonça & Vasc.) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes × duriensis Mendonça & Vasc.,(Mendonça & Vasc.)
wfo-1000079466,urn:lsid:ipni.org:names:77358487-1,Aleuritopteris guanchica,(Bolle) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes guanchica Bolle,(Bolle)
wfo-1000079467,urn:lsid:ipni.org:names:77358488-1,Aleuritopteris insignis,(Ching) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes insignis Ching,(Ching)
wfo-1000079468,urn:lsid:ipni.org:names:77358489-1,Aleuritopteris fragilis,(Hook.) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes fragilis Hook.,(Hook.)
wfo-1000079469,urn:lsid:ipni.org:names:77358490-1,Aleuritopteris × kurdica,(Rasbach & Reichst.) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes × kurdica Rasbach & Reichst.,(Rasbach & Reichst.)
wfo-1000079470,urn:lsid:ipni.org:names:77358491-1,Aleuritopteris × insularis,(Rasbach & Reichst.) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes × insularis Rasbach & Reichst.,(Rasbach & Reichst.)
wfo-1000079471,urn:lsid:ipni.org:names:77358492-1,Aleuritopteris × kochiana,"(Rasbach, Reichst. & Schneller) Windham & Schuettp.",Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,"Adiantaceae Cheilanthes × kochiana Rasbach, Reichst. & Schneller","(Rasbach, Reichst. & Schneller)"
wfo-1000079472,urn:lsid:ipni.org:names:77358493-1,Aleuritopteris hancockii,(Baker) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes hancockii Baker,(Baker)
wfo-1000079473,urn:lsid:ipni.org:names:77358494-1,Aleuritopteris hispanica,(Mett.) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes hispanica Mett.,(Mett.)
wfo-1000079474,urn:lsid:ipni.org:names:77358495-1,Aleuritopteris intramarginalis,(Kaulf. ex Link) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Pteridaceae Pteris intramarginalis Kaulf. ex Link,(Kaulf. ex Link)
wfo-1000079475,urn:lsid:ipni.org:names:77358496-1,Aleuritopteris × iberica,(Rasbach & Reichst.) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes × iberica Rasbach & Reichst.,(Rasbach & Reichst.)
wfo-1000079476,urn:lsid:ipni.org:names:77358497-1,Aleuritopteris fallax,(M.Martens & Galeotti) Windham & Schuettp.,Taxon 74(2): 271. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Pteridaceae Pteris fallax M.Martens & Galeotti,(M.Martens & Galeotti)
wfo-1000079477,urn:lsid:ipni.org:names:77358499-1,Aleuritopteris × malacitensis,(Rasbach & Reichst.) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes × malacitensis Rasbach & Reichst.,(Rasbach & Reichst.)
wfo-1000079478,urn:lsid:ipni.org:names:77358500-1,Aleuritopteris nitidula,(Hook.) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes nitidula Hook.,(Hook.)
wfo-1200111915,urn:lsid:ipni.org:names:77358501-1,Aleuritopteris mairei,(Brause) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Pellaea mairei Brause,(Brause)
wfo-1000079479,urn:lsid:ipni.org:names:77358502-1,Aleuritopteris patula,(Baker) Windham & Schuettp.,Taxon 74(2): 273. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes patula Baker,(Baker)
wfo-1000079480,urn:lsid:ipni.org:names:77358503-1,Aleuritopteris pteridioides,(Reichard) Windham & Schuettp.,Taxon 74(2): 273. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Polypodiaceae Polypodium pteridioides Reichard,(Reichard)
wfo-1000079481,urn:lsid:ipni.org:names:77358504-1,Aleuritopteris persica,(Bory) Windham & Schuettp.,Taxon 74(2): 273. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Notholaena persica Bory,(Bory)
wfo-1000079482,urn:lsid:ipni.org:names:77358505-1,Aleuritopteris leonardii,(Maxon) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Cheilanthes leonardii Maxon,(Maxon)
wfo-1000079483,urn:lsid:ipni.org:names:77358506-1,Aleuritopteris paupercula,(Christ) Windham & Schuettp.,Taxon 74(2): 273. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Pteridaceae Pteris paupercula Christ,(Christ)
wfo-1000079484,urn:lsid:ipni.org:names:77358507-1,Aleuritopteris × meridionalis,(F.M.Vázquez) Windham & Schuettp.,Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,Adiantaceae Hemionitis × meridionalis F.M.Vázquez,(F.M.Vázquez)
wfo-1000079485,urn:lsid:ipni.org:names:77358508-1,Aleuritopteris × marchettiana,"(Rasbach, Reichst. & Schneller) Windham & Schuettp.",Taxon 74(2): 272. 2025 [17 Feb 2025] [epublished],Adiantaceae,,"Adiantaceae Cheilanthes × marchettiana Rasbach, Reichst. & Schneller","(Rasbach, Reichst. & Schneller)"
