WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000075007,urn:lsid:ipni.org:names:77366613-1,Christella thailandica,(S.Linds.) R.Ojha,Phytotaxa 712(3): 298. 2025 [1 Aug 2025] [epublished],Thelypteridaceae,,Thelypteridaceae Cyclosorus thailandicus S.Linds.,(S.Linds.)
wfo-1000083525,urn:lsid:ipni.org:names:77366614-1,Christella clavata,(K.H.Shing) R.Ojha,Phytotaxa 712(3): 298. 2025 [1 Aug 2025] [epublished],Thelypteridaceae,,Thelypteridaceae Cyclosorus clavatus K.H.Shing,(K.H.Shing)
wfo-1000083526,urn:lsid:ipni.org:names:77366624-1,Polystichum hirtum,(Sw.) Trevis.,Herb. Crypt. Trevis. 1: 7. 1851 ,Dryopteridaceae,,Dryopteridaceae Aspidium hirtum Sw.,(Sw.)
wfo-1000083527,urn:lsid:ipni.org:names:77366625-1,Polystichum nemorosum,(Willd.) Trevis.,Herb. Crypt. Trevis. 1: 7. 1851 ,Dryopteridaceae,,Dryopteridaceae Aspidium nemorosum Willd.,(Willd.)
wfo-1000083528,urn:lsid:ipni.org:names:77366626-1,Polystichum pauciflorum,(Kaulf.) Trevis.,Herb. Crypt. Trevis. 1: 7. 1851 ,Dryopteridaceae,,Dryopteridaceae Aspidium pauciflorum Kaulf.,(Kaulf.)
wfo-1000083924,urn:lsid:ipni.org:names:77366627-1,Polystichum polyphyllum,(Kaulf.) Trevis.,Herb. Crypt. Trevis. 1: 7. 1851 ,Dryopteridaceae,nom. illeg. later homonym,Dryopteridaceae Aspidium polyphyllum Kaulf.,(Kaulf.)
wfo-1000083925,urn:lsid:ipni.org:names:77366628-1,Aspidium haenkeanum,(C.Presl) Trevis.,Herb. Crypt. Trevis. 1: 7. 1851 ,Dryopteridaceae,,Dryopteridaceae Polystichum haenkeanum C.Presl,(C.Presl)
wfo-1000083926,urn:lsid:ipni.org:names:77366629-1,Polystichum oppositum,(Kaulf. ex Spreng.) Trevis.,Herb. Crypt. Trevis. 1: 7. 1851 ,Dryopteridaceae,,Dryopteridaceae Aspidium oppositum Kaulf. ex Spreng.,(Kaulf. ex Spreng.)
wfo-1000083529,urn:lsid:ipni.org:names:77366630-1,Polystichum subincisum,(Willd.) Trevis.,Herb. Crypt. Trevis. 1: 8. 1851 ,Dryopteridaceae,,Polypodiaceae Polypodium subincisum Willd.,(Willd.)
wfo-1000083530,urn:lsid:ipni.org:names:77366633-1,Sphaerocionium asplenioides,(Sw.) Trevis.,Herb. Crypt. Trevis. 1: 3. 1851 ,Hymenophyllaceae,,Hymenophyllaceae Trichomanes asplenioides Sw.,(Sw.)
