WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100006349,urn:lsid:ipni.org:names:77372752-1,Kirkpatrickia,"Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 228. 2025 [2 Dec 2025] [epublished],Pteridaceae,,,
wfo-1000086595,urn:lsid:ipni.org:names:77372753-1,Kirkpatrickia breweri,"(D.C.Eaton) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 229. 2025 [2 Dec 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea breweri D.C.Eaton,(D.C.Eaton)
wfo-1000086596,urn:lsid:ipni.org:names:77372754-1,Paraceterach calidirupium,"(Brownsey & Lovis) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 229. 2025 [2 Dec 2025] [epublished],Adiantaceae,,Adiantaceae Pellaea calidirupium Brownsey & Lovis,(Brownsey & Lovis)
wfo-1000086597,urn:lsid:ipni.org:names:77372755-1,Paraceterach falcata,"(R.Br.) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 229. 2025 [2 Dec 2025] [epublished],Adiantaceae,,Pteridaceae Pteris falcata R.Br.,(R.Br.)
wfo-1000086598,urn:lsid:ipni.org:names:77372756-1,Paraceterach nana,"(Hook.) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 229. 2025 [2 Dec 2025] [epublished],Adiantaceae,,Adiantaceae Pellaea falcata (R.Br.) Fée var. nana Hook.,(Hook.)
wfo-1000086599,urn:lsid:ipni.org:names:77372757-1,Paraceterach paradoxa,"(R.Br.) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 229. 2025 [2 Dec 2025] [epublished],Adiantaceae,,Adiantaceae Adiantum paradoxum R.Br.,(R.Br.)
wfo-1000086600,urn:lsid:ipni.org:names:77372758-1,Paraceterach rotundifolia,"(G.Forst.) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 229. 2025 [2 Dec 2025] [epublished],Adiantaceae,,Pteridaceae Pteris rotundifolia G.Forst.,(G.Forst.)
wfo-4100006350,urn:lsid:ipni.org:names:77372759-1,Windhamia,"Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 230. 2025 [2 Dec 2025] [epublished],Pteridaceae,,,
wfo-1000086601,urn:lsid:ipni.org:names:77372760-1,Windhamia cordifolia,"(Sessé & Moc.) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 230. 2025 [2 Dec 2025] [epublished],Pteridaceae,,Adiantaceae Adiantum cordifolium Sessé & Moc.,(Sessé & Moc.)
wfo-1000086602,urn:lsid:ipni.org:names:77372761-1,Windhamia pringlei,"(Davenp.) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 231. 2025 [2 Dec 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea pringlei Davenp.,(Davenp.)
wfo-1000086603,urn:lsid:ipni.org:names:77372762-1,Windhamia sagittata,"(Cav.) Li Bing Zhang, X.M.Zhou & Jing Zhao",Phytotaxa 731(3): 231. 2025 [2 Dec 2025] [epublished],Pteridaceae,,Pteridaceae Pteris sagittata Cav.,(Cav.)
wfo-4100006351,urn:lsid:ipni.org:names:77372833-1,subfam. Onychioideae,Vaganov & Shmakov,Turczaninowia 28(1): 111. 2025 [31 Mar 2025] [epublished],Pteridaceae,,,
wfo-1000086664,urn:lsid:ipni.org:names:77372834-1,Onychium sect. Contigua,Vaganov,Turczaninowia 28(1): 112. 2025 [31 Mar 2025] [epublished],Adiantaceae,,,
wfo-1000086665,urn:lsid:ipni.org:names:77372835-1,Onychium ser. Japonicae,Vaganov,Turczaninowia 28(1): 113. 2025 [31 Mar 2025] [epublished],Adiantaceae,,,
wfo-1000086666,urn:lsid:ipni.org:names:77372836-1,Onychium ser. Moupinenses,Vaganov,Turczaninowia 28(1): 114. 2025 [31 Mar 2025] [epublished],Adiantaceae,,,
wfo-1000086667,urn:lsid:ipni.org:names:77372837-1,Onychium ser. Tibeticae,Vaganov,Turczaninowia 28(1): 114. 2025 [31 Mar 2025] [epublished],Adiantaceae,,,
wfo-1000086668,urn:lsid:ipni.org:names:77372838-1,Syngramma ser. Quinatae,Vaganov,Turczaninowia 28(1): 115. 2025 [31 Mar 2025] [epublished],Adiantaceae,,,
wfo-1200116394,urn:lsid:ipni.org:names:77372839-1,Cryptogramma sect. Crispa,Vaganov,Turczaninowia 28(1): 117. 2025 [31 Mar 2025] [epublished],Adiantaceae,,,
wfo-1000086669,urn:lsid:ipni.org:names:77372840-1,Cryptogramma sect. Fumariifoliae,Vaganov,Turczaninowia 28(1): 118. 2025 [31 Mar 2025] [epublished],Adiantaceae,,,
wfo-1000086743,urn:lsid:ipni.org:names:77373146-1,Lycopodium lioui,"(Li Bing Zhang & H.He) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 3. 2025 [Aug 2025] ,Lycopodiaceae,,Lycopodiaceae Spinulum lioui Li Bing Zhang & H.He,(Li Bing Zhang & H.He)
wfo-1000086745,urn:lsid:ipni.org:names:77373148-1,Phlegmariurus ceylanicus,"H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 4. 2025 [Aug 2025] ,Lycopodiaceae,nom. illeg. nom. superfl.,,
wfo-1000086747,urn:lsid:ipni.org:names:77373150-1,Phlegmariurus javanicus,"(Sw.) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 4. 2025 [Aug 2025] ,Lycopodiaceae,"nom. inval.    , lacking basionym ref",Lycopodiaceae Lycopodium javanicum Sw.,(Sw.)
wfo-1000086749,urn:lsid:ipni.org:names:77373152-1,Cyathea austroyunnanensis,"(S.G.Lu) M.Freiberg, H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 27. 2025 [Aug 2025] ,Cyatheaceae,"nom. inval.    , lacking basionym ref",Cyatheaceae Alsophila austroyunnanensis S.G.Lu,(S.G.Lu)
wfo-1000086750,urn:lsid:ipni.org:names:77373153-1,Stegnogramma centrochinensis,"(Ching ex Y.X.Lin) H.F.Wang, X.Y.Dong & K.P.Ma","Checkl. Vasc. Pl. E. Asia 1: 59. 2025 [Aug 2025] , as 'centro-chinensis'",Thelypteridaceae,,Thelypteridaceae Leptogramma centrochinensis Ching ex Y.X.Lin,(Ching ex Y.X.Lin)
wfo-1000086751,urn:lsid:ipni.org:names:77373154-1,Stegnogramma huishuiensis,"(Ching ex Y.X.Lin) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 59. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Leptogramma huishuiensis Ching ex Y.X.Lin,(Ching ex Y.X.Lin)
wfo-1000086752,urn:lsid:ipni.org:names:77373155-1,Stegnogramma intermedia,"(Ching ex Y.H.Chang & L.Y.Kuo) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 2: 2303. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Leptogramma intermedia Ching ex Y.H.Chang & L.Y.Kuo,(Ching ex Y.H.Chang & L.Y.Kuo)
wfo-1000086753,urn:lsid:ipni.org:names:77373156-1,Stegnogramma sinica,"(Ching ex Y.X.Lin) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 60. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Leptogramma sinica Ching ex Y.X.Lin,(Ching ex Y.X.Lin)
wfo-1000086754,urn:lsid:ipni.org:names:77373157-1,Stegnogramma yahanensis,"(Ching ex Y.X.Lin) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 60. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Leptogramma yahanensis Ching ex Y.X.Lin,(Ching ex Y.X.Lin)
wfo-1000075073,urn:lsid:ipni.org:names:77373158-1,Christella contracta,"(Ching) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 75. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Cyclosorus contractus Ching,(Ching)
wfo-1000075077,urn:lsid:ipni.org:names:77373159-1,Christella hirtipes,"(K.H.Shing & C.F.Zhang) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 75. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Cyclosorus hirtipes K.H.Shing & C.F.Zhang,(K.H.Shing & C.F.Zhang)
wfo-1000075081,urn:lsid:ipni.org:names:77373160-1,Christella longqishanensis,"(K.H.Shing) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 75. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Cyclosorus longqishanensis K.H.Shing,(K.H.Shing)
wfo-1000075085,urn:lsid:ipni.org:names:77373161-1,Christella sinodentata,"(Ching & Z.Y.Liu) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 75. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Cyclosorus sinodentatus Ching & Z.Y.Liu,(Ching & Z.Y.Liu)
wfo-1000075086,urn:lsid:ipni.org:names:77373162-1,Christella yuanjiangensis,"H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 75. 2025 [Aug 2025] ,Thelypteridaceae,nom. illeg. nom. superfl.,,
wfo-1000086755,urn:lsid:ipni.org:names:77373163-1,Cyclosorus gracilis,"(Ching ex Y.X.Lin) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 77. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Pronephrium gracile Ching ex Y.X.Lin,(Ching ex Y.X.Lin)
wfo-1000086756,urn:lsid:ipni.org:names:77373164-1,Cyclosorus hekouensis,"(Ching ex Y.X.Lin) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 77. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Pronephrium hekouense Ching ex Y.X.Lin,(Ching ex Y.X.Lin)
wfo-1000086757,urn:lsid:ipni.org:names:77373165-1,Cyclosorus hirsutus,"(Ching ex Y.X.Lin) H.F.Wang, X.Y.Dong & K.P.Ma",Checkl. Vasc. Pl. E. Asia 1: 77. 2025 [Aug 2025] ,Thelypteridaceae,,Thelypteridaceae Pronephrium hirsutum Ching ex Y.X.Lin,(Ching ex Y.X.Lin)
wfo-1000086846,urn:lsid:ipni.org:names:77373394-1,Angiopteris involuta,L.J.Jiang & Z.R.He,Phytotaxa 732(1): 40. 2025 [3 Dec 2025] [epublished],Marattiaceae,,,
wfo-1000087020,urn:lsid:ipni.org:names:77373879-1,Blechnum rosulatum,"V.A.O.Dittrich, Gasper & B.Schindl.",Acta Bot. Brasil. 39-e20250019: 7. [8 Dec 2025] [epublished],Blechnaceae,,,
