WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078329,urn:lsid:ipni.org:names:77356333-1,Selaginella antioquensis,"Valdespino, Vega‑B. & C.López",Brittonia 76(4): 282. 2024 [18 Nov 2024] [epublished],Selaginellaceae,,,
wfo-1200110622,urn:lsid:ipni.org:names:77356527-1,Asplenium gemmiferum var. laciniatum,Mett. ex Kuhn,Filic. Afr. [Kuhn] 103. 1868 ,Aspleniaceae,,,
wfo-4100005006,urn:lsid:ipni.org:names:77356641-1,subfam. Mexiselaginelloideae,Li Bing Zhang & X.M.Zhou,Phytotaxa 684(2): 162. 2025 [11 Feb 2025] [epublished],Selaginellaceae,,,
wfo-4100005007,urn:lsid:ipni.org:names:77356642-1,Mexiselaginella,Li Bing Zhang & X.M.Zhou,Phytotaxa 684(2): 162. 2025 [11 Feb 2025] [epublished],Selaginellaceae,,,
wfo-1000078392,urn:lsid:ipni.org:names:77356643-1,Mexiselaginella schaffneri,(Hieron.) Li Bing Zhang & X.M.Zhou,Phytotaxa 684(2): 162. 2025 [11 Feb 2025] [epublished],Selaginellaceae,,Selaginellaceae Selaginella schaffneri Hieron.,(Hieron.)
wfo-1000078393,urn:lsid:ipni.org:names:77356644-1,Lepidoselaginella rzedowskii,(Lorea-Hern.) Li Bing Zhang & X.M.Zhou,Phytotaxa 684(2): 162. 2025 [11 Feb 2025] [epublished],Selaginellaceae,,Selaginellaceae Selaginella rzedowskii Lorea-Hern.,(Lorea-Hern.)
wfo-1000068112,urn:lsid:ipni.org:names:77356672-1,Colysis lanceolata,(Fée) Panigrahi,"Abstr. 23rd Ann. Conf. Khurda, Pl. Sci. Res. Orissa 35. 1998 ",Polypodiaceae,,Polypodiaceae Leptochilus lanceolatus Fée,(Fée)
wfo-1000068113,urn:lsid:ipni.org:names:77356673-1,Colysis minutula,(Fée) Panigrahi,"Abstr. 23rd Ann. Conf. Khurda, Pl. Sci. Res. Orissa 35. 1998 ",Polypodiaceae,,Polypodiaceae Leptochilus minutulus Fée,(Fée)
wfo-1000068140,urn:lsid:ipni.org:names:77356674-1,Crypsinus morianus,Panigrahi,"Abstr. 23rd Ann. Conf. Khurda, Pl. Sci. Res. Orissa 25. 1998 ",Polypodiaceae,nom. superfl.,,
wfo-1200105075,urn:lsid:ipni.org:names:77356675-1,Goniophlebium wattii,(Bedd.) Panigrahi,"Abstr. 20th Ann. Conf., Pl. Sci. Res. Orissa 54. 1996 ",Polypodiaceae,,Polypodiaceae Polypodium niponicum Mett. var. wattii Bedd.,(Bedd.)
wfo-1000078428,urn:lsid:ipni.org:names:77356810-1,Parablechnum shuariorum,"S.Molino, J.N.Zapata, Heal & Testo",Brittonia 77: [3 of 7]. 2025 [10 Feb 2025] [epublished],Blechnaceae,,,
wfo-1200107337,urn:lsid:ipni.org:names:77357226-1,× Dryostichum mirabile,"(Fraser-Jenk.) R.Kr.Singh, V.K.Rawat & Sanjeet Kumar",J. Biodivers. Conservation 9(1): 63. 2025 [14 Feb 2025] [epublished],Dryopteridaceae,,Dryopteridaceae × Polysticalpe mirabilis Fraser-Jenk.,(Fraser-Jenk.)
wfo-1000075056,urn:lsid:ipni.org:names:77357227-1,Sphaeropteris jacobsii,(Holttum) R.Kr.Singh,J. Biodivers. Conservation 9(1): 65. 2025 [14 Feb 2025] [epublished],Cyatheaceae,,Cyatheaceae Cyathea jacobsii Holttum,(Holttum)
wfo-1000078662,urn:lsid:ipni.org:names:77357569-1,Polystichum cretaceum,Xiao H.Chen & Y.F.Gu,Phytotaxa 690(2): 279. 2025 [28 Feb 2025] [epublished],Dryopteridaceae,,,
