WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000079331,urn:lsid:ipni.org:names:77358164-1,Ctenitis cubensis,C.Sánchez,,Dryopteridaceae,,,
wfo-1200111843,urn:lsid:ipni.org:names:77358262-1,Pteridium aquilinum var. sibiricum,(Gureyeva & C.N.Page) Peregrym,Bot. Stud. (Taipei) 65-24: 9. 2024 [14 Aug 2024] [epublished],Dennstaedtiaceae,,Dennstaedtiaceae Pteridium pinetorum C.N.Page & R.R.Mill subsp. sibiricum Gureyeva & C.N.Page,(Gureyeva & C.N.Page)
wfo-1200111844,urn:lsid:ipni.org:names:77358263-1,Pteridium aquilinum var. sajanense,(Stepanov) Peregrym,Bot. Stud. (Taipei) 65-24: 9. 2024 [14 Aug 2024] [epublished],Dennstaedtiaceae,,Dennstaedtiaceae Pteridium pinetorum C.N.Page & R.R.Mill subsp. sajanense Stepanov,(Stepanov)
wfo-4100005073,urn:lsid:ipni.org:names:77358284-1,Sericopteris,"Jing Zhao, X.M.Zhou & Z.R.He",Phytotaxa 693(2): 167. 2025 [12 Mar 2025] [epublished],Pteridaceae,,,
wfo-1000079399,urn:lsid:ipni.org:names:77358285-1,Sericopteris auriculata,(Franch.) Jing Zhao & X.M.Zhou,Phytotaxa 693(2): 169. 2025 [12 Mar 2025] [epublished],Pteridaceae,,Adiantaceae Gymnogramma vestita Hook. var. auriculata Franch.,(Franch.)
wfo-1000079400,urn:lsid:ipni.org:names:77358286-1,Sericopteris bipinnata,(Christ) Jing Zhao & X.M.Zhou,Phytotaxa 693(2): 169. 2025 [12 Mar 2025] [epublished],Pteridaceae,,Adiantaceae Gymnopteris bipinnata Christ,(Christ)
wfo-1000079401,urn:lsid:ipni.org:names:77358287-1,Sericopteris sargentii,(Christ) Jing Zhao & X.M.Zhou,Phytotaxa 693(2): 169. 2025 [12 Mar 2025] [epublished],Pteridaceae,,Adiantaceae Gymnopteris sargentii Christ,(Christ)
wfo-1000079402,urn:lsid:ipni.org:names:77358288-1,Sericopteris vestita,(Hook.) Jing Zhao & X.M.Zhou,Phytotaxa 693(2): 169. 2025 [12 Mar 2025] [epublished],Pteridaceae,,Adiantaceae Gymnogramma vestita Hook.,(Hook.)
wfo-4100005079,urn:lsid:ipni.org:names:77358520-1,Anthonya,Windham & Pryer,Taxon 74(x): [15 of 32]. 2025 [17 Feb 2025] [epublished],Pteridaceae,,,
wfo-1000079496,urn:lsid:ipni.org:names:77358521-1,Anthonya hirta,(Sw.) Windham & Pryer,Taxon 74(x): [15 of 32]. 2025 [17 Feb 2025] [epublished],Pteridaceae,,Adiantaceae Cheilanthes hirta Sw.,(Sw.)
