WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000081440,urn:lsid:ipni.org:names:77361326-1,Danaea × deltoidea,Keskiniva & Tuomisto,Taxon 74(x): 13 of 17. 2025 [26 Mar 2025] [epublished],Marattiaceae,,,
wfo-0001128852,urn:lsid:ipni.org:names:77362106-1,Polystichum braunii var. kamtschaticum,C.Chr. & Hultén,"Kongl. Svenska Vetensk. Acad. Handl. ser. 3, 5(1): 38. 1927 ",Dryopteridaceae,,,
wfo-1200101813,urn:lsid:ipni.org:names:77362117-1,Arthropteris orientalis var. humblotii,(Baker) Pic.Serm.,Webbia 21(1): 515. 1966 ,Oleandraceae,,Dryopteridaceae Nephrodium humblotii Baker,(Baker)
wfo-1200104030,urn:lsid:ipni.org:names:77362132-1,Pellaea boivinii var. tripinnata,C.Chr.,Dansk Bot. Ark. 7: 115. 1932 [10 Jun 1932] ,Adiantaceae,,,
wfo-1200104032,urn:lsid:ipni.org:names:77362134-1,Pellaea boivinii var. multifrondulosa,C.Chr.,Dansk Bot. Ark. 7: 115. 1932 [10 Jun 1932] ,Adiantaceae,,,
wfo-1200104031,urn:lsid:ipni.org:names:77362135-1,Pellaea boivinii f. bipinnata,C.Chr.,Dansk Bot. Ark. 7: 114. 1932 [10 Jun 1932] ,Adiantaceae,,,
wfo-1000074773,urn:lsid:ipni.org:names:17382510-1,Cyathea coursii,(Tardieu) Tindale,Contr. New South Wales Natl. Herb. 2: 331. 1956 ,Cyatheaceae,,Cyatheaceae Alsophila coursii Tardieu,(Tardieu)
wfo-1200113223,urn:lsid:ipni.org:names:53168-3,Blechnum capense,(Willd.) Schltdl.,Adumbr. Pl. Fasc. 4: 34. 1827 ,Blechnaceae,,,(Willd.)
wfo-1000074709,urn:lsid:ipni.org:names:186869-2,Pellaea mucronata,Fée,"Mém. Foug., 9. Cat. Foug. Mex. 8. 1857 ",Adiantaceae,,,
wfo-0001269884,urn:lsid:ipni.org:names:17378310-1,Ctenitis crinita,(Poir.) Ching,Bull. Fan Mem. Inst. Biol. Bot. 8: 290. 1939 ,Dryopteridaceae,,Polypodiaceae Polypodium crinitum Poir.,(Poir.)
