WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000080795,urn:lsid:ipni.org:names:77359716-1,Ynesmexia fournieri,(Baker) Fauskee & Windham,Taxon 74(4): 782. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea fournieri Baker,(Baker)
wfo-1000080796,urn:lsid:ipni.org:names:77359717-1,Ynesmexia × gryphus,(Mickel) Fauskee & Windham,Taxon 74(4): 782. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Cheilanthes × gryphus Mickel,(Mickel)
wfo-1000080797,urn:lsid:ipni.org:names:77359718-1,Ynesmexia seemannii,(Hook.) Fauskee & Windham,Taxon 74(4): 782. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea seemannii Hook.,(Hook.)
wfo-1000080798,urn:lsid:ipni.org:names:77359719-1,Ynesmexia skinneri,(Hook.) Fauskee & Windham,Taxon 74(4): 782. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Pellaea skinneri Hook.,(Hook.)
wfo-1000080799,urn:lsid:ipni.org:names:77359720-1,Ynesmexia subcordata,(D.C.Eaton & Davenp.) Fauskee & Windham,Taxon 74(4): 782. 2025 [2 Apr 2025] [epublished],Pteridaceae,,Adiantaceae Gymnogramma subcordata D.C.Eaton & Davenp.,(D.C.Eaton & Davenp.)
wfo-1000081440,urn:lsid:ipni.org:names:77361326-1,Danaea × deltoidea,Keskiniva & Tuomisto,Taxon 74(3): 548. 2025 [26 Mar 2025] [epublished],Marattiaceae,,,
wfo-1000086236,urn:lsid:ipni.org:names:77372104-1,Amauropelta atropurpurea,(Hieron.) D.Sanín & S.Rodr.-E.,Syst. Bot. 50(2): 112. 2025 [21 Aug 2025] [epublished],Thelypteridaceae,,Dryopteridaceae Dryopteris atropurpurea Hieron.,(Hieron.)
wfo-1000086238,urn:lsid:ipni.org:names:77372107-1,Amauropelta sunduei,"(Lehnert) D.Sanín, S.Rodr.-E. & A.R.Sm.",Syst. Bot. 50(2): 116. 2025 [21 Aug 2025] [epublished],Thelypteridaceae,,Cyatheaceae Cyathea sunduei Lehnert,(Lehnert)
wfo-1000086284,urn:lsid:ipni.org:names:77372153-1,Hippochaete × ascendens,(Lubienski & Bennert) M.Kessler,Phytotaxa 726(2): 122. 2025 [30 Oct 2025] [epublished],Equisetaceae,,Equisetaceae Equisetum × ascendens Lubienski & Bennert,(Lubienski & Bennert)
wfo-1000086285,urn:lsid:ipni.org:names:77372154-1,Hippochaete × geissertii,(Lubienski & Bennert) M.Kessler,Phytotaxa 726(2): 122. 2025 [30 Oct 2025] [epublished],Equisetaceae,,Equisetaceae Equisetum × geissertii Lubienski & Bennert,(Lubienski & Bennert)
wfo-1000086286,urn:lsid:ipni.org:names:77372155-1,Hippochaete × haukeana,(Mickel & A.R.Sm.) M.Kessler,Phytotaxa 726(2): 123. 2025 [30 Oct 2025] [epublished],Equisetaceae,,Equisetaceae Equisetum × haukeanum Mickel & A.R.Sm.,(Mickel & A.R.Sm.)
wfo-1000086287,urn:lsid:ipni.org:names:77372156-1,Hippochaete × lapponica,(Lubienski & Dörken) M.Kessler,Phytotaxa 726(2): 123. 2025 [30 Oct 2025] [epublished],Equisetaceae,,Equisetaceae Equisetum × lapponicum Lubienski & Dörken,(Lubienski & Dörken)
wfo-1000086289,urn:lsid:ipni.org:names:77372157-1,Hippochaete × jesupii,(A.A.Eaton) M.Kessler,Phytotaxa 726(2): 123. 2025 [30 Oct 2025] [epublished],Equisetaceae,,Equisetaceae Equisetum variegatum Schleich. ex F.Weber & D.Mohr var. jesupii A.A.Eaton in Gilbert,(A.A.Eaton)
wfo-1000086295,urn:lsid:ipni.org:names:77372152-1,Paramochaete bogotense,(Kunth) M.Kessler,Phytotaxa 726(2): 122. 2025 [30 Oct 2025] [epublished],Equisetaceae,,Equisetaceae Equisetum bogotense Kunth,(Kunth)
wfo-1000086332,urn:lsid:ipni.org:names:77372355-1,Deparia chingii,J.X.Li & Xiao J.Li,Bangladesh J. Bot. 54(3): 750. 2025 [3 Nov 2025] [epublished],Woodsiaceae,,,
wfo-1000086333,urn:lsid:ipni.org:names:77372259-1,Dryopteris songyinghuensis,J.X.Li & Xiao J.Li,Bangladesh J. Bot. 54(3): 756. 2025 [3 Nov 2025] [epublished],Dryopteridaceae,,,
wfo-1000086337,urn:lsid:ipni.org:names:77372260-1,Ctenitis ameristoneuros,(Fée) Greuter & R.Rankin,PhytoKeys 265: 237. 2025 [4 Nov 2025] [epublished],Dryopteridaceae,,Dryopteridaceae Aspidium ameristoneuron Fée,(Fée)
wfo-1000086338,urn:lsid:ipni.org:names:77372473-1,Sticheroides milnei,"(Ching) L.V.Lima, Salino & T.E.Almeida",Phytotaxa 730(3): 298. 2025 [21 Nov 2025] [epublished],Gleicheniaceae,,Ching,(Ching)
wfo-1000086339,urn:lsid:ipni.org:names:77372474-1,Sticheroides truncata,"(Willd.) L.V.Lima, Salino & T.E.Almeida",Phytotaxa 730(3): 298. 2025 [21 Nov 2025] [epublished],Gleicheniaceae,,Gleicheniaceae Mertensia truncata Willd.,(Willd.)
