WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000085022,urn:lsid:ipni.org:names:77368639-1,Cheilanthes borsigiana,Veitch ex R.Hogg & T.Moore,Florist & Pomol. 1863: 86. [early Jun 1863] ,Adiantaceae,,,
wfo-1000085024,urn:lsid:ipni.org:names:77368641-1,Adiantum ghiesbreghtii,Backh. ex R.Hogg & T.Moore,Florist & Pomol. 1863: 164. [early Nov 1863] ,Adiantaceae,,,
wfo-1000085027,urn:lsid:ipni.org:names:77368643-1,Adiantum tinctum,Veitch,Proc. Roy. Hort. Soc. London 2: 543. 1862 [after 1 Aug 1862] ,Adiantaceae,,,
wfo-1000084707,urn:lsid:ipni.org:names:77368793-1,Pteris maclurei,Ching,Bull. Dept. Biol. Sun Yatsen Univ. 6. 28. 1933 ,Pteridaceae,,,
wfo-1000085044,urn:lsid:ipni.org:names:77368933-1,Trichomanes anceps,W.Bull,Proc. Roy. Hort. Soc. London 3: 106. 1863 [after 1 Apr 1863] ,Hymenophyllaceae,,,
wfo-1200114871,urn:lsid:ipni.org:names:77369008-1,Huperzia selago var. patens,(P.Beauv.) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Lycopodiaceae,"nom. inval.    , lacking full and direct basionym ref",Lycopodiaceae Plananthus patens P.Beauv.,(P.Beauv.)
wfo-1200114801,urn:lsid:ipni.org:names:77369009-1,Huperzia selago var. laxa,(Desv.) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Lycopodiaceae,"nom. inval.    , basionym not valid",Lycopodiaceae Lycopodium selago L. var. laxum Desv.,(Desv.)
wfo-1200103769,urn:lsid:ipni.org:names:77369010-1,Lycopodium selago var. laxum,Desv.,Mém. Soc. Linn. Paris 6(2): 180. 1827 ,Lycopodiaceae,"nom. inval.    , includes the type of L. selago L.",,
wfo-1200114872,urn:lsid:ipni.org:names:77369011-1,Huperzia selago f. recurva,(Kit. ex Willd.) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Lycopodiaceae,,Lycopodiaceae Lycopodium recurvum Kit. ex Willd.,(Kit. ex Willd.)
,urn:lsid:ipni.org:names:77369130-1,Equisetum arvense monstr. polystachyum,Milde,Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur. 26(2): 424. 1858 ,Equisetaceae,,,
wfo-1200114808,urn:lsid:ipni.org:names:77369135-1,Equisetum arvense lus. polystachyum,Asch. & Graebn.,Syn. Mitteleur. Fl. 1: 129. 1896 ,Equisetaceae,nom. illeg. later homonym,,
wfo-1200114806,urn:lsid:ipni.org:names:77369136-1,Dryopteris austriaca f. leiophylla,Domin,"Věstn. Ceské Společn. Nauk, Tř. Mat.-Přír. 1941(21): 11. 1942 ",Dryopteridaceae,,,
wfo-1200114807,urn:lsid:ipni.org:names:77369137-1,Dryopteris austriaca f. glanduligera,Domin,"Věstn. Ceské Společn. Nauk, Tř. Mat.-Přír. 1941(21): 11. 1942 ",Dryopteridaceae,,,
wfo-1200114809,urn:lsid:ipni.org:names:77369142-1,Aspidium dilatatum f. latisectum,Waisb.,Oesterr. Bot. Z. 51: 127. 1901 [Apr 1901] ,Dryopteridaceae,,,
wfo-1200114810,urn:lsid:ipni.org:names:77369143-1,Aspidium dilatatum f. angustisectum,Waisb.,Oesterr. Bot. Z. 51: 127. 1901 [Apr 1901] ,Dryopteridaceae,,,
wfo-1200114811,urn:lsid:ipni.org:names:77369144-1,Aspidium dilatatum f. angustum,Waisb.,Magyar Bot. Lapok 3: 94. 1904 ,Dryopteridaceae,,,
wfo-1200114812,urn:lsid:ipni.org:names:77369145-1,Aspidium dilatatum f. submuticum,Waisb.,Magyar Bot. Lapok 3: 94. 1904 ,Dryopteridaceae,,,
wfo-1200114813,urn:lsid:ipni.org:names:77369146-1,Aspidium dilatatum f. nanum,Waisb.,Magyar Bot. Lapok 3: 94. 1904 ,Dryopteridaceae,,,
wfo-1200114814,urn:lsid:ipni.org:names:77369148-1,Lastrea dilatata f. pumila,T.Moore,Brit. Ferns [T. Moore] 1: 232. 1859 ,Thelypteridaceae,,,
wfo-1200114815,urn:lsid:ipni.org:names:77369149-1,Lastrea dilatata var. dumetorum,(Sm.) T.Moore,"Handb. Brit. Ferns, ed. 2 124. 1853 ",Thelypteridaceae,,Dryopteridaceae Aspidium dumetorum Sm.,(Sm.)
wfo-1200114816,urn:lsid:ipni.org:names:77369150-1,Dryopteris dilatata var. dumetorum,(Sm.) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Dryopteridaceae,"nom. inval.    Contrary to Art. 41.5., ICN (2025), no full and direct reference to the basionym.",Dryopteridaceae Aspidium dumetorum Sm.,(Sm.)
wfo-1000084794,urn:lsid:ipni.org:names:77369252-1,Dryopteris pycnolepis,Z.Y.Zuo & S.Y.Dong,PhytoKeys 263: 8. 2025 [15 Sep 2025] [epublished],Dryopteridaceae,,,
wfo-1200114819,urn:lsid:ipni.org:names:77369267-1,Lastrea multiflora var. collina,Newman,"Hist. Brit. Ferns, ed. 2 144. 1844 ",Thelypteridaceae,,,
wfo-1200103579,urn:lsid:ipni.org:names:77369278-1,Lastrea dilatata var. chanteriae,T.Moore,Ferns Gr. Brit. (Moore) sub t. XXIV. 1855 ,Thelypteridaceae,,,
wfo-1200114824,urn:lsid:ipni.org:names:77369331-1,Equisetum arvense f. multispicatum,Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Equisetaceae,,,
wfo-1200114826,urn:lsid:ipni.org:names:77369332-1,Dryopteris dilatata f. glanduligera,(Domin) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Dryopteridaceae,,Dryopteridaceae Dryopteris austriaca (Jacq.) Woyn. ex Schinz & Thell. f. glanduligera Domin,(Domin)
wfo-1200114827,urn:lsid:ipni.org:names:77369333-1,Dryopteris dilatata f. leiophylla,(Domin) Soó,Acta Bot. Acad. Sci. Hung. 10: 369. 1964 ,Dryopteridaceae,,Dryopteridaceae Dryopteris austriaca (Jacq.) Woyn. ex Schinz & Thell. f. leiophylla Domin,(Domin)
